enterprise_id,enterprise_name,credit_rating,default_label,business_scale_10k,sales_scale_10k,purchase_scale_10k,net_sales_10k,operating_net_inflow_proxy_10k,sales_growth_trend,sales_monthly_cv,invoice_activity_per_month,sales_return_rate,purchase_return_rate,void_invoice_rate,zero_amount_invoice_rate,customer_count,supplier_count,customer_hhi,supplier_hhi,max_customer_share,max_supplier_share,purchase_sales_ratio,active_month_ratio,longest_active_streak_ratio,audit_all_invoice_count,audit_valid_invoice_count,audit_void_invoice_count,audit_positive_invoice_count,audit_negative_invoice_count,audit_zero_invoice_count,audit_negative_amount_10k,audit_missing_counterparty_count
E1,***电器销售有限公司,A,0,1206091.162,484889.1781,721201.9834,469863.3441,-193930.8588,0.2180988904,0.8138894041,271.5853659,0.03098818195,0.07960014243,0.0360141979,0,351,436,0.06729686871,0.9903996907,0.1605906442,0.9951809961,1.487354257,0.7804878049,0.7804878049,11551,11135,416,10836,299,0,72433.61468,0
E10,***建筑劳务有限公司,B,0,35812.8527,35253.39105,559.46165,35146.15315,34604.35699,-0.02487536417,1.992604202,106.7317073,0.00304191741,0.03157586583,0.06195069668,0,26,881,0.1079068988,0.01805340972,0.1903252532,0.07205274213,0.01586972581,0.9024390244,0.9024390244,4665,4376,289,4340,36,0,124.90339,0
E100,***装饰工程有限公司,D,1,84.324433,81.992131,2.332302,69.148921,66.816619,0.008521978202,2.27532266,3.804878049,0.1566395439,-0,0.006369426752,0,13,21,0.169071226,0.1213476351,0.2417598099,0.2389055963,0.02844543704,0.8292682927,0.3902439024,157,156,1,141,15,0,12.84321,0
E101,***灯饰工程有限公司,D,1,44.5536,39.2378,5.3158,39.2378,33.922,0.008926587018,3.568333818,1.170731707,-0,-0,0.3924050633,0,2,6,0.6201908805,0.6109382119,0.7451437135,0.7612212649,0.1354765048,0.3414634146,0.1463414634,79,48,31,48,0,0,-0,0
E102,***大药房有限责任公司,D,1,415.073422,47.03337,368.040052,43.88851,-321.943198,0.009050837137,1.50693823,21,0.06686444114,0.00600028173,0.05071664829,0,99,70,0.3552705134,0.1586281198,0.5816492418,0.3089971605,7.825083595,0.9268292683,0.9268292683,907,861,46,851,10,0,5.353204,0
E103,***科技有限公司,D,1,257.509253,183.682692,73.826561,182.245177,108.418616,0.03456981905,3.479023319,5.43902439,0.007826077593,-0,0.05508474576,0,19,65,0.2712110391,0.1190668724,0.4512927162,0.2760950764,0.4019244285,0.6829268293,0.4146341463,236,223,13,221,2,0,1.437515,0
E104,***管理咨询有限责任公司,C,0,33.101,33.073,0.028,27.053,27.025,0.02307410936,2.179285453,0.487804878,0.1820215886,-0,0.09090909091,0,10,1,0.2142651951,1,0.3640431772,1,0.00084661204,0.243902439,0.09756097561,22,20,2,19,1,0,6.02,0
E105,***建材经营部,C,0,98.806518,97.958518,0.848,95.256389,94.408389,0.01370328186,1.306754424,3.097560976,0.02758442099,-0,0.0078125,0,97,4,0.02765053689,0.6423549306,0.1289816369,0.7924528302,0.008656725493,0.5609756098,0.4146341463,128,127,1,123,4,0,2.702129,0
E106,***财务管理有限公司,B,0,67.873896,62.627786,5.24611,60.367786,55.121676,0.02218939448,1.150554033,4.219512195,0.03608621898,-0,0.08465608466,0,101,19,0.04877921719,0.3240644091,0.1801117478,0.5114265618,0.08376649304,0.7804878049,0.6829268293,189,173,16,169,4,0,2.26,0
E107,***科技有限公司,D,1,94.491,83.4,11.091,83.4,72.309,0.02639573445,4.601316205,1.048780488,-0,-0,0.3174603175,0,3,7,0.5662750375,0.6822643917,0.7194244604,0.8060409341,0.1329856115,0.3902439024,0.09756097561,63,43,20,43,0,0,-0,0
E108,***商贸有限公司,D,1,30.394174,19.721626,10.672548,19.721526,9.099231,0.01031818798,3.446741244,6.12195122,5.070575824e-06,0.004708622533,0,0,18,70,0.2200433972,0.07484820729,0.4257370057,0.1891300934,0.5411596387,0.6097560976,0.5853658537,251,251,0,246,5,0,0.050353,0
E109,***服饰有限公司,D,1,46.0178,45.6807,0.3371,45.6807,45.3436,0.03116418629,2.776316466,0.8048780488,-0,-0,0.2325581395,0,17,7,0.1534964876,0.1792648149,0.2914578805,0.2530406408,0.007379484115,0.3658536585,0.09756097561,43,33,10,33,0,0,-0,0
E11,***建设工程有限公司,C,0,30734.76416,16264.70451,14470.05965,16254.70451,1833.509705,0.2097223901,1.34260565,91.85365854,0.0006148282615,0.00337696196,0.04730584366,0,4,466,0.3967050427,0.08227364907,0.4691932942,0.175704347,0.8896601618,0.756097561,0.7317073171,3953,3766,187,3741,25,0,58.864841,0
E110,***通讯器材经营部,C,0,20.386751,20.282751,0.104,20.282751,20.178751,0.006744496198,1.750780904,1.585365854,-0,-0,0.2441860465,0,34,1,0.154411712,1,0.2800434221,1,0.005127509577,0.512195122,0.1707317073,86,65,21,65,0,0,-0,0
E111,***科技有限公司,D,1,379.601401,296.674,82.927401,87.91418,34.986779,0.0397921033,2.252907161,11.41463415,0.7036673925,0.3617622117,0.1136363636,0,8,94,0.2540603636,0.1706335044,0.4044843835,0.3949961003,0.2795236556,0.756097561,0.756097561,528,468,60,436,32,0,238.75982,0
