enterprise_id,enterprise_name,credit_rating,default_label,elastic_net_logistic_oof_mean,elastic_net_logistic_oof_sd,elastic_net_logistic_oof_p10,elastic_net_logistic_oof_p50,elastic_net_logistic_oof_p90,elastic_net_logistic_test_count,hist_gradient_boosting_oof_mean,hist_gradient_boosting_oof_sd,hist_gradient_boosting_oof_p10,hist_gradient_boosting_oof_p50,hist_gradient_boosting_oof_p90,hist_gradient_boosting_test_count,elastic_net_logistic_risk_rank,elastic_net_logistic_risk_percentile,logistic_oof_mean,logistic_oof_sd,logistic_oof_p10,logistic_oof_p50,logistic_oof_p90,logistic_risk_rank,logistic_risk_percentile,hist_gradient_boosting_risk_rank,hist_gradient_boosting_risk_percentile,tree_oof_mean,tree_oof_sd,tree_oof_p10,tree_oof_p50,tree_oof_p90,tree_risk_rank,tree_risk_percentile,selected_model,selected_model_risk_score
E1,***电器销售有限公司,A,0,0.05655542179,0.03612124495,0.02741664837,0.0477518799,0.0730491674,10,0.1113294444,0.0446838839,0.0646101084,0.09726105252,0.1687432682,10,104,0.162601626,0.05655542179,0.03612124495,0.02741664837,0.0477518799,0.0730491674,104,0.162601626,58,0.5365853659,0.1113294444,0.0446838839,0.0646101084,0.09726105252,0.1687432682,58,0.5365853659,elastic_net_logistic,0.05655542179
E10,***建筑劳务有限公司,B,0,0.06093491817,0.01419372208,0.04562064982,0.05790014235,0.07833730674,10,0.1050163016,0.03663412987,0.06231298253,0.1073521383,0.148415466,10,102,0.1788617886,0.06093491817,0.01419372208,0.04562064982,0.05790014235,0.07833730674,102,0.1788617886,60,0.5203252033,0.1050163016,0.03663412987,0.06231298253,0.1073521383,0.148415466,60,0.5203252033,elastic_net_logistic,0.06093491817
E100,***装饰工程有限公司,D,1,0.2578903118,0.07353885818,0.1696120448,0.2728881387,0.3416804479,10,0.5443070547,0.151335107,0.3426244423,0.5533214405,0.7029789831,10,36,0.7154471545,0.2578903118,0.07353885818,0.1696120448,0.2728881387,0.3416804479,36,0.7154471545,15,0.8861788618,0.5443070547,0.151335107,0.3426244423,0.5533214405,0.7029789831,15,0.8861788618,elastic_net_logistic,0.2578903118
E101,***灯饰工程有限公司,D,1,0.7098560409,0.06636067132,0.6226011649,0.7233040273,0.7897592201,10,0.6626037275,0.04855747599,0.6164002753,0.6638414459,0.7113519161,10,6,0.9593495935,0.7098560409,0.06636067132,0.6226011649,0.7233040273,0.7897592201,6,0.9593495935,10,0.9268292683,0.6626037275,0.04855747599,0.6164002753,0.6638414459,0.7113519161,10,0.9268292683,elastic_net_logistic,0.7098560409
E102,***大药房有限责任公司,D,1,0.4733747116,0.1071223403,0.3631509727,0.4627178331,0.6183651775,10,0.3644916801,0.1235908418,0.2331379575,0.3243121462,0.5150925883,10,17,0.8699186992,0.4733747116,0.1071223403,0.3631509727,0.4627178331,0.6183651775,17,0.8699186992,29,0.7723577236,0.3644916801,0.1235908418,0.2331379575,0.3243121462,0.5150925883,29,0.7723577236,elastic_net_logistic,0.4733747116
E103,***科技有限公司,D,1,0.4055458126,0.06116735136,0.3362256189,0.3909445426,0.4768661053,10,0.3351647376,0.1132510796,0.2176644259,0.336953139,0.472908384,10,22,0.8292682927,0.4055458126,0.06116735136,0.3362256189,0.3909445426,0.4768661053,22,0.8292682927,30,0.7642276423,0.3351647376,0.1132510796,0.2176644259,0.336953139,0.472908384,30,0.7642276423,elastic_net_logistic,0.4055458126
E104,***管理咨询有限责任公司,C,0,0.5371556855,0.07030320782,0.4342049006,0.5472322368,0.6048969633,10,0.7435044519,0.02469144619,0.7059494903,0.7461938886,0.7713971799,10,14,0.8943089431,0.5371556855,0.07030320782,0.4342049006,0.5472322368,0.6048969633,14,0.8943089431,1,1,0.7435044519,0.02469144619,0.7059494903,0.7461938886,0.7713971799,1,1,elastic_net_logistic,0.5371556855
E105,***建材经营部,C,0,0.2296735143,0.05655682615,0.1706427228,0.2199431128,0.3150886304,10,0.3668850787,0.1379543363,0.2267936512,0.3346469536,0.5311415417,10,41,0.674796748,0.2296735143,0.05655682615,0.1706427228,0.2199431128,0.3150886304,41,0.674796748,28,0.7804878049,0.3668850787,0.1379543363,0.2267936512,0.3346469536,0.5311415417,28,0.7804878049,elastic_net_logistic,0.2296735143
E106,***财务管理有限公司,B,0,0.25387818,0.03585121449,0.2023278319,0.2648881791,0.2861266308,10,0.5160899182,0.07271847137,0.4331060217,0.5012508102,0.585737616,10,37,0.7073170732,0.25387818,0.03585121449,0.2023278319,0.2648881791,0.2861266308,37,0.7073170732,20,0.8455284553,0.5160899182,0.07271847137,0.4331060217,0.5012508102,0.585737616,20,0.8455284553,elastic_net_logistic,0.25387818
E107,***科技有限公司,D,1,0.6278756036,0.06417500548,0.5523567172,0.6366742873,0.6820972821,10,0.55853129,0.09126849623,0.4498257049,0.5881893936,0.6406400256,10,8,0.9430894309,0.6278756036,0.06417500548,0.5523567172,0.6366742873,0.6820972821,8,0.9430894309,14,0.8943089431,0.55853129,0.09126849623,0.4498257049,0.5881893936,0.6406400256,14,0.8943089431,elastic_net_logistic,0.6278756036
