enterprise_id,enterprise_name,business_scale_10k,sales_scale_10k,purchase_scale_10k,net_sales_10k,operating_net_inflow_proxy_10k,sales_growth_trend,sales_monthly_cv,invoice_activity_per_month,sales_return_rate,purchase_return_rate,void_invoice_rate,zero_amount_invoice_rate,customer_count,supplier_count,customer_hhi,supplier_hhi,max_customer_share,max_supplier_share,purchase_sales_ratio,active_month_ratio,longest_active_streak_ratio,audit_all_invoice_count,audit_valid_invoice_count,audit_void_invoice_count,audit_positive_invoice_count,audit_negative_invoice_count,audit_zero_invoice_count,audit_negative_amount_10k,audit_missing_counterparty_count
E124,个体经营E124,171035.533,84462.11772,86573.41531,80843.77482,-3576.504906,0.1131553028,1.156211273,399.097561,0.04283983161,0.02487063241,0.1251603935,0,52,1401,0.07066086337,0.03054079744,0.1673953993,0.1482110452,1.024996977,0.6097560976,0.6097560976,18704,16363,2341,15980,383,0,5771.478489,0
E125,个体经营E125,208811.5747,106109.4539,102702.1208,102484.111,2363.930135,0.07622965386,0.8694231638,467.2195122,0.03416606878,0.02514008389,0.1246172828,0,63,1787,0.05870325118,0.0161741553,0.1601816565,0.1035271953,0.9678885059,0.8780487805,0.8780487805,21883,19156,2727,18718,438,0,6207.282832,0
E126,个体经营E126,68471.48899,55578.86381,12892.62518,53800.73764,40918.86527,0.06144075924,0.8059876246,43.3902439,0.03199284845,0.0008340285899,0.1317715959,0,143,72,0.06275690418,0.2959783079,0.1781226736,0.4235036157,0.2319699306,0.8780487805,0.8780487805,2049,1779,270,1744,35,0,1788.878985,0
E127,个体经营E127,67464.73505,67288.07515,176.659894,67150.81755,66974.26166,0.008861053596,0.9343845096,129.9512195,0.002039850296,0.0005887018137,0.02702702703,0,25,297,0.1338293521,0.06336388688,0.2242980627,0.1698178309,0.002625426476,0.8780487805,0.8780487805,5476,5328,148,5322,6,0,137.3616,0
E128,个体经营E128,26042.56448,25068.92188,973.642601,25068.92188,24132.87188,0.03451665561,1.567892292,104.7560976,-0,0.03861027235,0.04065222247,0,7,532,0.9524462051,0.02573704755,0.9758447201,0.07487994047,0.03883863078,0.8780487805,0.8780487805,4477,4295,182,4280,15,0,37.592606,0
E129,个体经营E129,46845.4736,38145.52103,8699.952572,37439.90723,28882.12655,0.01566317927,0.7204270363,270.9512195,0.01849794634,0.01634168564,0.08515193939,0,796,1368,0.01059876172,0.04122262357,0.04377971397,0.1462582801,0.2280727157,0.8780487805,0.8780487805,12143,11109,1034,10994,115,0,847.785691,0
E130,个体经营E130,20001.49123,12214.52281,7786.96842,12014.44221,4273.744601,0.1551108142,2.158120213,108.3902439,0.01638054986,0.0059420824,0.04079430175,0,14,517,0.7890706341,0.04511522992,0.8853324151,0.1329143698,0.637517203,0.756097561,0.756097561,4633,4444,189,4405,39,0,246.351408,0
E131,个体经营E131,37198.11886,24436.0226,12762.09626,24176.05974,11665.69271,0.02510699841,0.5573336127,234.7317073,0.01063850984,0.01972475579,0.07577067128,0,816,906,0.009693601295,0.06481358255,0.0377551214,0.2269219681,0.522265692,0.8780487805,0.8780487805,10413,9624,789,9452,172,0,511.692099,0
E132,个体经营E132,29440.23374,22365.21363,7075.020108,22102.62347,15085.43469,0.06186846841,0.8591038502,163.6341463,0.01174100835,0.008174016062,0.03564754923,0,98,682,0.02618043052,0.07241198301,0.07199538758,0.2267131366,0.3163403768,0.8292682927,0.8292682927,6957,6709,248,6691,18,0,320.421488,0
E133,个体经营E133,16012.40844,11946.46649,4065.941954,11706.46649,7640.563282,0.0650279705,1.989147102,42.41463415,0.02008962234,9.530386916e-06,0.04187327824,0,9,282,0.4536016607,0.06980435976,0.6208708651,0.1802140828,0.3403468263,0.8536585366,0.8292682927,1815,1739,76,1734,5,0,240.03875,0
E134,***工程咨询有限公司,13756.28659,13326.36936,429.917238,13018.44002,12588.91709,0.003693038185,0.8841779561,109.7317073,0.02310676852,0.0009171509424,0.05582371459,0,1642,580,0.007578886254,0.1214414336,0.0698687085,0.3291331156,0.03226064253,0.9024390244,0.9024390244,4765,4499,266,4434,65,0,308.323631,0
E135,***建设工程有限公司,17826.83916,15157.87209,2668.967064,14329.58801,11691.49227,-0.02943798172,0.9491807417,78.3902439,0.05464382302,0.01156676694,0.02723970944,0,73,364,0.09900272519,0.05049455437,0.2433469855,0.12881253,0.1760779513,0.9024390244,0.9024390244,3304,3214,90,3195,19,0,859.1554,0
E136,***机械有限责任公司,26703.1779,13491.9225,13211.2554,13456.5225,245.521575,0.05314281527,1.329342574,62.68292683,0.002623792125,1.926198475e-05,0.02762012864,0,4,16,0.6415337815,0.9994228077,0.7882145039,0.9997113522,0.9791973976,0.7073170732,0.6585365854,2643,2570,73,2565,5,0,35.654475,0
E137,***建设工程有限公司,26887.1348,15740.80731,11146.32749,15353.80731,4523.663132,0.05142410125,1.39752545,82.24390244,0.02458577844,0.02836659082,0.04611032532,0,25,675,0.1452361805,0.03612817991,0.2771810868,0.08971564858,0.708116634,0.9024390244,0.9024390244,3535,3372,163,3329,43,0,703.183312,0
E138,个体经营E138,14880.03634,12491.68059,2388.355743,12414.1306,10026.62904,0.03856136076,0.7553593615,47.58536585,0.006208131837,0.0003576485632,0.03031809145,0,118,54,0.04236219657,0.1726067763,0.102208345,0.2656401174,0.1911957102,0.8780487805,0.8780487805,2012,1951,61,1914,37,0,78.404192,0
E139,个体经营E139,19913.75612,19783.73812,130.017995,19710.83056,19581.42966,0.009481230385,0.5818064247,308.9268293,0.003685227157,0.004746266084,0.0472393561,0,167,77,0.1064927382,0.07804866453,0.284769837,0.1377716984,0.006571963002,0.8780487805,0.8780487805,13294,12666,628,12632,34,0,73.524669,0
E140,***建筑工程有限公司,20054.76142,19224.38855,830.372876,18819.3666,18079.52413,0.04137804593,0.888717662,67.04878049,0.02106813156,0.1090238008,0.05823912299,0,20,561,0.1353738329,0.1081835248,0.2234308003,0.252898434,0.04319372104,0.9024390244,0.9024390244,2919,2749,170,2710,39,0,495.552354,0
E141,***食品有限公司,20700.0705,16592.72178,4107.348716,16184.00436,12079.15995,0.1191947212,0.6259295615,141.8292683,0.02463233135,0.0006097120486,0.05493255323,0,1104,208,0.01614217404,0.05495864842,0.07509732799,0.1131542596,0.2475391783,0.8780487805,0.8780487805,6153,5815,338,5668,147,0,411.221721,0
