enterprise_id,ood_feature_count,ood_feature_fraction,missing_primary_feature_count,novelty_score_max_tail_distance,ood_flag,threshold_source,threshold_rule
E124,2,0.1333333333,0,1.794988914,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E125,2,0.1333333333,0,2.315698234,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E126,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E127,1,0.06666666667,0,0.128121032,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E128,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E129,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E130,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E131,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E132,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E133,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E134,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E135,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E136,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E137,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E138,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E139,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E140,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E141,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E142,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E143,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E144,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E145,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E146,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E147,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E148,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E149,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E150,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E151,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E152,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E153,1,0.06666666667,0,8.181684408e-06,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E154,1,0.06666666667,0,0.04623021284,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E155,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E156,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E157,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E158,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E159,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
E160,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval
