enterprise_id,enterprise_name,main_risk_score,risk_instability_mean,risk_instability_sd,risk_instability_p05,risk_instability_p10,risk_instability_p50,risk_instability_p90,risk_instability_p95,risk_instability_min,risk_instability_max,risk_instability_test_count,label_spreading_risk_score,label_spreading_final_labeled_nodes,label_spreading_final_unlabeled_target_nodes,label_spreading_test_labels_hidden,rating_prob_A,rating_prob_B,rating_prob_C,rating_prob_D,predicted_rating,ood_feature_count,ood_feature_fraction,missing_primary_feature_count,novelty_score_max_tail_distance,ood_flag,threshold_source,threshold_rule,main_risk_rank,label_spreading_risk_rank,rank_difference_label_spreading_minus_main,main_top20_candidate,label_spreading_top20_candidate,rating_probability_sum,rating_probability_min,rating_row_nonnegative_ok,rating_row_sum_ok,rating_probability_check,risk_instability_interval_width,risk_disagreement_abs,rating_entropy_normalized,uncertainty_reason_ood,uncertainty_reason_interval_width,uncertainty_reason_model_disagreement,uncertainty_reason_rating_entropy,uncertainty_reasons,high_uncertainty_flag,risk_interval_is_external_confidence_interval,risk_interval_definition,risk_interpretation
E217,个体经营E217,0.9142122803,0.8553475911,0.1080272759,0.6366607735,0.6856430659,0.8805899616,0.961571423,0.9749910662,0.5359542215,0.979964432,50,0.9479120621,123,302,True,9.834305362e-05,0.0007135054058,0.009671930558,0.989516221,D,4,0.2666666667,0,1.113753067,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,1,8,7,1,1,1,9.834305362e-05,True,True,PASS,0.3383302927,0.03369978179,0.04426847484,True,True,False,False,OOD|risk_interval_width,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E425,***商贸有限公司,0.8657513532,0.7932227614,0.06472069263,0.6705444694,0.7318815865,0.7973378827,0.8715760341,0.8815548835,0.6281128261,0.9094967231,50,0.6615329406,123,302,True,0.0001550589286,0.001124467829,0.01515197565,0.9835684976,D,1,0.06666666667,0,0.02730452726,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,2,30,28,1,1,1,0.0001550589286,True,True,PASS,0.211010414,0.2042184125,0.06403590533,True,True,True,False,OOD|risk_interval_width|label_spreading_disagreement,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E424,***贸易有限公司,0.8644189454,0.8171113884,0.05384820794,0.7349111744,0.7495925216,0.8158943391,0.8850688163,0.9058782054,0.6842009845,0.9078942094,50,0.3940218729,123,302,True,0.0001159016314,0.000840775743,0.01137604883,0.9876672738,D,1,0.06666666667,0,0.3063092507,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,3,60,57,1,1,1,0.0001159016314,True,True,PASS,0.170967031,0.4703970726,0.05062591848,True,False,True,False,OOD|label_spreading_disagreement,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E419,***科技有限公司,0.8574557977,0.7907190545,0.0646279765,0.6948455879,0.7174849888,0.7970469694,0.8664355275,0.893213259,0.5991214552,0.9163207338,50,0.7706378886,123,302,True,0.0002677226731,0.001939687335,0.02583135757,0.9719612324,D,2,0.1333333333,0,20.26117994,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,4,23,19,1,1,1,0.0002677226731,True,True,PASS,0.1983676711,0.08681790909,0.09839299095,True,False,False,False,OOD,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E417,***园林景观工程有限公司,0.766386449,0.6951064318,0.07043483,0.5924178122,0.6083065079,0.6896277682,0.7931678988,0.7977441954,0.5518669027,0.8227380723,50,0.9463266603,123,302,True,0.002523326863,0.01794722514,0.1936797892,0.7858496588,D,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,5,9,4,1,1,1,0.002523326863,True,True,PASS,0.2053263832,0.1799402113,0.42888812,False,True,False,False,risk_interval_width,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E242,个体经营E242,0.7586645487,0.7041471063,0.09283864863,0.5278625189,0.567264699,0.7215837495,0.7990822156,0.8492560872,0.4830515288,0.8803058154,50,0.7646464395,123,302,True,0.0006254629324,0.004518228989,0.05801700835,0.9368392997,D,2,0.1333333333,0,0.1877796422,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,6,24,18,1,1,1,0.0006254629324,True,True,PASS,0.3213935683,0.005981890724,0.1841665566,True,True,False,False,OOD|risk_interval_width,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E264,个体经营E264,0.7450622148,0.6846972545,0.0942844388,0.5216887305,0.558032296,0.7089157598,0.8032937546,0.8180237331,0.4414057361,0.843169681,50,0.690634137,123,302,True,0.0003142220175,0.00227570867,0.03016073104,0.9672493383,D,2,0.1333333333,0,0.981694462,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,7,28,21,1,1,1,0.0003142220175,True,True,PASS,0.2963350026,0.05442807778,0.1112250555,True,True,False,False,OOD|risk_interval_width,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E401,***遮阳技术发展中心,0.7449814988,0.6938244168,0.0577109261,0.6043645749,0.6212524877,0.6931647537,0.763479966,0.7840522077,0.5388055509,0.7953245085,50,0.8705748979,123,302,True,0.001901098998,0.01359034652,0.1547585008,0.8297500537,D,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,8,17,9,1,1,1,0.001901098998,True,True,PASS,0.1796876328,0.1255933991,0.3707342662,False,False,False,False,none,0,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E404,个体经营E404,0.7412520883,0.7008856495,0.050911512,0.6391927527,0.6488318426,0.6937415236,0.7575999157,0.7887842627,0.6108224967,0.850195085,50,0.9564676205,123,302,True,0.001881788158,0.01345442067,0.153473607,0.8311901842,D,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,9,6,-3,1,1,1,0.001881788158,True,True,PASS,0.14959151,0.2152155322,0.3686846819,False,False,True,False,label_spreading_disagreement,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E423,***通风设备有限公司,0.7368590801,0.6861682741,0.1085814999,0.5618064961,0.5991107113,0.7060204192,0.7853824886,0.8102514058,0.2049060808,0.8360749554,50,0.4345913987,123,302,True,0.001847527433,0.01321315931,0.1511818899,0.8337574234,D,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,10,54,44,1,1,1,0.001847527433,True,True,PASS,0.2484449097,0.3022676815,0.3650067932,False,True,True,False,risk_interval_width|label_spreading_disagreement,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E413,***石材工艺品有限公司,0.6861537667,0.6311400643,0.06735783403,0.523165121,0.5399307488,0.6293932426,0.7122339143,0.7315252602,0.4817576138,0.7735584888,50,0.9743273276,123,302,True,0.00294944584,0.02090552488,0.2178012225,0.7583438068,D,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,11,3,-8,1,1,1,0.00294944584,True,True,PASS,0.2083601392,0.2881735609,0.4615033882,False,True,True,False,risk_interval_width|label_spreading_disagreement,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E373,个体经营E373,0.6735708518,0.6035783978,0.08323429106,0.4832183636,0.5082622439,0.5919855946,0.7150808674,0.7438266673,0.4363754569,0.8102573528,50,0.7833495852,123,302,True,0.003428582981,0.02420749249,0.2427607061,0.7296032184,D,1,0.06666666667,0,0.49627877,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,12,22,10,1,1,1,0.003428582981,True,True,PASS,0.2606083037,0.1097787334,0.4928387091,True,True,False,False,OOD|risk_interval_width,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E422,***童装店,0.6685957767,0.6444568299,0.07536735564,0.5358294632,0.5460805153,0.6454258464,0.7549592666,0.7767665455,0.5051908574,0.7937064603,50,0.9133215077,123,302,True,0.008671851308,0.05872397948,0.417758543,0.5148456262,D,1,0.06666666667,0,1.628369138e-05,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,13,12,-1,1,1,1,0.008671851308,True,True,PASS,0.2409370823,0.2447257309,0.6593760539,True,True,True,False,OOD|risk_interval_width|label_spreading_disagreement,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E414,***物流有限责任公司***分公司,0.6543010827,0.6253136678,0.05998667391,0.546297176,0.5626617571,0.6201078297,0.7069672421,0.7196324174,0.5201071654,0.8081272077,50,0.6277054045,123,302,True,0.003643312568,0.02567898125,0.2532680644,0.7174096418,D,1,0.06666666667,0,0.0001679244138,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,14,31,17,1,1,1,0.003643312568,True,True,PASS,0.1733352415,0.02659567821,0.5053527584,True,False,False,False,OOD,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E418,***营销策划有限公司,0.644426809,0.5835432414,0.07673969967,0.4607587295,0.4643579341,0.5951691019,0.6835944636,0.6965545992,0.4220874814,0.754456211,50,0.9563795166,123,302,True,0.003812408988,0.02683415607,0.2612664735,0.7080869615,D,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,15,7,-8,1,1,1,0.003812408988,True,True,PASS,0.2357958698,0.3119527075,0.514623975,False,True,True,False,risk_interval_width|label_spreading_disagreement,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E405,***职业技能服务有限公司,0.6412903625,0.6295571434,0.07602390048,0.5194156192,0.5463384192,0.625228495,0.7173985291,0.7535192931,0.4613036855,0.8031683311,50,0.8640912974,123,302,True,0.004024074371,0.02827568599,0.2709511466,0.696749093,D,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,16,18,2,1,1,1,0.004024074371,True,True,PASS,0.2341036738,0.2228009348,0.5255648365,False,True,True,False,risk_interval_width|label_spreading_disagreement,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E240,个体经营E240,0.6356687049,0.5832457651,0.1248884528,0.4029292857,0.438508055,0.5511481958,0.7520657795,0.7712467092,0.3502873733,0.8568563728,50,0.8844174355,123,302,True,0.005024276524,0.03502115902,0.3122707696,0.6476837949,D,1,0.06666666667,0,0.009569068326,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,17,16,-1,1,1,1,0.005024276524,True,True,PASS,0.3683174235,0.2487487306,0.5689630221,True,True,True,False,OOD|risk_interval_width|label_spreading_disagreement,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E421,***保温材料有限公司,0.6328973235,0.6042755687,0.09523588721,0.4700005851,0.4856578494,0.6130263516,0.7337250022,0.7509588653,0.3997308611,0.8144632588,50,0.1264748716,123,302,True,0.005109912155,0.03559365343,0.3154985077,0.6437979268,D,1,0.06666666667,0,0.005636042769,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,18,105,87,1,0,1,0.005109912155,True,True,PASS,0.2809582802,0.5064224519,0.572142283,True,True,True,False,OOD|risk_interval_width|label_spreading_disagreement,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E420,***康药房,0.609311506,0.5597771018,0.08046718486,0.4502740747,0.4680825648,0.561323981,0.6587237243,0.6868940273,0.3277340198,0.7129074364,50,0.807252867,123,302,True,0.002395126884,0.01705317792,0.1860368751,0.7945148201,D,1,0.06666666667,0,1.549250931,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,19,20,1,1,1,1,0.002395126884,True,True,PASS,0.2366199527,0.197941361,0.4180349719,True,True,False,False,OOD|risk_interval_width,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E187,个体经营E187,0.6080938535,0.5685686707,0.09473447998,0.4125446436,0.4531186732,0.5564861332,0.7016698613,0.7139771018,0.3930503277,0.7854445309,50,0.6930114899,123,302,True,0.002194899312,0.01565307344,0.173719297,0.8084327303,D,4,0.2666666667,0,1.109535628,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,20,27,7,1,1,1,0.002194899312,True,True,PASS,0.3014324583,0.08491763643,0.3999803329,True,True,False,False,OOD|risk_interval_width,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
E385,***装饰工程有限公司,0.6017593881,0.5640441009,0.06933199073,0.4611648507,0.5011882707,0.5544920453,0.6343330509,0.6902893287,0.3134608859,0.7055570961,50,0.4985815804,123,302,True,0.002790622313,0.01980530388,0.2090335986,0.7683704753,D,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,21,40,19,1,1,1,0.002790622313,True,True,PASS,0.229124478,0.1031778077,0.4499263237,False,True,False,False,risk_interval_width,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; 302 firms have no observed default labels
