enterprise_id,enterprise_name,main_risk_score,risk_instability_mean,risk_instability_sd,risk_instability_p05,risk_instability_p10,risk_instability_p50,risk_instability_p90,risk_instability_p95,risk_instability_min,risk_instability_max,risk_instability_test_count,label_spreading_risk_score,label_spreading_final_labeled_nodes,label_spreading_final_unlabeled_target_nodes,label_spreading_test_labels_hidden,rating_prob_A,rating_prob_B,rating_prob_C,rating_prob_D,predicted_rating,ood_feature_count,ood_feature_fraction,missing_primary_feature_count,novelty_score_max_tail_distance,ood_flag,threshold_source,threshold_rule,main_risk_rank,label_spreading_risk_rank,rank_difference_label_spreading_minus_main,main_top20_candidate,label_spreading_top20_candidate,rating_probability_sum,rating_probability_min,rating_row_nonnegative_ok,rating_row_sum_ok,rating_probability_check,risk_instability_interval_width,risk_disagreement_abs,rating_entropy_normalized,uncertainty_reason_ood,uncertainty_reason_interval_width,uncertainty_reason_model_disagreement,uncertainty_reason_rating_entropy,uncertainty_reasons,high_uncertainty_flag,risk_interval_is_external_confidence_interval,risk_interval_definition,risk_interpretation,rating_probability_sum_recomputed,risk_mean,risk_p90,risk_used,risk_used_column,pD,d_probability_reject_flag,uncertainty_reason_ood_optimization,uncertainty_reason_interval_optimization,uncertainty_reason_disagreement_optimization,uncertainty_reason_entropy_optimization,optimization_uncertainty_flag,uncertainty_cap_applied,max_loan_limit_10k,eligible_for_optimization,optimization_threshold_source,d_rule_description,uncertainty_rule_description,scenario_id,risk_variant,lgd,funding_cost_rate,budget_definition,nominal_budget_10k,decision,decision_reason,selected_rate,selected_rate_percent,offered_loan_amount_10k,offered_loan_amount_yuan,selected_acceptance_probability,selected_customer_churn_mass,expected_disbursed_amount_10k,expected_interest_income_10k,expected_credit_loss_10k,expected_funding_cost_10k,expected_net_return_10k,unit_expected_net_return_per_10k,budget_projection_adjustment_10k,selected_rate_is_observed_attachment3_point,no_D_churn_extrapolation_used,risk_is_historical_relative_default_tendency,customer_churn_is_not_default_rate,industry_code,q2_main_risk,robust_risk,unknown_industry_flag,industry_high_uncertainty_flag,q2_baseline_risk,q3_scenario_id,scenario,q2_scenario_id,risk_override_column,risk_override_only
E124,个体经营E124,0.08366485746,0.1046882824,0.05423374782,0.04098033207,0.04471220558,0.08959159215,0.1658231076,0.2238768326,0.03127942389,0.2656660581,50,0.1188120964,123,302,True,0.8838965585,0.1004521091,0.01443344851,0.001217883842,A,2,0.1333333333,0,1.794988914,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,225,106,-119,0,0,1,0.001217883842,True,True,PASS,0.1828965006,0.05188021043,0.2952312567,True,False,False,False,OOD,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.08366485746,0.1658231076,0.08366485746,risk_mean,0.001217883842,False,True,False,False,False,True,True,50,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择；高不确定性额度上限,0.1225,12.25,50,500000,0.1877442636,0.8110378526,9.387213178,1.053724582,0.3926899262,0.2816163953,0.3794182608,0.007588365215,0,True,True,True,True,unknown,0.06693188597,0.08366485746,1,1,0.06693188597,robust,robust,primary,robust_risk,True
E125,个体经营E125,0.03539079511,0.03764471569,0.01196537427,0.02143338921,0.02167661176,0.03685142582,0.05262467367,0.05715021194,0.01689750703,0.06755275249,50,0.0005868989266,123,302,True,0.5292933119,0.3735192242,0.08899952099,0.008187942937,A,2,0.1333333333,0,2.315698234,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,297,263,-34,0,0,1,0.008187942937,True,True,PASS,0.03571682273,0.02772573717,0.6919339962,True,False,False,False,OOD,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.03539079511,0.05262467367,0.03539079511,risk_mean,0.008187942937,False,True,False,False,False,True,True,50,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择；高不确定性额度上限,0.0985,9.85,50,500000,0.3067007,0.6851113571,15.335035,1.457043118,0.2713595409,0.46005105,0.7256325271,0.01451265054,0,True,True,True,True,unknown,0.02831263609,0.03539079511,1,1,0.02831263609,robust,robust,primary,robust_risk,True
E126,个体经营E126,0.03033483521,0.03322433959,0.01034751452,0.01867904724,0.0193242927,0.03226296625,0.04809930642,0.05073330419,0.01430079907,0.06109477273,50,0.03223072645,123,302,True,0.673036306,0.2714240034,0.05105018686,0.004489503801,A,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,301,136,-165,0,0,1,0.004489503801,True,True,PASS,0.03205425695,0.007962858284,0.5746192134,False,False,False,False,none,0,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.03033483521,0.04809930642,0.03033483521,risk_mean,0.004489503801,False,False,False,False,False,False,False,100,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择,0.0985,9.85,100,1000000,0.3023521338,0.6931583624,30.23521338,2.887826267,0.4585901078,0.9070564015,1.522179758,0.01522179758,0,True,True,True,True,unknown,0.02426786817,0.03033483521,1,1,0.02426786817,robust,robust,primary,robust_risk,True
E127,个体经营E127,0.02697166261,0.02837513855,0.007630236097,0.01713456205,0.01944821733,0.02781120383,0.03666216241,0.04259815783,0.01384881909,0.05014358009,50,0.03831741332,123,302,True,0.745264882,0.2150040932,0.03656806419,0.003162960672,A,1,0.06666666667,0,0.128121032,True,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,302,131,-171,0,0,1,0.003162960672,True,True,PASS,0.02546359578,0.01674008324,0.4968620365,True,False,False,False,OOD,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.02697166261,0.03666216241,0.02697166261,risk_mean,0.003162960672,False,True,False,False,False,True,True,50,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择；高不确定性额度上限,0.0985,9.85,50,500000,0.3000607805,0.6967762589,15.00303902,1.437940638,0.2023284533,0.4500911707,0.7855210144,0.01571042029,0,True,True,True,True,unknown,0.02157733009,0.02697166261,1,1,0.02157733009,robust,robust,primary,robust_risk,True
E128,个体经营E128,0.1080821625,0.08851604403,0.02852651359,0.04471411682,0.04944512656,0.08516596358,0.1273276989,0.1312576457,0.03700125766,0.1561967952,50,0.01537447717,123,302,True,0.06461960122,0.2987266072,0.5181972186,0.118456573,C,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,197,159,-38,0,0,1,0.06461960122,True,True,PASS,0.08654352885,0.07109125287,0.8160553801,False,False,False,True,rating_entropy,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.1080821625,0.1273276989,0.1080821625,risk_mean,0.118456573,False,False,False,False,True,True,True,50,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择；高不确定性额度上限,0.1425,14.25,50,500000,0.1370069691,0.7445364579,6.850348457,0.8706675873,0.3702002377,0.2055104537,0.2949568959,0.005899137918,0,True,True,True,True,unknown,0.08646573004,0.1080821625,1,1,0.08646573004,robust,robust,primary,robust_risk,True
E129,个体经营E129,0.0314203668,0.03205887348,0.007831630184,0.01884465545,0.02318689021,0.0303640367,0.04290608642,0.04407384275,0.01508127479,0.04707512814,50,0.0008024106675,123,302,True,0.5392539656,0.3670148704,0.08586199873,0.007869165276,A,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,300,255,-45,0,0,1,0.007869165276,True,True,PASS,0.02522918729,0.02433388278,0.6851515454,False,False,False,False,none,0,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.0314203668,0.04290608642,0.0314203668,risk_mean,0.007869165276,False,False,False,False,False,False,False,100,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择,0.0985,9.85,100,1000000,0.3064123105,0.6857185243,30.64123105,2.923329524,0.4813793594,0.9192369314,1.522713234,0.01522713234,0,True,True,True,True,unknown,0.02513629344,0.0314203668,1,1,0.02513629344,robust,robust,primary,robust_risk,True
E130,个体经营E130,0.1835980196,0.1429183043,0.04123950439,0.0839697776,0.08981509754,0.1398301353,0.1970876129,0.2144989351,0.07101755188,0.2723810851,50,0.005617171628,123,302,True,0.02240132754,0.1367691129,0.5525150874,0.2883144721,C,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,124,202,78,0,0,1,0.02240132754,True,True,PASS,0.1305291575,0.1412612441,0.7527709625,False,False,False,True,rating_entropy,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,0.9999999999,0.1835980196,0.1970876129,0.1835980196,risk_mean,0.2883144721,False,False,False,False,True,True,True,50,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,不贷,高不确定性规则降额后未被优化选择,,,0,0,0,0,0,0,0,0,0,0,0,False,True,True,True,unknown,0.1468784157,0.1835980196,1,1,0.1468784157,robust,robust,primary,robust_risk,True
E131,个体经营E131,0.03278516028,0.0335655986,0.007909945603,0.01995789235,0.02465748124,0.03217059698,0.0434845407,0.0448379775,0.01612194294,0.05212928277,50,0.0005942326176,123,302,True,0.5121652897,0.3844561711,0.09461396482,0.008764574391,A,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,298,261,-37,0,0,1,0.008764574391,True,True,PASS,0.02488008515,0.0256338956,0.7031828453,False,False,False,False,none,0,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.03278516028,0.0434845407,0.03278516028,risk_mean,0.008764574391,False,False,False,False,False,False,False,100,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择,0.0985,9.85,100,1000000,0.3071905308,0.6840448949,30.71905308,2.926624514,0.5035645393,0.9215715923,1.501488382,0.01501488382,0,True,True,True,True,unknown,0.02622812822,0.03278516028,1,1,0.02622812822,robust,robust,primary,robust_risk,True
E132,个体经营E132,0.0385766548,0.038728394,0.008264100798,0.02534791321,0.03089789555,0.03794666679,0.05012848358,0.05140682055,0.01954370875,0.05811202159,50,0.005988650859,123,302,True,0.5603655453,0.352902841,0.07950124842,0.007230365358,A,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,294,198,-96,0,0,1,0.007230365358,True,True,PASS,0.02605890734,0.02487267298,0.6701698034,False,False,False,False,none,0,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.0385766548,0.05012848358,0.0385766548,risk_mean,0.007230365358,False,False,False,False,False,False,False,100,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择,0.0985,9.85,100,1000000,0.3057932877,0.686976347,30.57932877,2.895868535,0.5898241049,0.917379863,1.388664567,0.01388664567,0,True,True,True,True,unknown,0.03086132384,0.0385766548,1,1,0.03086132384,robust,robust,primary,robust_risk,True
E133,个体经营E133,0.1303911179,0.1060657433,0.02472328286,0.07288307758,0.07612597761,0.1044412082,0.136133192,0.148346914,0.05529211166,0.1748803352,50,0.001056658151,123,302,True,0.1077353827,0.39163485,0.4292362949,0.07139347246,C,0,0,0,0,False,attachment1_123_only,any_primary_feature_outside_reference_quantile_interval,164,248,84,0,0,1,0.07139347246,True,True,PASS,0.07546383647,0.1032562361,0.8357845213,False,False,False,True,rating_entropy,1,False,repeated_fold_model_instability_5th_to_95th_percentile; not an external confidence interval,historical invoice behavior relative default tendency; not a verified PD,1,0.1303911179,0.136133192,0.1303911179,risk_mean,0.07139347246,False,False,False,False,True,True,True,50,True,q2_optimization_config_pre_registered,pD >= tau_D => reject; D mass has no churn curve,OOD/interval/disagreement/entropy flag => max-loan cap,robust,mean,0.5,0.03,nominal_equality,10000,贷,优化选择；高不确定性额度上限,0.1425,14.25,50,500000,0.1424887901,0.7861177375,7.124439504,0.8828553119,0.4644818156,0.2137331851,0.2046403112,0.004092806224,0,True,True,True,True,unknown,0.1043128943,0.1303911179,1,1,0.1043128943,robust,robust,primary,robust_risk,True
