enterprise_id,enterprise_name,industry_code,mapping_status,confidence,mapping_confidence,q2_main_risk,q2_risk_interpretation,growth_yoy_pct,growth_source,d_h_pp,S_h,identity_multiplier,identity_risk,light_multiplier,light_risk,medium_multiplier,medium_risk,severe_multiplier,severe_risk,robust_risk,unknown_industry_flag,industry_high_uncertainty_flag,high_uncertainty_flag,unknown_policy,growth_source_url,source_release_date,source_period,source_standard,source_status,source_interpretation,risk_override_only
E124,个体经营E124,unknown,generic_unknown,0.0,0.0,0.06693188597,historical invoice behavior relative default tendency; 302 firms have no observed default labels,,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,35.3,0.8825,1.0,0.06693188597,1.1103125,0.07431530964106561,1.220625,0.08169873331213125,1.25,0.08366485746249999,0.08366485746249999,1,1,1,max_known_S,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,True
E125,个体经营E125,unknown,generic_unknown,0.0,0.0,0.02831263609,historical invoice behavior relative default tendency; 302 firms have no observed default labels,,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,35.3,0.8825,1.0,0.02831263609,1.1103125,0.03143587375867812,1.220625,0.03455911142735625,1.25,0.0353907951125,0.0353907951125,1,1,1,max_known_S,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,True
E126,个体经营E126,unknown,generic_unknown,0.0,0.0,0.02426786817,historical invoice behavior relative default tendency; 302 firms have no observed default labels,,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,35.3,0.8825,1.0,0.02426786817,1.1103125,0.026944917377503128,1.220625,0.029621966585006255,1.25,0.0303348352125,0.0303348352125,1,1,0,max_known_S,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,True
E127,个体经营E127,unknown,generic_unknown,0.0,0.0,0.02157733009,historical invoice behavior relative default tendency; 302 firms have no observed default labels,,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,35.3,0.8825,1.0,0.02157733009,1.1103125,0.023957579315553125,1.220625,0.02633782854110625,1.25,0.0269716626125,0.0269716626125,1,1,1,max_known_S,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,True
E128,个体经营E128,unknown,generic_unknown,0.0,0.0,0.08646573004,historical invoice behavior relative default tendency; 302 firms have no observed default labels,,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,35.3,0.8825,1.0,0.08646573004,1.1103125,0.09600398088503749,1.220625,0.105542231730075,1.25,0.10808216255,0.10808216255,1,1,1,max_known_S,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,True
E129,个体经营E129,unknown,generic_unknown,0.0,0.0,0.02513629344,historical invoice behavior relative default tendency; 302 firms have no observed default labels,,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,35.3,0.8825,1.0,0.02513629344,1.1103125,0.0279091408101,1.220625,0.0306819881802,1.25,0.0314203668,0.0314203668,1,1,0,max_known_S,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,True
E130,个体经营E130,unknown,generic_unknown,0.0,0.0,0.1468784157,historical invoice behavior relative default tendency; 302 firms have no observed default labels,,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,35.3,0.8825,1.0,0.1468784157,1.1103125,0.16308094093190625,1.220625,0.1792834661638125,1.25,0.183598019625,0.183598019625,1,1,1,max_known_S,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,True
E131,个体经营E131,unknown,generic_unknown,0.0,0.0,0.02622812822,historical invoice behavior relative default tendency; 302 firms have no observed default labels,,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,35.3,0.8825,1.0,0.02622812822,1.1103125,0.02912141861426875,1.220625,0.0320147090085375,1.25,0.032785160275,0.032785160275,1,1,0,max_known_S,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,True
E132,个体经营E132,unknown,generic_unknown,0.0,0.0,0.03086132384,historical invoice behavior relative default tendency; 302 firms have no observed default labels,,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,35.3,0.8825,1.0,0.03086132384,1.1103125,0.0342657136261,1.220625,0.0376701034122,1.25,0.0385766548,0.0385766548,1,1,0,max_known_S,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,True
E133,个体经营E133,unknown,generic_unknown,0.0,0.0,0.1043128943,historical invoice behavior relative default tendency; 302 firms have no observed default labels,,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,35.3,0.8825,1.0,0.1043128943,1.1103125,0.11581991045246876,1.220625,0.1273269266049375,1.25,0.130391117875,0.130391117875,1,1,1,max_known_S,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,True
E134,***工程咨询有限公司,other_services,high_specific_rule,1.0,1.0,0.03620846997,historical invoice behavior relative default tendency; 302 firms have no observed default labels,-1.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,1.8,0.045,1.0,0.03620846997,1.005625,0.03641214261358125,1.01125,0.036615815257162496,1.016875,0.03681948790074375,0.03681948790074375,0,0,0,not_applicable,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,True
