scenario_id,budget_10k,budget_definition,budget_used_10k,budget_unused_10k,eligible_enterprise_count,offered_enterprise_count,A_enterprise_count,A_offered_count,A_loan_amount_10k,B_enterprise_count,B_offered_count,B_loan_amount_10k,C_enterprise_count,C_offered_count,C_loan_amount_10k,D_enterprise_count,D_offered_count,D_loan_amount_10k,expected_disbursed_amount_10k,weighted_average_interest_rate_by_offer,weighted_average_interest_rate_by_expected_disbursement,weighted_average_risk_by_offer,weighted_average_risk_by_expected_disbursement,expected_interest_income_10k,expected_credit_loss_10k,expected_funding_cost_10k,expected_net_return_10k,minimum_unit_expected_return,negative_unit_return_selected_count,solver_status,solver_message,is_optimal,mip_gap,solve_time_seconds,variable_count,integer_variable_count,constraint_count,scenario_family,risk_variant,budget_fraction,lgd,funding_cost_rate,marginal_expected_net_return_change_10k,new_enterprises_count,removed_enterprises_count,largest_loan_change_enterprise_id,largest_loan_change_10k
budget_0.10_bmax_nominal_equality,990,nominal_equality,990,0,99,10,27,4,400,38,2,200,34,4,390,24,0,0,299.2265933,0.1028232323,0.1022931646,0.03152774337,0.03110703751,29.64292981,4.654026432,8.976797799,16.01210558,0.0140206797,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.090115,5742,2871,5842,budget,mean,0.1,0.5,0.03,,10,0,,
budget_0.20_bmax_nominal_equality,1980,nominal_equality,1980,0,99,20,27,11,1080,38,4,400,34,5,500,24,0,0,570.4399672,0.1037121212,0.103275885,0.03966223878,0.03892748492,56.59115042,11.10289661,17.11319902,28.3750548,0.01138918362,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.082989,5742,2871,5842,budget,mean,0.2,0.5,0.03,12.36294921,10,0,E10,100
budget_0.30_bmax_nominal_equality,2970,nominal_equality,2970,0,99,30,27,14,1370,38,7,700,34,9,900,24,0,0,736.4303985,0.1145538721,0.1104670829,0.05040088995,0.04619000196,77.41937286,17.00786077,22.09291195,38.31860014,0.009586434928,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.111119,5742,2871,5842,budget,mean,0.3,0.5,0.03,9.943545338,10,0,E1,100
budget_0.40_bmax_nominal_equality,3960,nominal_equality,3960,0,99,40,27,16,1600,38,12,1160,34,12,1200,24,0,0,898.666421,0.1203787879,0.115302041,0.05802462533,0.05237369231,97.8853971,23.53323931,26.95999263,47.39216516,0.008967553384,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.104103,5742,2871,5842,budget,mean,0.4,0.5,0.03,9.073565022,10,0,E12,100
budget_0.50_bmax_nominal_equality,4950,nominal_equality,4950,0,99,50,27,18,1800,38,18,1800,34,14,1350,24,0,0,1059.522856,0.1239949495,0.1187320781,0.06513946456,0.05855183813,117.9913536,31.01850538,31.78568567,55.18716253,0.006968408637,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.097159,5742,2871,5842,budget,mean,0.5,0.5,0.03,7.794997371,10,0,E15,100
budget_0.60_bmax_nominal_equality,5940,nominal_equality,5940,0,99,60,27,22,2140,38,21,2100,34,17,1700,24,0,0,1202.902526,0.1270791246,0.1215650897,0.07341695704,0.06526852189,136.0753176,39.25583492,36.08707577,60.73240693,0.004235103061,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.099326,5742,2871,5842,budget,mean,0.6,0.5,0.03,5.545244398,10,0,E27,100
budget_0.70_bmax_nominal_equality,6930,nominal_equality,6930,0,99,70,27,26,2530,38,26,2600,34,18,1800,24,0,0,1323.833963,0.1297546898,0.1237486717,0.08398156578,0.07267118191,151.0879546,48.10228936,39.71501888,63.2706464,0.0009718013519,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.157814,5742,2871,5842,budget,mean,0.7,0.5,0.03,2.538239475,10,0,E26,100
budget_0.80_bmax_nominal_equality,7920,nominal_equality,7920,0,99,80,27,26,2600,38,32,3200,34,22,2120,24,0,0,1431.318047,0.1322853535,0.1257200016,0.09851226673,0.0823109739,163.9692767,58.9065912,42.9395414,62.12314411,-0.003370409216,7,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.118351,5742,2871,5842,budget,mean,0.8,0.5,0.03,-1.147502296,10,0,E105,100
budget_0.90_bmax_nominal_equality,8910,nominal_equality,8910,0,99,90,27,27,2700,38,37,3610,34,26,2600,24,0,0,1536.228287,0.1342536476,0.1273781018,0.1178496969,0.09516102342,175.4494317,73.09452798,46.0868486,56.26805508,-0.008171557265,17,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.11111,5742,2871,5842,budget,mean,0.9,0.5,0.03,-5.855089027,10,0,E106,100
budget_1.00_bmax_nominal_equality,9900,nominal_equality,9900,0,99,99,27,27,2700,38,38,3800,34,34,3400,24,0,0,1641.782161,0.1358282828,0.1288325146,0.1513787062,0.118147268,184.1150597,96.98603846,49.25346483,37.87555639,-0.04248167203,26,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.137941,5742,2871,5842,budget,mean,1,0.5,0.03,-18.39249869,9,0,E104,100
