interest_rate,raw_A,raw_B,raw_C,fitted_A,fitted_B,fitted_C,raw_A_to_B_difference,raw_B_to_C_difference,fitted_A_to_B_difference,fitted_B_to_C_difference,raw_order_A_le_B_le_C,fitted_order_A_le_B_le_C,fitted_crossing_flag
0.04,0,0,0,0,0,0,0,0,0,0,True,True,False
0.0425,0.09457412621,0.06679958332,0.06872530649,0.09457412621,0.06679958332,0.06872530649,-0.02777454288,0.001925723164,-0.02777454288,0.001925723164,False,False,True
0.0465,0.1357271831,0.1350520596,0.1220990289,0.1357271831,0.1350520596,0.1220990289,-0.0006751235744,-0.01295303062,-0.0006751235744,-0.01295303062,False,False,True
0.0505,0.2246033536,0.20658008,0.1812521463,0.2246033536,0.20658008,0.1812521463,-0.01802327357,-0.0253279337,-0.01802327357,-0.0253279337,False,False,True
0.0545,0.3020381016,0.2768122932,0.2633028632,0.3020381016,0.2768122932,0.2633028632,-0.02522580834,-0.01350943001,-0.02522580834,-0.01350943001,False,False,True
0.0585,0.3473156681,0.3028834011,0.2901890983,0.3473156681,0.3028834011,0.2901890983,-0.04443226702,-0.01269430281,-0.04443226702,-0.01269430281,False,False,True
0.0625,0.41347177,0.3702158521,0.3497155901,0.41347177,0.3702158521,0.3497155901,-0.0432559179,-0.02050026198,-0.0432559179,-0.02050026198,False,False,True
0.0665,0.4478909726,0.4062966682,0.3907716828,0.4478909726,0.4062966682,0.3907716828,-0.04159430439,-0.01552498542,-0.04159430439,-0.01552498542,False,False,True
0.0705,0.4976344534,0.458295295,0.4572380698,0.4976344534,0.458295295,0.4572380698,-0.03933915848,-0.001057225173,-0.03933915848,-0.001057225173,False,False,True
0.0745,0.511096612,0.5087186917,0.4926604331,0.511096612,0.5087186917,0.4926604331,-0.002377920312,-0.01605825857,-0.002377920312,-0.01605825857,False,False,True
0.0785,0.573393087,0.5444088369,0.5136602385,0.573393087,0.5444088369,0.5136602385,-0.02898425008,-0.03074859837,-0.02898425008,-0.03074859837,False,False,True
0.0825,0.6094921146,0.5484939576,0.5302487056,0.6094921146,0.5484939576,0.5302487056,-0.06099815705,-0.01824525196,-0.06099815705,-0.01824525196,False,False,True
0.0865,0.6529447736,0.5887656961,0.5877624082,0.6529447736,0.5887656961,0.5877624082,-0.06417907756,-0.001003287914,-0.06417907756,-0.001003287914,False,False,True
0.0905,0.6675418427,0.6257645759,0.5900970447,0.6675418427,0.6257645759,0.5900970447,-0.0417772668,-0.03566753116,-0.0417772668,-0.03566753116,False,False,True
0.0945,0.6947799208,0.6356051463,0.6429936556,0.6947799208,0.6356051463,0.6429936556,-0.05917477446,0.007388509299,-0.05917477446,0.007388509299,False,False,True
0.0985,0.7083020233,0.6735274241,0.6588394158,0.7083020233,0.6735274241,0.6588394158,-0.03477459914,-0.01468800837,-0.03477459914,-0.01468800837,False,False,True
0.1025,0.7312754013,0.6969254309,0.6968705731,0.7312754013,0.6969254309,0.6968705731,-0.03434997043,-5.485774645e-05,-0.03434997043,-5.485774645e-05,False,False,True
0.1065,0.775091405,0.7053159925,0.7191035524,0.775091405,0.7053159925,0.7151023945,-0.06977541247,0.01378755988,-0.06977541247,0.009786401992,False,False,True
0.1105,0.7982273676,0.7429363263,0.7111012366,0.794377317,0.7429363263,0.7151023945,-0.05529104138,-0.03183508966,-0.05144099077,-0.02783393176,False,False,True
0.1145,0.7905272664,0.7764007288,0.7506276561,0.794377317,0.7692116619,0.7506276561,-0.01412653766,-0.02577307264,-0.02516565515,-0.01858400576,False,False,True
0.1185,0.8151969865,0.762022595,0.7768160432,0.8148090077,0.7692116619,0.7768160432,-0.05317439146,0.01479344822,-0.04559734578,0.00760438134,False,False,True
0.1225,0.8144210289,0.7915036971,0.7844805121,0.8148090077,0.7915036971,0.7844805121,-0.02291733174,-0.007023185071,-0.02330531054,-0.007023185071,False,False,True
0.1265,0.8548110969,0.8149989325,0.7955662741,0.8548110969,0.8149989325,0.7955662741,-0.03981216433,-0.01943265839,-0.03981216433,-0.01943265839,False,False,True
0.1305,0.8703173433,0.8222978615,0.8200514336,0.8703173433,0.8222978615,0.8200514336,-0.04801948178,-0.002246427849,-0.04801948178,-0.002246427849,False,False,True
0.1345,0.8714280854,0.8353016023,0.8322884215,0.8714280854,0.8353016023,0.8322884215,-0.03612648314,-0.003013180775,-0.03612648314,-0.003013180775,False,False,True
0.1385,0.8859259452,0.8457477454,0.8440898754,0.8801803134,0.8439092946,0.8405321006,-0.04017819977,-0.001657870016,-0.03627101887,-0.003377193981,False,False,True
0.1425,0.8744346817,0.8420708437,0.8369743258,0.8801803134,0.8439092946,0.8405321006,-0.03236383796,-0.005096517947,-0.03627101887,-0.003377193981,False,False,True
0.1465,0.9027259086,0.8681595356,0.8725589573,0.9027259086,0.8681595356,0.8725589573,-0.03456637304,0.004399421721,-0.03456637304,0.004399421721,False,False,True
0.15,0.922060687,0.885864919,0.8951647387,0.922060687,0.885864919,0.8951647387,-0.03619576795,0.009299819662,-0.03619576795,0.009299819662,False,False,True
