enterprise_id,enterprise_name,input_invoice_count,output_invoice_count,has_input,has_output,has_any_invoice,has_both_directions,dataset
E1,***电器销售有限公司,3441,8110,True,True,True,True,training
E2,***技术有限责任公司,32156,12707,True,True,True,True,training
E3,***电子(中国)有限公司***分公司,4561,24073,True,True,True,True,training
E4,***发展有限责任公司,558,2231,True,True,True,True,training
E5,***供应链管理有限公司,2169,1060,True,True,True,True,training
E6,***装饰设计工程有限公司,11337,1052,True,True,True,True,training
E7,***家电有限公司***分公司,13097,8149,True,True,True,True,training
E8,***科学研究院有限公司,22536,9425,True,True,True,True,training
E9,***生活用品服务有限公司***分公司,4293,5906,True,True,True,True,training
E10,***建筑劳务有限公司,4097,568,True,True,True,True,training
E11,***建设工程有限公司,2836,1117,True,True,True,True,training
E12,***建筑劳务有限公司,1796,285,True,True,True,True,training
E13,***汽车贸易有限公司,13469,8005,True,True,True,True,training
E14,个体经营E14,7077,3336,True,True,True,True,training
E15,***劳务有限公司,92,2412,True,True,True,True,training
E16,***建筑劳务有限公司,290,439,True,True,True,True,training
E17,***消防工程有限公司,7568,676,True,True,True,True,training
E18,***消防工程有限责任公司,5765,381,True,True,True,True,training
E19,***科技有限公司,1524,3099,True,True,True,True,training
E20,***贸易有限公司,1130,777,True,True,True,True,training
E21,***建设工程有限公司,2312,1466,True,True,True,True,training
E22,***物流有限公司,1610,1562,True,True,True,True,training
E23,***贸易有限公司,4951,3570,True,True,True,True,training
E24,***建筑工程有限公司,2047,1782,True,True,True,True,training
E25,***通讯设备有限公司,1410,978,True,True,True,True,training
E26,***金属材料有限公司,791,504,True,True,True,True,training
E27,***农业开发有限公司,2565,1468,True,True,True,True,training
E28,***景观工程有限公司,169,569,True,True,True,True,training
E29,***建筑劳务有限公司,50,475,True,True,True,True,training
E30,***建筑工程有限公司,754,800,True,True,True,True,training
E31,***食品有限公司,412,2608,True,True,True,True,training
E32,***建筑劳务有限公司,2826,552,True,True,True,True,training
E33,***园林有限责任公司,1293,1073,True,True,True,True,training
E34,***建设工程有限公司,2309,707,True,True,True,True,training
E35,***商贸有限公司,669,770,True,True,True,True,training
E36,***超硬材料有限公司,1636,1547,True,True,True,True,training
E37,***木业有限公司,618,1273,True,True,True,True,training
E38,***建设工程有限公司,991,628,True,True,True,True,training
E39,***建筑劳务有限公司,282,264,True,True,True,True,training
E40,***财税咨询服务有限公司,3148,883,True,True,True,True,training
E41,***物业发展有限公司,2033,663,True,True,True,True,training
E42,***园艺场,47,327,True,True,True,True,training
E43,***建设工程有限公司,78,245,True,True,True,True,training
E44,***商贸有限公司,1248,2435,True,True,True,True,training
E45,个体经营E45,600,325,True,True,True,True,training
E46,***广告传媒有限公司,2544,974,True,True,True,True,training
E47,***控制设备有限责任公司,2905,3518,True,True,True,True,training
E48,***化工有限公司,1235,1016,True,True,True,True,training
E49,***地球环保科技有限公司,3615,513,True,True,True,True,training
E50,***建筑劳务有限公司,197,285,True,True,True,True,training
E51,***物流有限公司,453,895,True,True,True,True,training
E52,***商贸有限公司,425,379,True,True,True,True,training
E53,***文化传媒有限公司,630,454,True,True,True,True,training
E54,***新技术开发有限公司,1644,3501,True,True,True,True,training
E55,***集团有限公司***电力设备分公司,823,590,True,True,True,True,training
E56,***家居材料***有限公司,1201,495,True,True,True,True,training
E57,***机械设备有限公司,130,438,True,True,True,True,training
E58,***油气工程建设有限责任公司,1352,388,True,True,True,True,training
E59,***商贸有限公司,549,2149,True,True,True,True,training
E60,***机械租赁有限公司,538,513,True,True,True,True,training
E61,***调味品有限公司,212,1992,True,True,True,True,training
E62,***工程造价咨询有限公司***分公司,530,219,True,True,True,True,training
E63,***科技有限公司,1573,673,True,True,True,True,training
E64,***图书有限责任公司,32,1375,True,True,True,True,training
E65,***商贸有限公司,587,485,True,True,True,True,training
E66,***快递有限公司,577,679,True,True,True,True,training
E67,***信息技术有限公司,647,215,True,True,True,True,training
E68,***花木总公司,3,73,True,True,True,True,training
E69,***电子器材经营部,1,587,True,True,True,True,training
E70,***科技有限公司,1829,578,True,True,True,True,training
E71,***农业科技有限公司,1259,375,True,True,True,True,training
E72,***图书有限公司,117,248,True,True,True,True,training
E73,***商贸有限责任公司,606,236,True,True,True,True,training
E74,***蔬菜专业合作社,19,555,True,True,True,True,training
E75,***酒店管理有限公司,552,8655,True,True,True,True,training
E76,***信息科技有限公司,350,245,True,True,True,True,training
E77,***机电设备有限公司,54,258,True,True,True,True,training
E78,个体经营E78,52,268,True,True,True,True,training
E79,***鞋业有限公司,154,86,True,True,True,True,training
E80,***实业有限责任公司,395,48,True,True,True,True,training
E81,***机械设备有限公司,211,649,True,True,True,True,training
E82,***商贸有限公司,315,343,True,True,True,True,training
E83,***社会福利院（***社会福利社会化服务中心）,2890,706,True,True,True,True,training
E84,***建材有限公司,54,498,True,True,True,True,training
