feature,reference_n,target_n,reference_mean,target_mean,reference_std,standardized_mean_difference,target_standardized_mean,reference_min,reference_max,reference_q01,reference_q99,target_min,target_max,train_min_max_coverage,train_q01_q99_coverage,ks_statistic,ks_p_value,wasserstein_distance,standardization_fit_source,comparison_used_pooled_fit
sales_scale_10k,123,302,12586.99365,5615.864685,48972.25164,-0.142348549,-0.142348549,3.6742,484889.1781,5.8429932,187760.0892,2.785661,106109.4539,0.9966887417,0.9933774834,0.1383190653,0.06294503243,8012.719899,attachment1_123_only,False
purchase_scale_10k,123,302,9021.734771,3128.208493,65025.07433,-0.09063467192,-0.09063467192,0.028,721201.9834,0.05996,30974.54967,0.056,102702.1208,1,0.9801324503,0.1431648091,0.04927831188,6235.106965,attachment1_123_only,False
operating_net_inflow_proxy_10k,123,302,3472.916913,2399.064446,26313.28897,-0.04081027152,-0.04081027152,-193930.8588,189195.637,-2731.617055,59057.74485,-9567.466617,66974.26166,1,0.9735099338,0.0841544177,0.5314679485,4413.982282,attachment1_123_only,False
sales_growth_trend,123,302,0.03288871233,0.0326697444,0.04958814779,-0.004415731008,-0.004415731008,-0.1025611707,0.2180988904,-0.0810025545,0.1965877387,-0.1250525824,0.1698635532,0.9966887417,0.9933774834,0.05820276746,0.9072504239,0.004897216293,attachment1_123_only,False
sales_monthly_cv,123,302,1.531171099,1.463505332,0.888054802,-0.07619548584,-0.07619548584,0.4020542522,4.601316205,0.4431762335,4.202548347,0.3952035132,5.354078802,0.9900662252,0.9735099338,0.1073063049,0.2447488204,0.08431829969,attachment1_123_only,False
invoice_activity_per_month,123,302,69.3569304,54.5270554,144.2382151,-0.1028151589,-0.1028151589,0.1463414634,1002.731707,0.536097561,723.8580488,0.4146341463,771.1219512,1,0.9933774834,0.08504280407,0.5182315287,20.18693409,attachment1_123_only,False
sales_return_rate,123,302,0.03264055242,0.02145257097,0.08502060061,-0.1315914187,-0.1315914187,-0,0.7036673925,0,0.3910558121,-0,0.2357625652,1,1,0.05645291552,0.9243784317,0.01289464256,attachment1_123_only,False
purchase_return_rate,123,302,0.01463308178,0.010688541,0.0423303319,-0.09318473537,-0.09318473537,-0,0.3617622117,0,0.2036086543,-0,0.2372081947,1,0.9966887417,0.04651914069,0.9856663315,0.004003233529,attachment1_123_only,False
void_invoice_rate,123,302,0.07845961919,0.072110366,0.07672116287,-0.0827575203,-0.0827575203,0,0.4705882353,0.006686902866,0.3885759494,0,0.7549325026,0.9966887417,0.9768211921,0.06000646099,0.8876429239,0.01059511616,attachment1_123_only,False
customer_count,123,302,219.5853659,167.2284768,785.5280351,-0.06665184016,-0.06665184016,1,7476,2,3069.58,1,5120,1,0.9900662252,0.04926506219,0.9747494144,55.32711463,attachment1_123_only,False
supplier_count,123,302,242.4227642,247.1423841,468.8842705,0.01006563917,0.01006563917,1,3625,1,2371.28,1,3655,0.9966887417,0.9966887417,0.1274969041,0.1050779531,50.27106553,attachment1_123_only,False
customer_hhi,123,302,0.2240968828,0.2435814414,0.2307529588,0.0844390414,0.0844390414,0.002757484111,1,0.005317249141,0.9924253777,0.0009245554446,1,0.9933774834,0.9867549669,0.06883648307,0.769248013,0.02430559196,attachment1_123_only,False
supplier_hhi,123,302,0.3211426237,0.2550930191,0.2987722959,-0.2210700438,-0.2210700438,0.01805340972,1,0.01918523387,1,0.002001393149,1,0.9735099338,0.9735099338,0.1443224035,0.04653870814,0.06605186588,attachment1_123_only,False
purchase_sales_ratio,123,302,0.7894253593,1.791150503,1.684650167,0.5946190867,0.5946190867,0.0001242219718,10.96812277,0.0004475535618,10.18612029,0.0001198669692,216.5598685,0.9701986755,0.9503311258,0.07594357401,0.6595831946,1.100635241,attachment1_123_only,False
active_month_ratio,123,302,0.7709696609,0.7856565983,0.1852941355,0.07926282898,0.07926282898,0.1219512195,0.9268292683,0.243902439,0.9268292683,0.1463414634,0.9268292683,1,0.9966887417,0.08773488397,0.4787676591,0.01986492325,attachment1_123_only,False
