dataset,sheet,direction,column,missing_count,missing_rate
training,进项发票信息,input,企业代号,0,0
training,进项发票信息,input,发票号码,0,0
training,进项发票信息,input,开票日期,0,0
training,进项发票信息,input,金额,0,0
training,进项发票信息,input,税额,0,0
training,进项发票信息,input,价税合计,0,0
training,进项发票信息,input,发票状态,0,0
training,销项发票信息,output,企业代号,0,0
training,销项发票信息,output,发票号码,0,0
training,销项发票信息,output,开票日期,0,0
training,销项发票信息,output,金额,0,0
training,销项发票信息,output,税额,0,0
training,销项发票信息,output,价税合计,0,0
training,销项发票信息,output,发票状态,0,0
target,进项发票信息,input,企业代号,0,0
target,进项发票信息,input,发票号码,0,0
target,进项发票信息,input,开票日期,0,0
target,进项发票信息,input,金额,0,0
target,进项发票信息,input,税额,0,0
target,进项发票信息,input,价税合计,0,0
target,进项发票信息,input,发票状态,0,0
target,销项发票信息,output,企业代号,0,0
target,销项发票信息,output,发票号码,0,0
target,销项发票信息,output,开票日期,0,0
target,销项发票信息,output,金额,0,0
target,销项发票信息,output,税额,0,0
target,销项发票信息,output,价税合计,0,0
target,销项发票信息,output,发票状态,0,0
