dataset,sheet,role,column,row_count,dtype,missing_count,missing_rate,unique_count
training,企业信息,enterprise,enterprise_id,123,string,0,0,123
training,企业信息,enterprise,enterprise_name,123,string,0,0,93
training,企业信息,enterprise,credit_rating,123,string,0,0,4
training,企业信息,enterprise,default_label,123,int64,0,0,2
training,进项发票信息,input_invoice,企业代号,210947,string,0,0,123
training,进项发票信息,input_invoice,发票号码,210947,string,0,0,209720
training,进项发票信息,input_invoice,开票日期,210947,datetime64[us],0,0,1217
training,进项发票信息,input_invoice,销方单位代号,210947,string,0,0,13961
training,进项发票信息,input_invoice,金额,210947,float64,0,0,57356
training,进项发票信息,input_invoice,税额,210947,float64,0,0,41912
training,进项发票信息,input_invoice,价税合计,210947,float64,0,0,42313
training,进项发票信息,input_invoice,发票状态,210947,string,0,0,2
training,销项发票信息,output_invoice,企业代号,162484,string,0,0,123
training,销项发票信息,output_invoice,发票号码,162484,string,0,0,157568
training,销项发票信息,output_invoice,开票日期,162484,datetime64[us],0,0,1194
training,销项发票信息,output_invoice,购方单位代号,162484,string,0,0,24449
training,销项发票信息,output_invoice,金额,162484,float64,0,0,69721
training,销项发票信息,output_invoice,税额,162484,float64,0,0,66536
training,销项发票信息,output_invoice,价税合计,162484,float64,0,0,57361
training,销项发票信息,output_invoice,发票状态,162484,string,0,0,3
target,企业信息,enterprise,enterprise_id,302,string,0,0,302
target,企业信息,enterprise,enterprise_name,302,string,0,0,226
target,企业信息,enterprise,credit_rating,302,string,302,1,0
target,企业信息,enterprise,default_label,302,float64,302,1,0
target,进项发票信息,input_invoice,企业代号,395175,string,0,0,302
target,进项发票信息,input_invoice,发票号码,395175,string,0,0,379200
target,进项发票信息,input_invoice,开票日期,395175,datetime64[us],0,0,19273
target,进项发票信息,input_invoice,销方单位代号,395175,string,0,0,31160
target,进项发票信息,input_invoice,金额,395175,float64,0,0,99654
target,进项发票信息,input_invoice,税额,395175,float64,0,0,74600
target,进项发票信息,input_invoice,价税合计,395175,float64,0,0,73847
target,进项发票信息,input_invoice,发票状态,395175,string,0,0,2
target,销项发票信息,output_invoice,企业代号,330835,string,0,0,302
target,销项发票信息,output_invoice,发票号码,330835,string,0,0,323665
target,销项发票信息,output_invoice,开票日期,330835,datetime64[us],0,0,5310
target,销项发票信息,output_invoice,购方单位代号,330835,string,0,0,40891
target,销项发票信息,output_invoice,金额,330835,float64,0,0,97795
target,销项发票信息,output_invoice,税额,330835,float64,0,0,82016
target,销项发票信息,output_invoice,价税合计,330835,float64,0,0,74122
target,销项发票信息,output_invoice,发票状态,330835,string,0,0,3
