scenario_id,scenario_kind,sensitivity_axis,sensitivity_level,budget_definition,solve_status,is_optimal,budget_10k,nominal_offered_amount_10k,budget_difference_10k,expected_disbursed_amount_10k,expected_disbursement_difference_10k,budget_constraint_pass,budget_equality_required,fallback_used
primary,primary,primary,baseline,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_risk_variant_mean,sensitivity,risk_variant,mean,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_risk_variant_p90,sensitivity,risk_variant,p90,nominal_equality,optimal,True,10000,10000,0,1640.537479,-8359.462521,True,True,False
sensitivity_lgd_0p3,sensitivity,lgd,0.3,nominal_equality,optimal,True,10000,10000,0,2574.650927,-7425.349073,True,True,False
sensitivity_lgd_0p5,sensitivity,lgd,0.5,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_lgd_0p7,sensitivity,lgd,0.7,nominal_equality,optimal,True,10000,10000,0,1779.688663,-8220.311337,True,True,False
sensitivity_funding_cost_rate_0p02,sensitivity,funding_cost_rate,0.02,nominal_equality,optimal,True,10000,10000,0,2507.59022,-7492.40978,True,True,False
sensitivity_funding_cost_rate_0p03,sensitivity,funding_cost_rate,0.03,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_funding_cost_rate_0p04,sensitivity,funding_cost_rate,0.04,nominal_equality,optimal,True,10000,10000,0,1734.476971,-8265.523029,True,True,False
sensitivity_d_probability_threshold_0p7,sensitivity,d_probability_threshold,0.7,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_d_probability_threshold_0p8,sensitivity,d_probability_threshold,0.8,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_d_probability_threshold_0p9,sensitivity,d_probability_threshold,0.9,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_uncertainty_cap_10k_30p0,sensitivity,uncertainty_cap_10k,30.0,nominal_equality,optimal,True,10000,10000,0,1910.929573,-8089.070427,True,True,False
sensitivity_uncertainty_cap_10k_50p0,sensitivity,uncertainty_cap_10k,50.0,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_uncertainty_cap_10k_70p0,sensitivity,uncertainty_cap_10k,70.0,nominal_equality,optimal,True,10000,10000,0,2244.393529,-7755.606471,True,True,False
sensitivity_ood_novelty_threshold_0p5,sensitivity,ood_novelty_threshold,0.5,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_ood_novelty_threshold_1p0,sensitivity,ood_novelty_threshold,1.0,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_ood_novelty_threshold_1p5,sensitivity,ood_novelty_threshold,1.5,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_interval_width_threshold_0p15,sensitivity,interval_width_threshold,0.15,nominal_equality,optimal,True,10000,10000,0,2123.637962,-7876.362038,True,True,False
sensitivity_interval_width_threshold_0p2,sensitivity,interval_width_threshold,0.2,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_interval_width_threshold_0p25,sensitivity,interval_width_threshold,0.25,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_budget_definition_nominal_equality,sensitivity,budget_definition,nominal_equality,nominal_equality,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,True,False
sensitivity_budget_definition_nominal_cap,sensitivity,budget_definition,nominal_cap,nominal_cap,optimal,True,10000,10000,0,2122.868113,-7877.131887,True,False,False
sensitivity_budget_definition_expected_disbursement_cap,sensitivity,budget_definition,expected_disbursement_cap,expected_disbursement_cap,optimal,True,10000,12400,2400,2398.658448,-7601.341552,True,False,False
