parameter,value,parameter_type
beta_sales_scale_10k,-1.970154599,slope
beta_purchase_scale_10k,-0.156072571,slope
beta_operating_net_inflow_proxy_10k,0.6571090316,slope
beta_sales_growth_trend,-0.08941334519,slope
beta_sales_monthly_cv,0.8747544891,slope
beta_invoice_activity_per_month,-0.06885613493,slope
beta_sales_return_rate,0.1747224275,slope
beta_purchase_return_rate,-0.01296872389,slope
beta_void_invoice_rate,0.234351436,slope
beta_customer_count,0.2669937632,slope
beta_supplier_count,0.4553570119,slope
beta_customer_hhi,0.8409025906,slope
beta_supplier_hhi,-0.4001974927,slope
beta_purchase_sales_ratio,1.045306785,slope
beta_active_month_ratio,-0.4097317779,slope
threshold_1,-1.499101385,ordered_threshold
threshold_2,0.6124642282,ordered_threshold
threshold_3,3.180461961,ordered_threshold
