model,repeat_id,fold_id,n_train,n_test,n_default_test,pr_auc,brier,log_loss,roc_auc,calibration_error_5bin,balanced_accuracy,f1,top20_recall,top20_precision
label_spreading,1,1,98,25,5,0.8583333333,0.0677674762,0.2053353073,0.95,0.04454157387,0.8,0.75,0.6,0.6
label_spreading,1,2,98,25,6,0.4629227053,0.1899999714,0.9314976962,0.7192982456,0.1218937189,0.6140350877,0.4,0.5,0.6
label_spreading,1,3,98,25,6,0.7086551792,0.1357030184,0.5707656278,0.8070175439,0.1093562955,0.75,0.6666666667,0.5,0.6
label_spreading,1,4,99,24,5,0.7958333333,0.1279016516,0.4606829765,0.8631578947,0.1574318377,0.8210526316,0.6666666667,0.6,0.6
label_spreading,1,5,99,24,5,0.4309947299,0.1940949466,1.231457986,0.4947368421,0.2107189155,0.6473684211,0.4444444444,0.4,0.4
label_spreading,2,1,98,25,5,0.5466666667,0.161487041,0.8265590904,0.73,0.1388692104,0.675,0.5,0.4,0.4
label_spreading,2,2,98,25,6,0.5763888889,0.1567696351,0.5502457681,0.8421052632,0.113008353,0.7807017544,0.6666666667,0.5,0.6
label_spreading,2,3,98,25,6,0.5879227053,0.1715735008,0.9025430699,0.7192982456,0.1224654274,0.6403508772,0.4444444444,0.5,0.6
label_spreading,2,4,99,24,5,0.7295238095,0.1052268926,0.3270242574,0.9263157895,0.1124515334,0.9473684211,0.8333333333,0.6,0.6
label_spreading,2,5,99,24,5,0.7698412698,0.09765642988,0.3807317941,0.8315789474,0.0922010134,0.8,0.75,0.6,0.6
label_spreading,3,1,98,25,5,0.4654385965,0.1405200235,0.9963374773,0.62,0.1425027705,0.75,0.6,0.6,0.6
label_spreading,3,2,98,25,6,0.6400793651,0.1598787288,0.5506707559,0.8070175439,0.1308158699,0.6973684211,0.5454545455,0.5,0.6
label_spreading,3,3,98,25,6,0.6916666667,0.1068352388,0.3956259007,0.9210526316,0.04637165542,0.8070175439,0.7272727273,0.6666666667,0.8
label_spreading,3,4,99,24,5,0.5704273504,0.1354841725,0.511470011,0.7368421053,0.09592718304,0.5736842105,0.2857142857,0.6,0.6
label_spreading,3,5,99,24,5,0.4714285714,0.1679302548,0.5489195126,0.8,0.1050715444,0.6210526316,0.4,0.4,0.4
label_spreading,4,1,98,25,5,0.6683333333,0.07989791568,0.2557506377,0.93,0.03541576165,0.875,0.8,0.8,0.8
label_spreading,4,2,98,25,6,0.5930814355,0.1288555341,0.5706891441,0.7894736842,0.09783847192,0.8377192982,0.7142857143,0.5,0.6
label_spreading,4,3,98,25,6,0.4444444444,0.1857013647,0.7561849853,0.6929824561,0.1806063068,0.6403508772,0.4444444444,0.3333333333,0.4
label_spreading,4,4,99,24,5,0.5357142857,0.1803778697,1.160498913,0.7052631579,0.1345212428,0.5736842105,0.2857142857,0.4,0.4
label_spreading,4,5,99,24,5,0.3128787879,0.2206197786,1.016565576,0.5473684211,0.2010768285,0.6210526316,0.4,0.4,0.4
label_spreading,5,1,98,25,5,0.7912087912,0.1082171131,0.3750032505,0.89,0.0598229373,0.775,0.6666666667,0.6,0.6
label_spreading,5,2,98,25,6,0.5570757745,0.1973262477,1.162526736,0.6666666667,0.1804718375,0.6403508772,0.4444444444,0.3333333333,0.4
label_spreading,5,3,98,25,6,0.7523809524,0.1231086598,0.61479209,0.8070175439,0.1362323564,0.8377192982,0.7142857143,0.6666666667,0.8
label_spreading,5,4,99,24,5,0.4671568627,0.2062097898,0.7555763892,0.6947368421,0.1878137738,0.4947368421,0.2,0.2,0.2
