n_labeled_train_nodes,n_hidden_test_nodes,n_unlabeled_target_nodes,test_labels_passed_to_label_spreading,test_label_array_all_minus_one,target_label_array_all_minus_one,warnings,classes,n_iter,repeat_id,fold_id
98,25,302,False,True,True,0,"[0, 1]",6,1,1
98,25,302,False,True,True,0,"[0, 1]",6,1,2
98,25,302,False,True,True,0,"[0, 1]",6,1,3
99,24,302,False,True,True,0,"[0, 1]",6,1,4
99,24,302,False,True,True,0,"[0, 1]",6,1,5
98,25,302,False,True,True,0,"[0, 1]",6,2,1
98,25,302,False,True,True,0,"[0, 1]",6,2,2
98,25,302,False,True,True,0,"[0, 1]",6,2,3
99,24,302,False,True,True,0,"[0, 1]",6,2,4
99,24,302,False,True,True,0,"[0, 1]",6,2,5
98,25,302,False,True,True,0,"[0, 1]",6,3,1
98,25,302,False,True,True,0,"[0, 1]",6,3,2
98,25,302,False,True,True,0,"[0, 1]",6,3,3
99,24,302,False,True,True,0,"[0, 1]",6,3,4
99,24,302,False,True,True,0,"[0, 1]",6,3,5
98,25,302,False,True,True,0,"[0, 1]",6,4,1
98,25,302,False,True,True,0,"[0, 1]",6,4,2
98,25,302,False,True,True,0,"[0, 1]",6,4,3
99,24,302,False,True,True,0,"[0, 1]",6,4,4
99,24,302,False,True,True,0,"[0, 1]",6,4,5
98,25,302,False,True,True,0,"[0, 1]",6,5,1
98,25,302,False,True,True,0,"[0, 1]",6,5,2
98,25,302,False,True,True,0,"[0, 1]",6,5,3
99,24,302,False,True,True,0,"[0, 1]",6,5,4
99,24,302,False,True,True,0,"[0, 1]",6,5,5
98,25,302,False,True,True,0,"[0, 1]",6,6,1
98,25,302,False,True,True,0,"[0, 1]",6,6,2
98,25,302,False,True,True,0,"[0, 1]",6,6,3
99,24,302,False,True,True,0,"[0, 1]",6,6,4
99,24,302,False,True,True,0,"[0, 1]",6,6,5
98,25,302,False,True,True,0,"[0, 1]",6,7,1
98,25,302,False,True,True,0,"[0, 1]",6,7,2
98,25,302,False,True,True,0,"[0, 1]",6,7,3
99,24,302,False,True,True,0,"[0, 1]",6,7,4
99,24,302,False,True,True,0,"[0, 1]",6,7,5
98,25,302,False,True,True,0,"[0, 1]",6,8,1
98,25,302,False,True,True,0,"[0, 1]",6,8,2
98,25,302,False,True,True,0,"[0, 1]",6,8,3
99,24,302,False,True,True,0,"[0, 1]",6,8,4
99,24,302,False,True,True,0,"[0, 1]",6,8,5
98,25,302,False,True,True,0,"[0, 1]",6,9,1
98,25,302,False,True,True,0,"[0, 1]",6,9,2
98,25,302,False,True,True,0,"[0, 1]",6,9,3
99,24,302,False,True,True,0,"[0, 1]",6,9,4
99,24,302,False,True,True,0,"[0, 1]",6,9,5
98,25,302,False,True,True,0,"[0, 1]",6,10,1
98,25,302,False,True,True,0,"[0, 1]",6,10,2
98,25,302,False,True,True,0,"[0, 1]",6,10,3
99,24,302,False,True,True,0,"[0, 1]",6,10,4
99,24,302,False,True,True,0,"[0, 1]",6,10,5
