scenario_id,scenario_kind,sensitivity_axis,sensitivity_level,risk_variant,lgd,funding_cost_rate,budget_definition,d_probability_threshold,uncertainty_cap_10k,ood_novelty_threshold,interval_width_threshold,risk_disagreement_threshold,rating_entropy_threshold,solve_status,solver_status_code,is_optimal,validation_status,enterprise_count_total,eligible_enterprise_count,D_reject_count,uncertainty_cap_count,selected_enterprise_count,nominal_offered_amount_10k,nominal_offered_amount_yuan,expected_disbursed_amount_10k,expected_interest_income_10k,expected_credit_loss_10k,expected_funding_cost_10k,expected_net_return_10k,decomposition_difference_10k,objective_value_solver_10k,objective_value_recomputed_10k,objective_recomputation_difference_10k,budget_10k,budget_difference_10k,expected_disbursement_difference_10k,budget_constraint_pass,budget_equality_required,fallback_used,weighted_risk_used,weighted_D_probability,weighted_acceptance_probability,weighted_customer_churn_mass_ABC,risk_interpretation,customer_churn_interpretation,risk_interval_is_external_confidence_interval
primary,primary,primary,baseline,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_risk_variant_mean,sensitivity,risk_variant,mean,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_risk_variant_p90,sensitivity,risk_variant,p90,p90,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,166,10000,100000000,1640.537479,193.5515727,73.63301256,49.21612437,70.70243579,0,70.70243579,70.70243579,0,10000,0,-8359.462521,True,True,False,0.08976693736,0.02450401725,0.1640537479,0.8075949168,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_lgd_0p3,sensitivity,lgd,0.3,mean,0.3,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2574.650927,256.2794941,47.56756578,77.2395278,131.4724005,-2.842170943e-14,131.4724005,131.4724005,0,10000,0,-7425.349073,True,True,False,0.06158448548,0.02185758408,0.2574650927,0.7168996948,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_lgd_0p5,sensitivity,lgd,0.5,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_lgd_0p7,sensitivity,lgd,0.7,mean,0.7,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,1779.688663,209.0726776,75.06615204,53.3906599,80.61586564,-1.421085472e-14,80.61586564,80.61586564,-1.421085472e-14,10000,0,-8220.311337,True,True,False,0.06025624721,0.0221264908,0.1779688663,0.7955693348,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_funding_cost_rate_0p02,sensitivity,funding_cost_rate,0.02,mean,0.5,0.02,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2507.59022,249.478253,72.83742352,50.15180441,126.489025,0,126.489025,126.489025,1.421085472e-14,10000,0,-7492.40978,True,True,False,0.05809356164,0.02028908952,0.250759022,0.7227791791,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_funding_cost_rate_0p03,sensitivity,funding_cost_rate,0.03,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_funding_cost_rate_0p04,sensitivity,funding_cost_rate,0.04,mean,0.5,0.04,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,1734.476971,208.15718,54.11905435,69.37907884,84.65904677,0,84.65904677,84.65904677,0,10000,0,-8265.523029,True,True,False,0.06240388919,0.02318579629,0.1734476971,0.8000905041,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_d_probability_threshold_0p7,sensitivity,d_probability_threshold,0.7,mean,0.5,0.03,nominal_equality,0.7,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,280,22,237,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
sensitivity_d_probability_threshold_0p8,sensitivity,d_probability_threshold,0.8,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,optimal,0,True,PASS,302,290,12,246,164,10000,100000000,2122.868113,230.4695578,62.95931693,63.68604338,103.8241975,0,103.8241975,103.8241975,0,10000,0,-7877.131887,True,True,False,0.05931533529,0.02136210164,0.2122868113,0.7612513899,historical invoice behavior relative default tendency; not a verified PD,attachment-3 customer churn/acceptance relationship; not default rate,False
