scope,repeat_id,fold_id,n_train,n_test,macro_f1,balanced_accuracy,ordered_grade_error,within_one_grade_rate,weighted_kappa,multiclass_brier,multiclass_log_loss,probability_ece,expected_absolute_grade_error
cv_fold,1,1,98,25,0.4895833333,0.595959596,0.48,1,0.8091603053,0.4970865867,0.8272328398,0.1389045844,0.6178768093
cv_fold,1,2,98,25,0.2336309524,0.2708333333,0.96,0.8,0.3491577335,0.9465347281,1.922391835,0.4011568233,0.9790722596
cv_fold,1,3,98,25,0.3333333333,0.3019230769,0.8,0.88,0.375,0.6952327758,1.188018188,0.2189056743,0.7790038967
cv_fold,1,4,99,24,0.5111111111,0.4979166667,0.5,1,0.75,0.5455877257,0.9080454892,0.0998351708,0.6624007789
cv_fold,1,5,99,24,0.3970588235,0.4166666667,0.5833333333,1,0.6339869281,0.6290571377,1.063297062,0.1076263719,0.7697965662
cv_fold,2,1,98,25,0.3534090909,0.3857142857,0.68,0.96,0.502617801,0.6641380139,1.191838516,0.1928921729,0.7987349615
cv_fold,2,2,98,25,0.5659090909,0.5654761905,0.52,0.92,0.7187293183,0.5515125755,1.001095549,0.06852204435,0.6775803683
cv_fold,2,3,98,25,0.2817460317,0.2537698413,0.84,0.92,0.4653550043,0.714639506,1.172291924,0.3116917784,0.7970961149
cv_fold,2,4,99,24,0.5833333333,0.6270833333,0.4166666667,1,0.8076923077,0.5504400646,0.9400507967,0.0805165241,0.6672972754
cv_fold,2,5,99,24,0.475,0.5376984127,0.5833333333,0.9583333333,0.706870229,0.610057278,0.9886032696,0.1419236363,0.671390111
cv_fold,3,1,98,25,0.5854166667,0.65,0.56,0.88,0.6448863636,0.5308928488,1.00570233,0.0963776132,0.6391955375
cv_fold,3,2,98,25,0.41875,0.4375,0.64,0.96,0.6299342105,0.6333477154,1.069204349,0.2134331417,0.7202537937
cv_fold,3,3,98,25,0.4305555556,0.4228174603,0.6,0.96,0.6763137852,0.6005092794,1.050514044,0.1770338886,0.722465542
cv_fold,3,4,99,24,0.3878968254,0.4125,0.7083333333,0.9166666667,0.496,0.7086018352,1.224371243,0.1952633844,0.8118410229
cv_fold,3,5,99,24,0.3061868687,0.34375,0.7083333333,1,0.6709677419,0.7096278025,1.140615825,0.2873480047,0.7570358796
cv_fold,4,1,98,25,0.5,0.5,0.56,0.96,0.6923076923,0.5733339677,0.985924293,0.08935445741,0.6938537265
cv_fold,4,2,98,25,0.6062409812,0.6178571429,0.44,0.96,0.752851711,0.4798470339,0.8452531013,0.05171925948,0.6296591471
cv_fold,4,3,98,25,0.4334733894,0.4791666667,0.64,0.96,0.6522411128,0.6741784652,1.200048759,0.2572314033,0.7711448701
cv_fold,4,4,99,24,0.4797008547,0.4694444444,0.5833333333,0.9583333333,0.650273224,0.6441338863,1.112775555,0.1061868941,0.7272629444
cv_fold,4,5,99,24,0.3325396825,0.3321428571,0.75,0.9166666667,0.56,0.7233132528,1.188753317,0.2238675681,0.7800877096
cv_fold,5,1,98,25,0.5484126984,0.5361111111,0.56,0.92,0.6853146853,0.5466520834,0.9754080989,0.1308996572,0.687298732
