repeat_id,fold_id,optimization_success,optimization_message,n_iter,objective_value,threshold_1,threshold_2,threshold_3
1,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,0.9958692874,-2.01717244,-0.03154419915,2.74414245
1,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46,0.7872669575,-1.712577851,1.133443784,3.9683174
1,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50,0.9040873998,-1.409265535,0.4413593914,3.268805847
1,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,0.968002464,-1.535972045,0.6869586617,3.05954747
1,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39,0.9467694335,-0.9609780682,1.18443607,3.594583156
2,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45,0.9103111084,-1.515960402,0.51254699,3.503023184
2,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,0.9363702687,-1.37594427,0.7658709187,3.535113769
2,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37,0.9066772411,-1.70465447,0.4866094182,3.173564709
2,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46,0.9668794932,-1.373291303,0.880309502,3.216108024
2,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36,0.949327297,-1.429621195,0.7137583138,3.066926067
3,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46,0.94181233,-1.222456102,0.6902248246,3.486612688
3,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50,0.9363043687,-1.305219352,0.6879586286,3.374399046
3,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43,0.9240773401,-1.587650835,0.5409852549,3.292140107
3,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,42,0.9051305207,-1.618132629,0.842898818,3.334796157
3,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39,0.9371558049,-1.719338654,0.6042613769,3.000478872
4,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45,0.9472919618,-1.131825732,0.8312363334,3.500556202
4,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41,0.978799926,-1.665860407,0.3636305966,2.769902095
4,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,0.9071575311,-1.607456159,0.8743869717,3.502378116
4,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41,0.9205943687,-1.500024546,0.5426028603,3.319583155
4,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37,0.908096977,-1.498142409,0.747107342,3.424592731
5,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49,0.9623214325,-1.796544515,0.4141532289,3.046050054
5,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,40,0.9021805555,-1.65771498,0.5609710976,3.142232893
5,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,0.9447035577,-1.391245475,0.6869656051,3.467555424
5,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35,0.9544467192,-0.985846293,1.142809301,3.511403714
5,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48,0.8965464832,-1.527008207,0.6514003218,3.393230726
6,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34,0.925072877,-1.407538714,0.6872273634,3.265783504
6,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,0.9011619,-1.371486599,0.8264549,3.590955288
6,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35,0.9389654873,-1.401332207,0.852730612,3.215379315
6,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41,0.9549659788,-1.585247559,0.5355099659,3.24255822
6,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49,0.936797067,-1.750520666,0.35876138,3.085503266
7,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,0.9754451445,-1.667680763,0.3042255302,2.922349934
7,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39,0.8946434021,-1.610672537,0.7211317976,3.710919159
7,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,0.9633588961,-1.228464439,0.8359377464,3.278650008
7,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50,0.908666514,-1.798704524,0.6215980213,3.111103187
7,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43,0.9170091891,-1.622009317,0.3983833024,3.045160477
8,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50,0.9162711745,-1.684601878,0.4949067986,3.202755767
8,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41,0.9614046855,-1.538953162,0.6090602145,3.240321145
8,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,40,0.9045508485,-1.550799741,0.7349700988,3.383825095
8,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44,0.9436314185,-0.9697555623,1.07683714,3.600629659
8,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,0.9392046928,-1.5346486,0.5850033917,3.172107154
9,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36,0.8878223814,-1.795512934,0.6103557982,3.156774094
9,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43,0.951668125,-1.533429319,0.8012647627,3.355052664
9,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49,0.9578969091,-1.323666163,0.5801573716,3.334510054
9,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48,0.9290335037,-1.505031047,0.4797320282,3.349353977
9,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41,0.9325982524,-1.575325007,0.5791540131,3.004380274
10,1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,0.9014040987,-1.357191756,0.9209681738,3.667216078
10,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,0.9710440571,-1.474749662,0.5881686705,3.245911956
10,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,0.9436812829,-1.88138117,0.5274652253,2.899578126
10,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,42,0.9518839075,-1.429025202,0.5133851198,3.088691895
10,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,51,0.8879585222,-1.605311692,0.4638106684,3.294539989
