model,repeat_id,fold_id,n_train,n_test,n_default_test,pr_auc,brier,log_loss,roc_auc,calibration_error_5bin,balanced_accuracy,f1,top20_recall,top20_precision
elastic_net_logistic,1,1,98,25,5,0.9428571429,0.06381967554,0.2386757542,0.98,0.09815875009,0.8,0.75,0.8,0.8
elastic_net_logistic,1,2,98,25,6,0.4854497354,0.1624492468,0.5052131411,0.7543859649,0.1650376694,0.6140350877,0.4,0.3333333333,0.4
elastic_net_logistic,1,3,98,25,6,0.7698412698,0.124824411,0.4230573532,0.7807017544,0.1659730867,0.6666666667,0.5,0.6666666667,0.8
elastic_net_logistic,1,4,99,24,5,0.9,0.07201173035,0.2592293133,0.9473684211,0.1532402366,0.8736842105,0.8,0.8,0.8
elastic_net_logistic,1,5,99,24,5,0.4401449275,0.1636760618,0.5324477057,0.5894736842,0.1273078404,0.5,0,0.4,0.4
elastic_net_logistic,2,1,98,25,5,0.4575974026,0.1403321917,0.457398599,0.67,0.1935409528,0.6,0.3333333333,0.2,0.2
elastic_net_logistic,2,2,98,25,6,0.8734126984,0.08682638374,0.3023205967,0.9649122807,0.1272562649,0.8070175439,0.7272727273,0.6666666667,0.8
elastic_net_logistic,2,3,98,25,6,0.7659090909,0.1126008577,0.353964734,0.9210526316,0.1060426544,0.5570175439,0.25,0.6666666667,0.8
elastic_net_logistic,2,4,99,24,5,0.8766666667,0.0660350623,0.2480426893,0.9684210526,0.07518163205,0.9736842105,0.9090909091,0.8,0.8
elastic_net_logistic,2,5,99,24,5,0.7357142857,0.1160644804,0.3752099277,0.8631578947,0.09382532207,0.6736842105,0.5,0.6,0.6
elastic_net_logistic,3,1,98,25,5,0.8454545455,0.08311123931,0.3196517925,0.83,0.1538624085,0.875,0.8,0.8,0.8
elastic_net_logistic,3,2,98,25,6,0.8921568627,0.1079431689,0.3614206935,0.9035087719,0.2263013152,0.75,0.6666666667,0.8333333333,1
elastic_net_logistic,3,3,98,25,6,0.7861111111,0.1055262951,0.3577842393,0.8684210526,0.1133280499,0.6403508772,0.4444444444,0.6666666667,0.8
elastic_net_logistic,3,4,99,24,5,0.9666666667,0.1018965532,0.3197982366,0.9894736842,0.1599617806,0.6,0.3333333333,0.8,0.8
elastic_net_logistic,3,5,99,24,5,0.5079365079,0.1509521441,0.4463789752,0.8315789474,0.08719262016,0.6736842105,0.5,0.4,0.4
elastic_net_logistic,4,1,98,25,5,0.9666666667,0.07668740228,0.2873024064,0.99,0.1417484442,0.8,0.75,0.8,0.8
elastic_net_logistic,4,2,98,25,6,0.9107142857,0.09926961698,0.3283267505,0.9649122807,0.1463890486,0.6666666667,0.5,0.6666666667,0.8
elastic_net_logistic,4,3,98,25,6,0.7470238095,0.1321728295,0.4219500226,0.8157894737,0.1498289637,0.6666666667,0.5,0.5,0.6
elastic_net_logistic,4,4,99,24,5,0.6454901961,0.1365100031,0.4548950916,0.7684210526,0.1045475748,0.6473684211,0.4444444444,0.6,0.6
elastic_net_logistic,4,5,99,24,5,0.4760606061,0.1511470827,0.4698248728,0.7263157895,0.09193906782,0.6736842105,0.5,0.6,0.6
elastic_net_logistic,5,1,98,25,5,0.9,0.08714852303,0.2951051837,0.95,0.1286978188,0.7,0.5714285714,0.8,0.8
elastic_net_logistic,5,2,98,25,6,0.6127899878,0.148522611,0.5106591195,0.6929824561,0.1646428386,0.6666666667,0.5,0.5,0.6
elastic_net_logistic,5,3,98,25,6,0.8734126984,0.08505813294,0.2985947928,0.9649122807,0.09078264225,0.8903508772,0.8333333333,0.6666666667,0.8
elastic_net_logistic,5,4,99,24,5,0.5626373626,0.1354438581,0.4151863013,0.7789473684,0.1086837719,0.5736842105,0.2857142857,0.4,0.4
elastic_net_logistic,5,5,99,24,5,0.8766666667,0.1024834168,0.3267272546,0.9684210526,0.1461938426,0.7,0.5714285714,0.8,0.8
elastic_net_logistic,6,1,98,25,5,0.7783333333,0.1109547365,0.3605510488,0.93,0.1303933861,0.825,0.6666666667,0.6,0.6
elastic_net_logistic,6,2,98,25,6,0.880952381,0.09499577479,0.3447471421,0.8684210526,0.2146913094,0.75,0.6666666667,0.8333333333,1
elastic_net_logistic,6,3,98,25,6,0.6285353535,0.1420036314,0.4368772896,0.8157894737,0.1185890069,0.5570175439,0.25,0.5,0.6
elastic_net_logistic,6,4,99,24,5,0.8253968254,0.09767806735,0.3168445987,0.9263157895,0.1238693978,0.6,0.3333333333,0.6,0.6
elastic_net_logistic,6,5,99,24,5,0.8769230769,0.08651086524,0.2982693147,0.9157894737,0.1571836768,0.8,0.75,0.8,0.8
elastic_net_logistic,7,1,98,25,5,0.5580952381,0.1216743099,0.382687214,0.85,0.08329662924,0.475,0,0.6,0.6
elastic_net_logistic,7,2,98,25,6,0.7520363409,0.1254796975,0.4048236941,0.8333333333,0.1190869786,0.5833333333,0.2857142857,0.5,0.6
elastic_net_logistic,7,3,98,25,6,0.9761904762,0.06411180667,0.2552596443,0.9912280702,0.1733730053,0.9736842105,0.9230769231,0.8333333333,1
elastic_net_logistic,7,4,99,24,5,0.6833333333,0.1176047643,0.3758419323,0.8526315789,0.08998197443,0.6736842105,0.5,0.6,0.6
elastic_net_logistic,7,5,99,24,5,0.7014285714,0.1162652099,0.3792376732,0.8315789474,0.1588855839,0.7736842105,0.6666666667,0.6,0.6
elastic_net_logistic,8,1,98,25,5,0.5461111111,0.1289985575,0.4511933667,0.6,0.09388964547,0.7,0.5714285714,0.4,0.4
elastic_net_logistic,8,2,98,25,6,1,0.06223514711,0.236095053,1,0.1471023186,0.9166666667,0.9090909091,0.8333333333,1
