enterprise_id,enterprise_name,risk_oof_mean,risk_oof_sd,risk_oof_p05,risk_oof_p10,risk_oof_p50,risk_oof_p90,risk_oof_p95,risk_oof_min,risk_oof_max,risk_oof_test_count,default_label
E1,***电器销售有限公司,0.05655542179,0.03612124495,0.02606179021,0.02741664837,0.0477518799,0.0730491674,0.1129997547,0.02470693205,0.1529503419,10,0
E10,***建筑劳务有限公司,0.06093491817,0.01419372208,0.0429621633,0.04562064982,0.05790014235,0.07833730674,0.08357388887,0.04030367677,0.08881047099,10,0
E100,***装饰工程有限公司,0.2578903118,0.07353885818,0.1547415187,0.1696120448,0.2728881387,0.3416804479,0.3539310448,0.1398709925,0.3661816417,10,1
E101,***灯饰工程有限公司,0.7098560409,0.06636067132,0.606566941,0.6226011649,0.7233040273,0.7897592201,0.7930666792,0.5905327171,0.7963741383,10,1
E102,***大药房有限责任公司,0.4733747116,0.1071223403,0.3398930688,0.3631509727,0.4627178331,0.6183651775,0.6292473672,0.316635165,0.640129557,10,1
E103,***科技有限公司,0.4055458126,0.06116735136,0.3353788783,0.3362256189,0.3909445426,0.4768661053,0.4943449378,0.3345321378,0.5118237703,10,1
E104,***管理咨询有限责任公司,0.5371556855,0.07030320782,0.428523967,0.4342049006,0.5472322368,0.6048969633,0.6296047084,0.4228430335,0.6543124536,10,0
E105,***建材经营部,0.2296735143,0.05655682615,0.1637552006,0.1706427228,0.2199431128,0.3150886304,0.3194669862,0.1568676785,0.3238453419,10,0
E106,***财务管理有限公司,0.25387818,0.03585121449,0.1919428,0.2023278319,0.2648881791,0.2861266308,0.2917865745,0.1815577681,0.2974465182,10,0
E107,***科技有限公司,0.6278756036,0.06417500548,0.5279189832,0.5523567172,0.6366742873,0.6820972821,0.6979720246,0.5034812493,0.7138467672,10,1
E108,***商贸有限公司,0.5221807895,0.07630955392,0.4332161706,0.4383446298,0.5032456114,0.6296705299,0.6333603051,0.4280877114,0.6370500803,10,1
E109,***服饰有限公司,0.5493640614,0.0462578312,0.4851852794,0.499541477,0.5402328651,0.6102205923,0.6115104426,0.4708290819,0.612800293,10,1
E11,***建设工程有限公司,0.07723891572,0.01910622924,0.05463128276,0.05759312487,0.07389775249,0.1001763276,0.1019011056,0.05166944066,0.1036258836,10,0
E110,***通讯器材经营部,0.5711527053,0.04945164937,0.5138392346,0.5147376523,0.5718855578,0.6124762668,0.6442755816,0.5129408169,0.6760748965,10,0
E111,***科技有限公司,0.1919246162,0.1135947749,0.05267052758,0.0653011817,0.1848036297,0.3189536769,0.3305907566,0.04003987347,0.3422278363,10,1
E112,***机械设备有限公司,0.4170540731,0.07312385423,0.335297303,0.3447501467,0.4098501136,0.5129040595,0.5136905795,0.3258444593,0.5144770996,10,1
E113,***美居科技有限公司,0.7592451553,0.06426424806,0.6949036715,0.7051632303,0.742346717,0.8315439659,0.8617392106,0.6846441128,0.8919344553,10,1
E114,***食品有限责任公司,0.4770804739,0.05032059316,0.4325057874,0.432793938,0.4542880445,0.5421990478,0.5510398015,0.4322176368,0.5598805551,10,1
E115,***装饰工程有限公司,0.7835354924,0.04595042071,0.7152082947,0.7246327416,0.7847242404,0.8331104651,0.8467425405,0.7057838477,0.8603746158,10,1
E116,***门窗有限公司,0.4160885126,0.08253013203,0.3293626351,0.337784137,0.3938428046,0.532859258,0.5438375386,0.3209411332,0.5548158193,10,1
E117,***人力资源管理咨询有限公司,0.6343060557,0.08357170743,0.5617637808,0.5661233915,0.5980298176,0.7561127553,0.7774135243,0.55740417,0.7987142933,10,1
E118,***体育用品有限公司,0.3859533716,0.04015990574,0.3350391797,0.3480531379,0.375876988,0.4429217794,0.4496950197,0.3220252215,0.45646826,10,1
E119,***药房,0.6253065711,0.0645798565,0.5457842173,0.5737662339,0.6110935073,0.6891769584,0.7151665854,0.5178022007,0.7411562125,10,1
E12,***建筑劳务有限公司,0.08202986653,0.0258022163,0.0519856561,0.06003292533,0.08012467447,0.1054632903,0.1173907162,0.04393838686,0.1293181421,10,0
E120,***陈列广告有限公司,0.721226934,0.04398398928,0.6659008847,0.6766369927,0.7165969875,0.7608714869,0.7848446425,0.6551647767,0.8088177982,10,1
E121,***药业连锁有限公司***药店,0.4662178212,0.08991248205,0.3258990756,0.3653689974,0.4748415052,0.5621951951,0.5730265731,0.2864291539,0.583857951,10,1
E122,***商贸有限责任公司,0.4500783219,0.1747689831,0.1436253311,0.152095429,0.4981088719,0.6021516604,0.6135603749,0.1351552332,0.6249690895,10,1
E123,***创科技有限责任公司,0.7819761114,0.06066292319,0.6808665273,0.7374465977,0.7960858471,0.8270597923,0.8278009393,0.6242864569,0.8285420862,10,1
E13,***汽车贸易有限公司,0.04053604698,0.01025554743,0.02881579927,0.03020284859,0.03735430366,0.05373417783,0.05576369193,0.02742874995,0.05779320603,10,0
E14,个体经营E14,0.03261041867,0.008046498737,0.02076432453,0.02407427639,0.0329584269,0.04024201468,0.04255669026,0.01745437267,0.04487136584,10,0
E15,***劳务有限公司,0.07381492047,0.02210332429,0.04902135431,0.05087113544,0.06950399711,0.1036254123,0.1060458755,0.04717157318,0.1084663387,10,0
E16,***建筑劳务有限公司,0.04998777847,0.01104106271,0.03468958087,0.03844691028,0.04963599327,0.0624669862,0.06304442813,0.03093225146,0.06362187005,10,0
E17,***消防工程有限公司,0.04649981408,0.006714314194,0.03947721852,0.04167690036,0.04457789443,0.05349825243,0.05753079014,0.03727753667,0.06156332785,10,0
E18,***消防工程有限责任公司,0.04857513816,0.01268746453,0.0307664983,0.03183286557,0.0501081575,0.06117933194,0.06577326523,0.02970013103,0.07036719851,10,0
