scenario_id,scenario_kind,sensitivity_axis,sensitivity_level,risk_variant,lgd,funding_cost_rate,budget_definition,d_probability_threshold,uncertainty_cap_10k,ood_novelty_threshold,interval_width_threshold,risk_disagreement_threshold,rating_entropy_threshold,solver,scipy_version,solver_status_code,solver_status,solver_message,is_optimal,solver_called,objective_value_minimization,objective_value_maximization,solve_time_seconds,mip_rel_gap,feasibility_tolerance,variable_count,integer_variable_count,constraint_count,enterprise_count_total,eligible_enterprise_count,d_reject_count,uncertainty_cap_count,rate_point_count,budget_10k,capacity_max_10k,fallback_used,precheck_pass,budget_projection_adjustment_10k,selected_enterprise_count,selected_nominal_amount_10k
primary,primary,primary,baseline,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3549722,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_risk_variant_mean,sensitivity,risk_variant,mean,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3488008,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_risk_variant_p90,sensitivity,risk_variant,p90,p90,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-70.70243579,70.70243579,0.3255206,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,166,10000
sensitivity_lgd_0p3,sensitivity,lgd,0.3,mean,0.3,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-131.4724005,131.4724005,0.3421088,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_lgd_0p5,sensitivity,lgd,0.5,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3495258,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_lgd_0p7,sensitivity,lgd,0.7,mean,0.7,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-80.61586564,80.61586564,0.3251614,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_funding_cost_rate_0p02,sensitivity,funding_cost_rate,0.02,mean,0.5,0.02,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-126.489025,126.489025,0.336016,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_funding_cost_rate_0p03,sensitivity,funding_cost_rate,0.03,mean,0.5,0.03,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3442219,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_funding_cost_rate_0p04,sensitivity,funding_cost_rate,0.04,mean,0.5,0.04,nominal_equality,0.8,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-84.65904677,84.65904677,0.3308473,1e-06,1e-06,16820,8410,17111,302,290,12,246,29,10000,16700,False,True,0,164,10000
sensitivity_d_probability_threshold_0p7,sensitivity,d_probability_threshold,0.7,mean,0.5,0.03,nominal_equality,0.7,50,1,0.2,0.2,0.75,scipy.optimize.milp,1.18.0,0,optimal,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,True,-103.8241975,103.8241975,0.3357042,1e-06,1e-06,16240,8120,16521,302,280,22,237,29,10000,16150,False,True,0,164,10000
