enterprise_id,enterprise_name,scenario_count,loan_frequency,loan_count,offered_amount_min_10k,offered_amount_max_10k,offered_amount_mean_10k,offered_amount_sd_10k,selected_rate_observation_count,selected_rate_missing_all,selected_rate_min,selected_rate_max,selected_rate_mean,selected_rate_sd,formal_robust_amount_10k,formal_robust_rate_missing,formal_robust_selected_rate,amount_delta_mean_vs_formal_robust_10k,rate_delta_mean_vs_formal_robust_pp,stability_label,analysis_rule,excluded_scenario,exclusion_reason,spread_interpretation
E124,个体经营E124,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1225,0.1425,0.12750000000000003,0.008660254037844381,50.0,0,0.1225,0.0,0.5000000000000032,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E125,个体经营E125,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0945,0.1225,0.10083333333333334,0.0068231631634862394,50.0,0,0.0985,0.0,0.233333333333334,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E126,个体经营E126,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0825,0.1025,0.09783333333333334,0.004853406592853678,100.0,0,0.0985,0.0,-0.06666666666666626,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E127,个体经营E127,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0745,0.1025,0.09683333333333334,0.006823163163486241,50.0,0,0.0985,0.0,-0.16666666666666635,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E128,个体经营E128,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1425,0.1425,0.14250000000000002,2.7755575615628914e-17,50.0,0,0.1425,0.0,2.7755575615628914e-15,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E129,个体经营E129,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0825,0.1025,0.09783333333333334,0.004853406592853678,100.0,0,0.0985,0.0,-0.06666666666666626,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E130,个体经营E130,12,0.0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,consistently_not_selected,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E131,个体经营E131,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0945,0.1225,0.10050000000000002,0.00683130051063973,100.0,0,0.0985,0.0,0.20000000000000157,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E132,个体经营E132,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0985,0.1225,0.10283333333333335,0.008863157200205552,100.0,0,0.0985,0.0,0.4333333333333342,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E133,个体经营E133,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1425,0.15,0.14375,0.0027950849718747397,50.0,0,0.1425,0.0,0.1250000000000001,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E134,***工程咨询有限公司,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0945,0.1225,0.10216666666666668,0.009159087776022723,100.0,0,0.0985,0.0,0.3666666666666679,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E135,***建设工程有限公司,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0985,0.1225,0.10683333333333335,0.009159087776022723,100.0,0,0.1025,0.0,0.43333333333333557,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E136,***机械有限责任公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1065,0.1425,0.13450000000000004,0.011999999999999995,50.0,0,0.1425,0.0,-0.7999999999999952,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E137,***建设工程有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1065,0.1425,0.13283333333333336,0.012160957564636461,50.0,0,0.1425,0.0,-0.9666666666666629,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E138,个体经营E138,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0985,0.1225,0.10450000000000002,0.008246211251235319,100.0,0,0.1025,0.0,0.20000000000000295,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E139,个体经营E139,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0985,0.1025,0.09916666666666668,0.001490711984999856,100.0,0,0.0985,0.0,0.06666666666666765,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E140,***建筑工程有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0985,0.1225,0.10483333333333335,0.008076027626390477,50.0,0,0.1025,0.0,0.2333333333333354,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E141,***食品有限公司,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0985,0.1225,0.10116666666666668,0.006599663291074441,100.0,0,0.0985,0.0,0.26666666666666783,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E142,***运业有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.0985,0.1225,0.1145,0.00979795897113271,50.0,0,0.1225,0.0,-0.7999999999999994,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E143,***电子科技有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1225,0.1425,0.14083333333333337,0.005527707983925665,50.0,0,0.1425,0.0,-0.1666666666666622,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E144,***劳务有限公司,12,1.0,12,50.0,50.0,50.0,0.0,12,0,0.1065,0.1425,0.13450000000000004,0.011999999999999995,50.0,0,0.1425,0.0,-0.7999999999999952,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E145,***工贸有限公司,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0985,0.1225,0.10616666666666669,0.009585869229698936,100.0,0,0.1025,0.0,0.3666666666666693,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
E146,***基础建设工程有限公司,12,1.0,12,100.0,100.0,100.0,0.0,12,0,0.0985,0.1225,0.10683333333333335,0.009159087776022723,100.0,0,0.1025,0.0,0.43333333333333557,robust_selected_core,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion",exploratory_combined_adverse,exploratory combined boundary is not a formal or single-factor scenario; excluded from selection frequency,deterministic scenario spread; not a statistical confidence interval
