scenario_id,scenario_label,scenario_kind,sensitivity_axis,sensitivity_level,expected_net_return_10k,expected_credit_loss_10k,weighted_risk_used,jaccard_vs_formal_robust,selected_enterprise_count,industry_hhi,unknown_amount_share,robust_selected_core_fraction_12_scenarios
formal_robust,Centre,formal_robust,formal_robust,centre,89.42684021018013,68.69132701551014,0.071573451852461,1.0,164,0.3419,0.545,0.5364238410596026
sensitivity_rho_0p1,ρ=0.10,single_factor,rho,0.1,97.86242923286906,65.11171891174,0.0642058893057367,0.9759036144578314,164,0.3519,0.555,0.5364238410596026
sensitivity_rho_0p5,ρ=0.50,single_factor,rho,0.5,76.53364236750285,71.79729665402992,0.0819730271022001,0.9700598802395208,165,0.32685,0.53,0.5364238410596026
sensitivity_c_pp_20p0,"c=20
pp",single_factor,c_pp,20.0,86.84845982914679,70.02225973009185,0.0736340469828323,0.9759036144578314,164,0.3464,0.55,0.5364238410596026
sensitivity_c_pp_60p0,"c=60
pp",single_factor,c_pp,60.0,91.96551542160074,67.46890269905327,0.0693430021276368,1.0,164,0.3419,0.545,0.5364238410596026
sensitivity_lambda_severe_1p125,λ=1.125,single_factor,lambda_severe,1.125,90.5588797587819,68.17169204997916,0.0706606525261417,1.0,164,0.3419,0.545,0.5364238410596026
sensitivity_lambda_severe_1p875,λ=1.875,single_factor,lambda_severe,1.875,88.38920127543528,69.02238374858933,0.0723870962751797,0.987878787878788,164,0.34125,0.545,0.5364238410596026
sensitivity_unknown_policy_p50_known_S,Unknown=P50,single_factor,unknown_policy,p50_known_S,95.7293992277251,66.11875783095925,0.0659787567587389,0.9640718562874252,164,0.3568,0.56,0.5364238410596026
sensitivity_lgd_0p3,LGD=0.30,single_factor,lgd,0.3,119.63783631926384,50.24893515164297,0.0713632016867006,0.993939393939394,165,0.3365,0.54,0.5364238410596026
sensitivity_lgd_0p7,LGD=0.70,single_factor,lgd,0.7,64.6174597774624,77.72540933069517,0.0719517612838499,1.0,164,0.3419,0.545,0.5364238410596026
sensitivity_funding_cost_rate_0p02,"Funding cost
=2%",single_factor,funding_cost_rate,0.02,110.286572595365,78.4086464089545,0.0697349145885492,1.0,164,0.3419,0.545,0.5364238410596026
sensitivity_funding_cost_rate_0p04,"Funding cost
=4%",single_factor,funding_cost_rate,0.04,71.91448094596964,59.64104932851164,0.0743869571827842,1.0,164,0.3419,0.545,0.5364238410596026
exploratory_combined_adverse,"Combined
adverse",exploratory_combined_adverse,combined_adverse,boundary,31.7440247320556,81.26559958093715,0.0901516441865512,0.9759036144578314,164,0.34165,0.545,0.5364238410596026
