enterprise_id,enterprise_name,industry_code,q2_main_risk,robust_risk,scenario_id,scenario,risk_used,q2_decision,q2_selected_rate,q2_offered_loan_amount_10k,offered_loan_amount_10k,selected_rate,acceptance_probability,customer_churn_mass,unit_expected_interest_per_10k,unit_expected_credit_loss_per_10k,unit_expected_funding_cost_per_10k,unit_expected_net_return_per_10k,expected_disbursed_amount_10k,expected_interest_income_10k,expected_credit_loss_10k,expected_funding_cost_10k,expected_net_return_10k,source
E124,个体经营E124,unknown,0.06693188597,0.08366485746,fixed_q2_under_robust,fixed_q2_under_robust,0.08366485746,贷,0.1225,50,50,0.1225,0.1877442636,0.8110378526,0.02107449165,0.007853798525,0.005632327907,0.007588365215,9.387213178,1.053724582,0.3926899262,0.2816163953,0.3794182608,robust_result.candidates from q2._run_scenario; Q2 decision/rate/amount fixed
E125,个体经营E125,unknown,0.02831263609,0.03539079511,fixed_q2_under_robust,fixed_q2_under_robust,0.03539079511,贷,0.0985,50,50,0.0985,0.3067007,0.6851113571,0.02914086236,0.005427190817,0.009201021,0.01451265054,15.335035,1.457043118,0.2713595409,0.46005105,0.7256325271,robust_result.candidates from q2._run_scenario; Q2 decision/rate/amount fixed
E126,个体经营E126,unknown,0.02426786817,0.03033483521,fixed_q2_under_robust,fixed_q2_under_robust,0.03033483521,贷,0.0985,100,100,0.0985,0.3023521338,0.6931583624,0.02887826267,0.004585901078,0.009070564015,0.01522179758,30.23521338,2.887826267,0.4585901078,0.9070564015,1.522179758,robust_result.candidates from q2._run_scenario; Q2 decision/rate/amount fixed
E127,个体经营E127,unknown,0.02157733009,0.02697166261,fixed_q2_under_robust,fixed_q2_under_robust,0.02697166261,贷,0.0985,50,50,0.0985,0.3000607805,0.6967762589,0.02875881277,0.004046569067,0.009001823414,0.01571042029,15.00303902,1.437940638,0.2023284533,0.4500911707,0.7855210144,robust_result.candidates from q2._run_scenario; Q2 decision/rate/amount fixed
E128,个体经营E128,unknown,0.08646573004,0.1080821625,fixed_q2_under_robust,fixed_q2_under_robust,0.1080821625,贷,0.1425,50,50,0.1425,0.1370069691,0.7445364579,0.01741335175,0.007404004754,0.004110209074,0.005899137918,6.850348457,0.8706675873,0.3702002377,0.2055104537,0.2949568959,robust_result.candidates from q2._run_scenario; Q2 decision/rate/amount fixed
E129,个体经营E129,unknown,0.02513629344,0.0314203668,fixed_q2_under_robust,fixed_q2_under_robust,0.0314203668,贷,0.0985,100,100,0.0985,0.3064123105,0.6857185243,0.02923329524,0.004813793594,0.009192369314,0.01522713234,30.64123105,2.923329524,0.4813793594,0.9192369314,1.522713234,robust_result.candidates from q2._run_scenario; Q2 decision/rate/amount fixed
E130,个体经营E130,unknown,0.1468784157,0.1835980196,fixed_q2_under_robust,fixed_q2_under_robust,0.1835980196,不贷,,0,0,,0,0,0,0,0,0,0,0,0,0,0,robust_result.candidates from q2._run_scenario; Q2 decision/rate/amount fixed
E131,个体经营E131,unknown,0.02622812822,0.03278516028,fixed_q2_under_robust,fixed_q2_under_robust,0.03278516028,贷,0.0985,100,100,0.0985,0.3071905308,0.6840448949,0.02926624514,0.005035645393,0.009215715923,0.01501488382,30.71905308,2.926624514,0.5035645393,0.9215715923,1.501488382,robust_result.candidates from q2._run_scenario; Q2 decision/rate/amount fixed
E132,个体经营E132,unknown,0.03086132384,0.0385766548,fixed_q2_under_robust,fixed_q2_under_robust,0.0385766548,贷,0.0985,100,100,0.0985,0.3057932877,0.686976347,0.02895868535,0.005898241049,0.00917379863,0.01388664567,30.57932877,2.895868535,0.5898241049,0.917379863,1.388664567,robust_result.candidates from q2._run_scenario; Q2 decision/rate/amount fixed
E133,个体经营E133,unknown,0.1043128943,0.1303911179,fixed_q2_under_robust,fixed_q2_under_robust,0.1303911179,贷,0.1425,50,50,0.1425,0.1424887901,0.7861177375,0.01765710624,0.009289636312,0.004274663702,0.004092806224,7.124439504,0.8828553119,0.4644818156,0.2137331851,0.2046403112,robust_result.candidates from q2._run_scenario; Q2 decision/rate/amount fixed
E134,***工程咨询有限公司,other_services,0.03620846997,0.0368194879,fixed_q2_under_robust,fixed_q2_under_robust,0.0368194879,贷,0.0985,100,100,0.0985,0.3079020125,0.682403729,0.02921167398,0.005668397212,0.009237060375,0.01430621639,30.79020125,2.921167398,0.5668397212,0.9237060375,1.430621639,robust_result.candidates from q2._run_scenario; Q2 decision/rate/amount fixed
