scenario_id,industry_code,nominal_offered_amount_10k,nominal_share,selected_enterprise_count,expected_disbursed_amount_10k,weighted_risk_used,industry_hhi,risk_interpretation
identity,accommodation_catering,100,0.01,2,14.42779273,0.09435220146,0.3568,historical invoice behavior relative default tendency; not a verified PD
identity,agriculture,0,0,0,0,0,0.3568,historical invoice behavior relative default tendency; not a verified PD
identity,construction,1750,0.175,31,348.1342336,0.06620519005,0.3568,historical invoice behavior relative default tendency; not a verified PD
identity,information_software_it,100,0.01,2,14.41582937,0.08355915693,0.3568,historical invoice behavior relative default tendency; not a verified PD
identity,leasing_business_services,300,0.03,5,48.34785334,0.08150520558,0.3568,historical invoice behavior relative default tendency; not a verified PD
identity,manufacturing_industry,300,0.03,5,58.98210404,0.07230930047,0.3568,historical invoice behavior relative default tendency; not a verified PD
identity,other_services,650,0.065,12,153.6043429,0.05107695851,0.3568,historical invoice behavior relative default tendency; not a verified PD
identity,real_estate,100,0.01,2,24.1712727,0.04793714335,0.3568,historical invoice behavior relative default tendency; not a verified PD
identity,transport_storage_post,450,0.045,9,86.75025403,0.06634053387,0.3568,historical invoice behavior relative default tendency; not a verified PD
identity,unknown,5600,0.56,86,1251.941257,0.05476621296,0.3568,historical invoice behavior relative default tendency; not a verified PD
identity,wholesale_retail,650,0.065,10,122.0931732,0.07187487655,0.3568,historical invoice behavior relative default tendency; not a verified PD
light,accommodation_catering,100,0.01,2,14.42779273,0.1047604287,0.3519,historical invoice behavior relative default tendency; not a verified PD
light,agriculture,0,0,0,0,0,0.3519,historical invoice behavior relative default tendency; not a verified PD
light,construction,1750,0.175,31,340.8929646,0.07001412258,0.3519,historical invoice behavior relative default tendency; not a verified PD
light,information_software_it,100,0.01,2,14.41582937,0.08355915693,0.3519,historical invoice behavior relative default tendency; not a verified PD
light,leasing_business_services,300,0.03,5,48.34785334,0.083899421,0.3519,historical invoice behavior relative default tendency; not a verified PD
light,manufacturing_industry,300,0.03,5,58.98210404,0.07461415942,0.3519,historical invoice behavior relative default tendency; not a verified PD
light,other_services,650,0.065,12,153.6043429,0.05136426641,0.3519,historical invoice behavior relative default tendency; not a verified PD
light,real_estate,100,0.01,2,24.1712727,0.04885094515,0.3519,historical invoice behavior relative default tendency; not a verified PD
light,transport_storage_post,450,0.045,9,81.25144952,0.07054084118,0.3519,historical invoice behavior relative default tendency; not a verified PD
light,unknown,5550,0.555,85,1174.798654,0.06049831644,0.3519,historical invoice behavior relative default tendency; not a verified PD
light,wholesale_retail,700,0.07,11,126.157664,0.07891438056,0.3519,historical invoice behavior relative default tendency; not a verified PD
medium,accommodation_catering,100,0.01,2,14.42779273,0.1151686559,0.3419,historical invoice behavior relative default tendency; not a verified PD
medium,agriculture,0,0,0,0,0,0.3419,historical invoice behavior relative default tendency; not a verified PD
medium,construction,1750,0.175,31,321.4328036,0.07520038337,0.3419,historical invoice behavior relative default tendency; not a verified PD
medium,information_software_it,100,0.01,2,14.41582937,0.08355915693,0.3419,historical invoice behavior relative default tendency; not a verified PD
medium,leasing_business_services,350,0.035,6,55.37927748,0.09379389697,0.3419,historical invoice behavior relative default tendency; not a verified PD
medium,manufacturing_industry,300,0.03,5,47.40011569,0.08188065296,0.3419,historical invoice behavior relative default tendency; not a verified PD
medium,other_services,700,0.07,13,158.4300996,0.05596547404,0.3419,historical invoice behavior relative default tendency; not a verified PD
medium,real_estate,100,0.01,2,24.1712727,0.04976474694,0.3419,historical invoice behavior relative default tendency; not a verified PD
medium,transport_storage_post,450,0.045,9,78.62063333,0.07364908253,0.3419,historical invoice behavior relative default tendency; not a verified PD
medium,unknown,5450,0.545,83,1108.385374,0.06560430827,0.3419,historical invoice behavior relative default tendency; not a verified PD
medium,wholesale_retail,700,0.07,11,123.2837788,0.08313871091,0.3419,historical invoice behavior relative default tendency; not a verified PD
robust,accommodation_catering,100,0.01,2,14.42779273,0.1179402518,0.3419,historical invoice behavior relative default tendency; not a verified PD
robust,agriculture,0,0,0,0,0,0.3419,historical invoice behavior relative default tendency; not a verified PD
robust,construction,1750,0.175,31,313.0974579,0.07903476814,0.3419,historical invoice behavior relative default tendency; not a verified PD
robust,information_software_it,100,0.01,2,14.41582937,0.08355915693,0.3419,historical invoice behavior relative default tendency; not a verified PD
robust,leasing_business_services,350,0.035,6,55.37927748,0.09639620698,0.3419,historical invoice behavior relative default tendency; not a verified PD
robust,manufacturing_industry,300,0.03,5,47.40011569,0.08433418604,0.3419,historical invoice behavior relative default tendency; not a verified PD
robust,other_services,700,0.07,13,158.4300996,0.05627677766,0.3419,historical invoice behavior relative default tendency; not a verified PD
robust,real_estate,100,0.01,2,24.1712727,0.05067854874,0.3419,historical invoice behavior relative default tendency; not a verified PD
robust,transport_storage_post,450,0.045,9,75.33408627,0.07773478032,0.3419,historical invoice behavior relative default tendency; not a verified PD
robust,unknown,5450,0.545,83,1094.798527,0.06743549903,0.3419,historical invoice behavior relative default tendency; not a verified PD
robust,wholesale_retail,700,0.07,11,122.0093992,0.08663111541,0.3419,historical invoice behavior relative default tendency; not a verified PD
severe,accommodation_catering,100,0.01,2,14.42779273,0.1179402518,0.3419,historical invoice behavior relative default tendency; not a verified PD
severe,agriculture,0,0,0,0,0,0.3419,historical invoice behavior relative default tendency; not a verified PD
severe,construction,1750,0.175,31,313.0974579,0.07903476814,0.3419,historical invoice behavior relative default tendency; not a verified PD
severe,information_software_it,100,0.01,2,14.41582937,0.08355915693,0.3419,historical invoice behavior relative default tendency; not a verified PD
severe,leasing_business_services,350,0.035,6,55.37927748,0.09639620698,0.3419,historical invoice behavior relative default tendency; not a verified PD
severe,manufacturing_industry,300,0.03,5,47.40011569,0.08433418604,0.3419,historical invoice behavior relative default tendency; not a verified PD
severe,other_services,700,0.07,13,158.4300996,0.05627677766,0.3419,historical invoice behavior relative default tendency; not a verified PD
severe,real_estate,100,0.01,2,24.1712727,0.05067854874,0.3419,historical invoice behavior relative default tendency; not a verified PD
severe,transport_storage_post,450,0.045,9,75.33408627,0.07773478032,0.3419,historical invoice behavior relative default tendency; not a verified PD
severe,unknown,5450,0.545,83,1094.798527,0.06743549903,0.3419,historical invoice behavior relative default tendency; not a verified PD
severe,wholesale_retail,700,0.07,11,122.0093992,0.08663111541,0.3419,historical invoice behavior relative default tendency; not a verified PD
