review_priority,enterprise_id,enterprise_name,current_industry_code,mapping_status,matched_keyword,rule_notes,required_external_evidence,recommended_review_action
1,E314,***房地产营销策划有限公司,unknown,ambiguous_unknown,leasing_business_services:营销策划;real_estate:房地产,多个行业命中高特异关键词，保守保留unknown,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业；多个高特异关键词冲突，禁止仅凭名称择一
1,E333,***房地产营销策划有限公司,unknown,ambiguous_unknown,leasing_business_services:营销策划;real_estate:房地产,多个行业命中高特异关键词，保守保留unknown,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业；多个高特异关键词冲突，禁止仅凭名称择一
1,E387,***农副产品经营部,unknown,ambiguous_unknown,agriculture:农副产品经营;wholesale_retail:农副产品经营,多个行业命中高特异关键词，保守保留unknown,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业；多个高特异关键词冲突，禁止仅凭名称择一
1,E397,***大闸蟹经营部,unknown,ambiguous_unknown,agriculture:大闸蟹;wholesale_retail:大闸蟹经营,多个行业命中高特异关键词，保守保留unknown,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业；多个高特异关键词冲突，禁止仅凭名称择一
1,E415,***广告设计服务部,unknown,ambiguous_unknown,leasing_business_services:广告;other_services:设计服务,多个行业命中高特异关键词，保守保留unknown,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业；多个高特异关键词冲突，禁止仅凭名称择一
2,E136,***机械有限责任公司,unknown,low_specific_or_unmatched_unknown,unknown:机械,仅命中低特异关键词，未直接分类,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业或主营业务；低特异词不足以直接分类
2,E141,***食品有限公司,unknown,low_specific_or_unmatched_unknown,unknown:有限公司,仅命中低特异关键词，未直接分类,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业或主营业务；低特异词不足以直接分类
2,E143,***电子科技有限公司,unknown,low_specific_or_unmatched_unknown,"unknown:科技,电子科技,有限公司",仅命中低特异关键词，未直接分类,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业或主营业务；低特异词不足以直接分类
2,E144,***劳务有限公司,unknown,low_specific_or_unmatched_unknown,"unknown:劳务,有限公司",仅命中低特异关键词，未直接分类,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业或主营业务；低特异词不足以直接分类
2,E145,***工贸有限公司,unknown,low_specific_or_unmatched_unknown,unknown:有限公司,仅命中低特异关键词，未直接分类,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业或主营业务；低特异词不足以直接分类
2,E152,***运贸有限责任公司,unknown,low_specific_or_unmatched_unknown,,未命中高特异关键词，保留unknown,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业或主营业务；低特异词不足以直接分类
2,E167,***体育文化股份有限公司,unknown,low_specific_or_unmatched_unknown,"unknown:文化,体育文化,有限公司",仅命中低特异关键词，未直接分类,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业或主营业务；低特异词不足以直接分类
2,E168,***建材有限公司,unknown,low_specific_or_unmatched_unknown,"unknown:建材,有限公司",仅命中低特异关键词，未直接分类,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业或主营业务；低特异词不足以直接分类
2,E169,***建筑设计有限公司,unknown,low_specific_or_unmatched_unknown,"unknown:设计,有限公司",仅命中低特异关键词，未直接分类,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业或主营业务；低特异词不足以直接分类
2,E175,***食品集团有限公司,unknown,low_specific_or_unmatched_unknown,unknown:有限公司,仅命中低特异关键词，未直接分类,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业或主营业务；低特异词不足以直接分类
2,E176,***科技有限公司,unknown,low_specific_or_unmatched_unknown,"unknown:科技,有限公司",仅命中低特异关键词，未直接分类,企业登记行业、经营范围或可核验的主营业务资料,核对登记行业或主营业务；低特异词不足以直接分类
