industry_code,growth_yoy_pct,d_h_pp,S_h,c_pp,rho,lambda_identity,lambda_light,lambda_medium,lambda_severe,identity_multiplier,light_multiplier,medium_multiplier,severe_multiplier,growth_source_url,source_release_date,source_period,source_standard,source_status,source_interpretation,c_pp_source,rho_source,lambda_source,unknown_policy,parameter_status
agriculture,-2.8,2.8,0.06999999999999999,40.0,0.25,0.0,0.5,1.0,1.5,1.0,1.00875,1.0175,1.02625,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption,modeling_assumption,modeling_assumption,not_applicable,official_growth_plus_modeling_assumption
manufacturing_industry,-10.2,10.2,0.255,40.0,0.25,0.0,0.5,1.0,1.5,1.0,1.031875,1.06375,1.095625,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption,modeling_assumption,modeling_assumption,not_applicable,official_growth_plus_modeling_assumption
construction,-17.5,17.5,0.4375,40.0,0.25,0.0,0.5,1.0,1.5,1.0,1.0546875,1.109375,1.1640625,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption,modeling_assumption,modeling_assumption,not_applicable,official_growth_plus_modeling_assumption
wholesale_retail,-17.8,17.8,0.445,40.0,0.25,0.0,0.5,1.0,1.5,1.0,1.055625,1.11125,1.166875,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption,modeling_assumption,modeling_assumption,not_applicable,official_growth_plus_modeling_assumption
transport_storage_post,-14.0,14.0,0.35,40.0,0.25,0.0,0.5,1.0,1.5,1.0,1.04375,1.0875,1.13125,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption,modeling_assumption,modeling_assumption,not_applicable,official_growth_plus_modeling_assumption
accommodation_catering,-35.3,35.3,0.8825,40.0,0.25,0.0,0.5,1.0,1.5,1.0,1.1103125,1.220625,1.25,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption,modeling_assumption,modeling_assumption,not_applicable,official_growth_plus_modeling_assumption
finance,6.0,0.0,0.0,40.0,0.25,0.0,0.5,1.0,1.5,1.0,1.0,1.0,1.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption,modeling_assumption,modeling_assumption,not_applicable,official_growth_plus_modeling_assumption
real_estate,-6.1,6.1,0.1525,40.0,0.25,0.0,0.5,1.0,1.5,1.0,1.0190625,1.038125,1.0571875,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption,modeling_assumption,modeling_assumption,not_applicable,official_growth_plus_modeling_assumption
information_software_it,13.2,0.0,0.0,40.0,0.25,0.0,0.5,1.0,1.5,1.0,1.0,1.0,1.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption,modeling_assumption,modeling_assumption,not_applicable,official_growth_plus_modeling_assumption
leasing_business_services,-9.4,9.4,0.23500000000000001,40.0,0.25,0.0,0.5,1.0,1.5,1.0,1.029375,1.05875,1.088125,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption,modeling_assumption,modeling_assumption,not_applicable,official_growth_plus_modeling_assumption
other_services,-1.8,1.8,0.045,40.0,0.25,0.0,0.5,1.0,1.5,1.0,1.005625,1.01125,1.016875,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption,modeling_assumption,modeling_assumption,not_applicable,official_growth_plus_modeling_assumption
