enterprise_id,enterprise_name,industry_code,unknown_industry_flag,industry_high_uncertainty_flag,risk_used_main_score,risk_used,decision,selected_rate,offered_loan_amount_10k,expected_credit_loss_10k,expected_funding_cost_10k,expected_net_return_10k,selected_rate_is_observed_attachment3_point,rating_prob_A,rating_prob_B,rating_prob_C,rating_prob_D,pD,d_probability_reject_flag,max_loan_limit_10k,risk_override_only,selected_rate_missing,q2_main_risk,q3_robust_risk,scenario_id,scenario_kind,sensitivity_axis,sensitivity_level,c_pp,rho,lambda_severe,unknown_policy,unknown_S_value,lgd,funding_cost_rate,parameter_source,duration_assumption,risk_override_column
E124,个体经营E124,unknown,1,1,0.10039782895499999,0.10039782895499999,贷,0.1425,50.0,0.435338362536008,0.24777904181922616,0.11097297975235731,True,0.8838965585,0.1004521091,0.01443344851,0.001217883842,0.001217883842,False,50.0,True,0,0.06693188597,0.10039782895499999,exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,boundary,20.0,0.5,1.875,max_known_S,1.0,0.7,0.04,exploratory_combined_adverse_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,robust_risk
E125,个体经营E125,unknown,1,1,0.042468954135,0.042468954135,贷,0.1225,50.0,0.2899678337176625,0.3901577242868014,0.4639881017232742,True,0.5292933119,0.3735192242,0.08899952099,0.008187942937,0.008187942937,False,50.0,True,0,0.02831263609,0.042468954135,exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,boundary,20.0,0.5,1.875,max_known_S,1.0,0.7,0.04,exploratory_combined_adverse_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,robust_risk
E126,个体经营E126,unknown,1,1,0.036401802255000004,0.036401802255000004,贷,0.1225,100.0,0.48983514024848157,0.7689338908741999,1.0103698601360716,True,0.673036306,0.2714240034,0.05105018686,0.004489503801,0.004489503801,False,100.0,True,0,0.02426786817,0.036401802255000004,exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,boundary,20.0,0.5,1.875,max_known_S,1.0,0.7,0.04,exploratory_combined_adverse_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,robust_risk
E127,个体经营E127,unknown,1,1,0.032365995135,0.032365995135,贷,0.1225,50.0,0.21605519106070586,0.3814500640644251,0.5328759076365472,True,0.745264882,0.2150040932,0.03656806419,0.003162960672,0.003162960672,False,50.0,True,0,0.02157733009,0.032365995135,exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,boundary,20.0,0.5,1.875,max_known_S,1.0,0.7,0.04,exploratory_combined_adverse_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,robust_risk
E128,个体经营E128,unknown,1,1,0.12969859505999998,0.12969859505999998,贷,0.15,50.0,0.42424315476440233,0.1869138673038243,-0.0011392671284002898,True,0.06461960122,0.2987266072,0.5181972186,0.118456573,0.118456573,False,50.0,True,0,0.08646573004,0.12969859505999998,exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,boundary,20.0,0.5,1.875,max_known_S,1.0,0.7,0.04,exploratory_combined_adverse_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,robust_risk
E129,个体经营E129,unknown,1,1,0.03770444016,0.03770444016,贷,0.1225,100.0,0.5143783312777256,0.7795646183010273,1.003457485994541,True,0.5392539656,0.3670148704,0.08586199873,0.007869165276,0.007869165276,False,100.0,True,0,0.02513629344,0.03770444016,exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,boundary,20.0,0.5,1.875,max_known_S,1.0,0.7,0.04,exploratory_combined_adverse_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,robust_risk
E130,个体经营E130,unknown,1,1,0.22031762354999998,0.22031762354999998,不贷,0.0,0.0,0.0,0.0,0.0,False,0.02240132754,0.1367691129,0.5525150874,0.2883144721,0.2883144721,False,50.0,True,1,0.1468784157,0.22031762354999998,exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,boundary,20.0,0.5,1.875,max_known_S,1.0,0.7,0.04,exploratory_combined_adverse_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,robust_risk
E131,个体经营E131,unknown,1,1,0.03934219233,0.03934219233,贷,0.1225,100.0,0.5381149106493603,0.7815889670751792,0.9797422245795586,True,0.5121652897,0.3844561711,0.09461396482,0.008764574391,0.008764574391,False,100.0,True,0,0.02622812822,0.03934219233,exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,boundary,20.0,0.5,1.875,max_known_S,1.0,0.7,0.04,exploratory_combined_adverse_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,robust_risk
E132,个体经营E132,unknown,1,1,0.04629198576,0.04629198576,贷,0.1225,100.0,0.6302253905604945,0.7779506294525329,0.8640083393372682,True,0.5603655453,0.352902841,0.07950124842,0.007230365358,0.007230365358,False,100.0,True,0,0.03086132384,0.04629198576,exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,boundary,20.0,0.5,1.875,max_known_S,1.0,0.7,0.04,exploratory_combined_adverse_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,robust_risk
E133,个体经营E133,unknown,1,1,0.15646934145,0.15646934145,贷,0.15,50.0,0.5372111760767428,0.19619039235177657,-0.11280427769723086,True,0.1077353827,0.39163485,0.4292362949,0.07139347246,0.07139347246,False,50.0,True,0,0.1043128943,0.15646934145,exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,boundary,20.0,0.5,1.875,max_known_S,1.0,0.7,0.04,exploratory_combined_adverse_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,robust_risk
