scenario_id,scenario_kind,sensitivity_axis,industry_code,growth_yoy_pct,d_h_pp,S_h,D_identity,D_light,D_medium,D_severe,identity_multiplier,light_multiplier,medium_multiplier,severe_multiplier,c_pp,rho,lambda_severe,unknown_policy,unknown_S_value,known_S_p50_value,growth_source_url,source_release_date,source_period,source_standard,source_status,source_interpretation,parameter_source,duration_assumption,lgd,funding_cost_rate
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,accommodation_catering,-35.3,35.3,1.0,0.0,0.5,1.0,1.0,1.0,1.25,1.5,1.5,20.0,0.5,1.875,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.7,0.04
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,agriculture,-2.8,2.8,0.13999999999999999,0.0,0.06999999999999999,0.13999999999999999,0.26249999999999996,1.0,1.035,1.07,1.13125,20.0,0.5,1.875,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.7,0.04
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,construction,-17.5,17.5,0.875,0.0,0.4375,0.875,1.0,1.0,1.21875,1.4375,1.5,20.0,0.5,1.875,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.7,0.04
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,finance,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.5,1.875,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.7,0.04
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,information_software_it,13.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0,0.5,1.875,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.7,0.04
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,leasing_business_services,-9.4,9.4,0.47000000000000003,0.0,0.23500000000000001,0.47000000000000003,0.8812500000000001,1.0,1.1175,1.235,1.440625,20.0,0.5,1.875,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.7,0.04
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,manufacturing_industry,-10.2,10.2,0.51,0.0,0.255,0.51,0.95625,1.0,1.1275,1.255,1.478125,20.0,0.5,1.875,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.7,0.04
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,other_services,-1.8,1.8,0.09,0.0,0.045,0.09,0.16874999999999998,1.0,1.0225,1.045,1.084375,20.0,0.5,1.875,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.7,0.04
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,real_estate,-6.1,6.1,0.305,0.0,0.1525,0.305,0.571875,1.0,1.07625,1.1525,1.2859375,20.0,0.5,1.875,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.7,0.04
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,transport_storage_post,-14.0,14.0,0.7,0.0,0.35,0.7,1.0,1.0,1.175,1.35,1.5,20.0,0.5,1.875,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,official_primary_preliminary,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,official_growth_plus_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,0.7,0.04
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,unknown,,20.0,1.0,0.0,0.5,1.0,1.0,1.0,1.25,1.5,1.5,20.0,0.5,1.875,max_known_S,1.0,0.47000000000000003,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900688.html,2020-04-18,2020Q1,GB/T4754-2017,derived_policy_max_known_S,retrospective_external_stress_marker; includes 2020-03; after Q2 invoice window; not Q2 training input or ex_ante validation,modeling_assumption_derived_policy,unconfirmed; Q1 retrospective stress marker only,0.7,0.04
