scenario_id,scenario_kind,sensitivity_axis,sensitivity_level,changed_parameters,changed_parameter_count,c_pp,rho,lambda_severe,unknown_policy,unknown_S_value,unknown_S_source,lgd,funding_cost_rate,parameter_source,duration_assumption,solve_status,solver_status_code,is_optimal,validation_status,solver_called,fallback_used,nominal_offered_amount_10k,budget_difference_10k,expected_credit_loss_10k,expected_funding_cost_10k,expected_interest_income_10k,expected_net_return_10k,weighted_risk_used,selected_enterprise_count,jaccard_vs_formal_robust,amount_l1_vs_formal_robust_10k,industry_hhi,unknown_amount_share,risk_upper_clip_count,risk_upper_clip_applied,risk_override_column,risk_override_only,analysis_rule
exploratory_combined_adverse,exploratory_combined_adverse,combined_adverse,boundary,"c_pp,rho,lambda_severe,lgd,funding_cost_rate",5,20.0,0.5,1.875,max_known_S,1.0,actual_max_of_11_known_S,0.7,0.04,exploratory_combined_adverse_modeling_assumption,unconfirmed; Q1 retrospective stress marker only,optimal,0,True,PASS,True,False,10000.0,0.0,81.26559958093715,51.510414362191675,164.52003867518442,31.7440247320556,0.09015164418655125,164,0.9759036144578314,200.0,0.34165,0.545,13,True,robust_risk,True,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion"
formal_robust,formal_robust,formal_robust,centre,none,0,40.0,0.25,1.5,max_known_S,0.8825,actual_max_of_11_known_S,0.5,0.03,modeling_assumption_centre,unconfirmed; Q1 retrospective stress marker only,optimal,0,True,PASS,True,False,10000.0,0.0,68.69132701551014,57.58391574331887,215.70208296900913,89.42684021018013,0.07157345185246107,164,1.0,0.0,0.34190000000000004,0.545,4,True,robust_risk,True,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion"
sensitivity_c_pp_20p0,single_factor,c_pp,20.0,c_pp,1,20.0,0.25,1.5,max_known_S,1.0,actual_max_of_11_known_S,0.5,0.03,modeling_assumption_single_factor,unconfirmed; Q1 retrospective stress marker only,optimal,0,True,PASS,True,False,10000.0,0.0,70.02225973009185,57.05696964863343,213.92768920787205,86.84845982914679,0.0736340469828323,164,0.9759036144578314,200.0,0.34640000000000004,0.55,4,True,robust_risk,True,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion"
sensitivity_c_pp_60p0,single_factor,c_pp,60.0,c_pp,1,60.0,0.25,1.5,max_known_S,0.5883333333333333,actual_max_of_11_known_S,0.5,0.03,modeling_assumption_single_factor,unconfirmed; Q1 retrospective stress marker only,optimal,0,True,PASS,True,False,10000.0,0.0,67.46890269905327,58.37840932372612,217.81282744438016,91.96551542160074,0.06934300212763687,164,1.0,0.0,0.34190000000000004,0.545,2,True,robust_risk,True,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion"
sensitivity_funding_cost_rate_0p02,single_factor,funding_cost_rate,0.02,funding_cost_rate,1,40.0,0.25,1.5,max_known_S,0.8825,actual_max_of_11_known_S,0.5,0.02,modeling_assumption_single_factor,unconfirmed; Q1 retrospective stress marker only,optimal,0,True,PASS,True,False,10000.0,0.0,78.4086464089545,44.975259163408786,233.67047816772828,110.286572595365,0.06973491458854929,164,1.0,0.0,0.34190000000000004,0.545,4,True,robust_risk,True,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion"
sensitivity_funding_cost_rate_0p04,single_factor,funding_cost_rate,0.04,funding_cost_rate,1,40.0,0.25,1.5,max_known_S,0.8825,actual_max_of_11_known_S,0.5,0.04,modeling_assumption_single_factor,unconfirmed; Q1 retrospective stress marker only,optimal,0,True,PASS,True,False,10000.0,0.0,59.641049328511635,64.14140498524347,195.6969352597248,71.91448094596964,0.07438695718278425,164,1.0,0.0,0.34190000000000004,0.545,4,True,robust_risk,True,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion"
sensitivity_lambda_severe_1p125,single_factor,lambda_severe,1.125,lambda_severe,1,40.0,0.25,1.125,max_known_S,0.8825,actual_max_of_11_known_S,0.5,0.03,modeling_assumption_single_factor,unconfirmed; Q1 retrospective stress marker only,optimal,0,True,PASS,True,False,10000.0,0.0,68.17169204997916,57.886551804563254,216.6171236133243,90.5588797587819,0.07066065252614177,164,1.0,0.0,0.34190000000000004,0.545,2,True,robust_risk,True,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion"
sensitivity_lambda_severe_1p875,single_factor,lambda_severe,1.875,lambda_severe,1,40.0,0.25,1.875,max_known_S,0.8825,actual_max_of_11_known_S,0.5,0.03,modeling_assumption_single_factor,unconfirmed; Q1 retrospective stress marker only,optimal,0,True,PASS,True,False,10000.0,0.0,69.02238374858933,57.211067137878146,214.62265216190275,88.38920127543528,0.07238709627517978,164,0.9878787878787879,100.0,0.34125,0.545,4,True,robust_risk,True,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion"
sensitivity_lgd_0p3,single_factor,lgd,0.3,lgd,1,40.0,0.25,1.5,max_known_S,0.8825,actual_max_of_11_known_S,0.3,0.03,modeling_assumption_single_factor,unconfirmed; Q1 retrospective stress marker only,optimal,0,True,PASS,True,False,10000.0,0.0,50.24893515164297,70.41294948094722,240.29972095185406,119.63783631926384,0.0713632016867006,165,0.9939393939393939,100.0,0.3365,0.54,4,True,robust_risk,True,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion"
sensitivity_lgd_0p7,single_factor,lgd,0.7,lgd,1,40.0,0.25,1.5,max_known_S,0.8825,actual_max_of_11_known_S,0.7,0.03,modeling_assumption_single_factor,unconfirmed; Q1 retrospective stress marker only,optimal,0,True,PASS,True,False,10000.0,0.0,77.72540933069517,46.29614219135441,188.63901129951196,64.6174597774624,0.07195176128384996,164,1.0,0.0,0.34190000000000004,0.545,4,True,robust_risk,True,"robust_selected_core if loan_frequency>=0.80; selection_sensitive if 0<loan_frequency<0.80; consistently_not_selected if loan_frequency=0; selection-frequency analysis only, not enterprise robustness or default conclusion"
