enterprise_id,enterprise_name,industry_code,q2_baseline_risk,robust_risk,q3_scenario_id,q2_decision,robust_decision,q2_selected_rate,robust_selected_rate,delta_selected_rate,q2_offered_loan_amount_10k,robust_offered_loan_amount_10k,delta_offered_loan_amount_10k,q2_expected_net_return_10k,robust_expected_net_return_10k,delta_expected_net_return_10k,decision_changed,rate_changed,amount_changed
E124,个体经营E124,unknown,0.06693188597,0.08366485746,robust,贷,贷,0.1225,0.1225,0,50,50,0,0.4771980524,0.3794182608,-0.09777979163,False,False,False
E125,个体经营E125,unknown,0.02831263609,0.03539079511,robust,贷,贷,0.0985,0.0985,0,50,50,0,0.7905960012,0.7256325271,-0.06496347409,False,False,False
E126,个体经营E126,unknown,0.02426786817,0.03033483521,robust,贷,贷,0.0985,0.0985,0,100,100,0,1.63196623,1.522179758,-0.1097864723,False,False,False
E127,个体经营E127,unknown,0.02157733009,0.02697166261,robust,贷,贷,0.0985,0.0985,0,50,50,0,0.8339584462,0.7855210144,-0.04843743177,False,False,False
E128,个体经营E128,unknown,0.08646573004,0.1080821625,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.390098357,0.2949568959,-0.09514146109,False,False,False
E129,个体经营E129,unknown,0.02513629344,0.0314203668,robust,贷,贷,0.0985,0.0985,0,100,100,0,1.637955452,1.522713234,-0.1152422184,False,False,False
E130,个体经营E130,unknown,0.1468784157,0.1835980196,robust,不贷,不贷,,,0,0,0,0,0,0,0,False,False,False
E131,个体经营E131,unknown,0.02622812822,0.03278516028,robust,贷,贷,0.0985,0.0985,0,100,100,0,1.622041733,1.501488382,-0.1205533509,False,False,False
E132,个体经营E132,unknown,0.03086132384,0.0385766548,robust,贷,贷,0.0985,0.0985,0,100,100,0,1.529868458,1.388664567,-0.141203891,False,False,False
E133,个体经营E133,unknown,0.1043128943,0.1303911179,robust,贷,贷,0.1425,0.1425,0,50,50,0,0.3240121378,0.2046403112,-0.1193718266,False,False,False
E134,***工程咨询有限公司,other_services,0.03620846997,0.0368194879,robust,贷,贷,0.0985,0.0985,0,100,100,0,1.441881438,1.430621639,-0.0112597986,False,False,False
