enterprise_id,input_invoice_count,output_invoice_count,has_input,has_output,has_any_invoice
E1,3441,8110,True,True,True
E10,4097,568,True,True,True
E100,58,99,True,True,True
E101,16,63,True,True,True
E102,730,177,True,True,True
E103,172,64,True,True,True
E104,1,21,True,True,True
E105,6,122,True,True,True
E106,36,153,True,True,True
E107,9,54,True,True,True
E108,218,33,True,True,True
E109,10,33,True,True,True
E11,2836,1117,True,True,True
E110,3,83,True,True,True
E111,278,250,True,True,True
E112,106,22,True,True,True
E113,104,47,True,True,True
E114,76,75,True,True,True
E115,2,6,True,True,True
E116,10,47,True,True,True
E117,4,44,True,True,True
E118,29,144,True,True,True
E119,315,21,True,True,True
E12,1796,285,True,True,True
E120,36,29,True,True,True
E121,50,186,True,True,True
E122,48,118,True,True,True
E123,3,65,True,True,True
E13,13469,8005,True,True,True
E14,7077,3336,True,True,True
E15,92,2412,True,True,True
E16,290,439,True,True,True
E17,7568,676,True,True,True
E18,5765,381,True,True,True
E19,1524,3099,True,True,True
E2,32156,12707,True,True,True
E20,1130,777,True,True,True
E21,2312,1466,True,True,True
E22,1610,1562,True,True,True
E23,4951,3570,True,True,True
E24,2047,1782,True,True,True
E25,1410,978,True,True,True
E26,791,504,True,True,True
E27,2565,1468,True,True,True
E28,169,569,True,True,True
E29,50,475,True,True,True
E3,4561,24073,True,True,True
E30,754,800,True,True,True
E31,412,2608,True,True,True
E32,2826,552,True,True,True
E33,1293,1073,True,True,True
E34,2309,707,True,True,True
E35,669,770,True,True,True
E36,1636,1547,True,True,True
E37,618,1273,True,True,True
E38,991,628,True,True,True
E39,282,264,True,True,True
E4,558,2231,True,True,True
E40,3148,883,True,True,True
E41,2033,663,True,True,True
E42,47,327,True,True,True
E43,78,245,True,True,True
E44,1248,2435,True,True,True
E45,600,325,True,True,True
E46,2544,974,True,True,True
E47,2905,3518,True,True,True
E48,1235,1016,True,True,True
E49,3615,513,True,True,True
E5,2169,1060,True,True,True
E50,197,285,True,True,True
E51,453,895,True,True,True
E52,425,379,True,True,True
E53,630,454,True,True,True
E54,1644,3501,True,True,True
E55,823,590,True,True,True
E56,1201,495,True,True,True
E57,130,438,True,True,True
E58,1352,388,True,True,True
E59,549,2149,True,True,True
E6,11337,1052,True,True,True
E60,538,513,True,True,True
E61,212,1992,True,True,True
E62,530,219,True,True,True
E63,1573,673,True,True,True
E64,32,1375,True,True,True
E65,587,485,True,True,True
E66,577,679,True,True,True
E67,647,215,True,True,True
E68,3,73,True,True,True
E69,1,587,True,True,True
E7,13097,8149,True,True,True
E70,1829,578,True,True,True
E71,1259,375,True,True,True
E72,117,248,True,True,True
E73,606,236,True,True,True
E74,19,555,True,True,True
E75,552,8655,True,True,True
E76,350,245,True,True,True
E77,54,258,True,True,True
E78,52,268,True,True,True
E79,154,86,True,True,True
E8,22536,9425,True,True,True
E80,395,48,True,True,True
E81,211,649,True,True,True
E82,315,343,True,True,True
E83,2890,706,True,True,True
E84,54,498,True,True,True
E85,229,293,True,True,True
E86,138,22,True,True,True
E87,379,74,True,True,True
E88,214,400,True,True,True
E89,65,172,True,True,True
E9,4293,5906,True,True,True
E90,139,261,True,True,True
E91,177,129,True,True,True
E92,213,39,True,True,True
E93,213,148,True,True,True
E94,4,196,True,True,True
E95,4,913,True,True,True
E96,11,20,True,True,True
E97,9,264,True,True,True
E98,51,153,True,True,True
E99,880,8,True,True,True
