enterprise_id,input_invoice_count,output_invoice_count,has_any_invoice
E1,3441,8110,True
E10,4097,568,True
E100,58,99,True
E101,16,63,True
E102,730,177,True
E103,172,64,True
E104,1,21,True
E105,6,122,True
E106,36,153,True
E107,9,54,True
E108,218,33,True
E109,10,33,True
E11,2836,1117,True
E110,3,83,True
E111,278,250,True
E112,106,22,True
E113,104,47,True
E114,76,75,True
E115,2,6,True
E116,10,47,True
E117,4,44,True
E118,29,144,True
E119,315,21,True
E12,1796,285,True
E120,36,29,True
E121,50,186,True
E122,48,118,True
E123,3,65,True
E13,13469,8005,True
E14,7077,3336,True
E15,92,2412,True
E16,290,439,True
E17,7568,676,True
E18,5765,381,True
E19,1524,3099,True
E2,32156,12707,True
E20,1130,777,True
E21,2312,1466,True
E22,1610,1562,True
E23,4951,3570,True
E24,2047,1782,True
E25,1410,978,True
E26,791,504,True
E27,2565,1468,True
E28,169,569,True
E29,50,475,True
E3,4561,24073,True
E30,754,800,True
E31,412,2608,True
E32,2826,552,True
E33,1293,1073,True
E34,2309,707,True
E35,669,770,True
E36,1636,1547,True
E37,618,1273,True
E38,991,628,True
E39,282,264,True
E4,558,2231,True
E40,3148,883,True
E41,2033,663,True
E42,47,327,True
E43,78,245,True
E44,1248,2435,True
E45,600,325,True
E46,2544,974,True
E47,2905,3518,True
E48,1235,1016,True
E49,3615,513,True
E5,2169,1060,True
E50,197,285,True
E51,453,895,True
E52,425,379,True
E53,630,454,True
E54,1644,3501,True
E55,823,590,True
E56,1201,495,True
E57,130,438,True
E58,1352,388,True
E59,549,2149,True
E6,11337,1052,True
E60,538,513,True
E61,212,1992,True
E62,530,219,True
E63,1573,673,True
E64,32,1375,True
E65,587,485,True
E66,577,679,True
E67,647,215,True
E68,3,73,True
E69,1,587,True
E7,13097,8149,True
E70,1829,578,True
E71,1259,375,True
E72,117,248,True
E73,606,236,True
E74,19,555,True
E75,552,8655,True
E76,350,245,True
E77,54,258,True
E78,52,268,True
E79,154,86,True
E8,22536,9425,True
E80,395,48,True
E81,211,649,True
E82,315,343,True
E83,2890,706,True
E84,54,498,True
E85,229,293,True
E86,138,22,True
E87,379,74,True
E88,214,400,True
E89,65,172,True
E9,4293,5906,True
E90,139,261,True
E91,177,129,True
E92,213,39,True
E93,213,148,True
E94,4,196,True
E95,4,913,True
E96,11,20,True
E97,9,264,True
E98,51,153,True
E99,880,8,True
