workbook,sheet_name,role,field,dtype,row_count,missing_count,missing_rate
data/附件1：123家有信贷记录企业的相关数据.xlsx,企业信息,enterprise,企业代号,string,123,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,企业信息,enterprise,企业名称,string,123,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,企业信息,enterprise,信誉评级,string,123,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,企业信息,enterprise,是否违约,string,123,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,进项发票信息,input_invoice,企业代号,string,210947,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,进项发票信息,input_invoice,发票号码,string,210947,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,进项发票信息,input_invoice,开票日期,datetime64[us],210947,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,进项发票信息,input_invoice,销方单位代号,string,210947,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,进项发票信息,input_invoice,金额,float64,210947,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,进项发票信息,input_invoice,税额,float64,210947,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,进项发票信息,input_invoice,价税合计,float64,210947,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,进项发票信息,input_invoice,发票状态,string,210947,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,销项发票信息,output_invoice,企业代号,string,162484,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,销项发票信息,output_invoice,发票号码,string,162484,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,销项发票信息,output_invoice,开票日期,datetime64[us],162484,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,销项发票信息,output_invoice,购方单位代号,string,162484,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,销项发票信息,output_invoice,金额,float64,162484,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,销项发票信息,output_invoice,税额,float64,162484,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,销项发票信息,output_invoice,价税合计,float64,162484,0,0
data/附件1：123家有信贷记录企业的相关数据.xlsx,销项发票信息,output_invoice,发票状态,string,162484,0,0
