check_name,value,status,detail
workbook_exists,True,PASS,data/附件3：银行贷款年利率与客户流失率关系的统计数据.xlsx
sheet_detected,Sheet1,PASS,expected_sheet=Sheet1
raw_interest_rate_column,贷款年利率,PASS,column_index=0
raw_interest_rate_normalization,kept_as_0_1_fraction,PASS,Conversion recorded explicitly
interest_rate_invalid_value_count,0,PASS,Raw interest-rate numeric range check
interest_rate_duplicate_count,0,PASS,Duplicate rates are not permitted
interest_rate_strictly_increasing,True,PASS,Observed row order
interest_rate_min,0.04,PASS,Expected 4% to 15%
interest_rate_max,0.15,PASS,Expected 4% to 15%
rating_A_raw_column,客户流失率,PASS,"column_index=1; labels=['客户流失率', '信誉评级A', '0', '0.0945741262057566', '0.135727183124787']"
rating_A_normalization,kept_as_0_1_fraction,PASS,Conversion recorded explicitly
rating_A_missing_count,0,PASS,Every observed rate must have churn data
rating_A_invalid_count,0,PASS,Churn rate numeric/range check
rating_A_min,0.0,PASS,"Normalized churn rate must be in [0, 1]"
rating_A_max,0.922060686952494,PASS,"Normalized churn rate must be in [0, 1]"
rating_B_raw_column,Unnamed: 2,PASS,"column_index=2; labels=['', '信誉评级B', '0', '0.0667995833242854', '0.135052059550382']"
rating_B_normalization,kept_as_0_1_fraction,PASS,Conversion recorded explicitly
rating_B_missing_count,0,PASS,Every observed rate must have churn data
rating_B_invalid_count,0,PASS,Churn rate numeric/range check
rating_B_min,0.0,PASS,"Normalized churn rate must be in [0, 1]"
rating_B_max,0.885864918999995,PASS,"Normalized churn rate must be in [0, 1]"
rating_C_raw_column,Unnamed: 3,PASS,"column_index=3; labels=['', '信誉评级C', '0', '0.0687253064883727', '0.122099028926699']"
rating_C_normalization,kept_as_0_1_fraction,PASS,Conversion recorded explicitly
rating_C_missing_count,0,PASS,Every observed rate must have churn data
rating_C_invalid_count,0,PASS,Churn rate numeric/range check
rating_C_min,0.0,PASS,"Normalized churn rate must be in [0, 1]"
rating_C_max,0.895164738662031,PASS,"Normalized churn rate must be in [0, 1]"
