source_sheet,raw_interest_rate_column,raw_churn_rate_column,credit_rating,interest_rate_raw,churn_rate_raw,interest_rate,interest_rate_normalization,churn_rate_normalization,raw_churn_rate,fitted_churn_rate,acceptance_probability,raw_minus_fitted,is_observed_rate,fit_method
Sheet1,贷款年利率,客户流失率,A,0.04,0,0.04,kept_as_0_1_fraction,kept_as_0_1_fraction,0,0,1,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0425,0.09457412621,0.0425,kept_as_0_1_fraction,kept_as_0_1_fraction,0.09457412621,0.09457412621,0.9054258738,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0465,0.1357271831,0.0465,kept_as_0_1_fraction,kept_as_0_1_fraction,0.1357271831,0.1357271831,0.8642728169,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0505,0.2246033536,0.0505,kept_as_0_1_fraction,kept_as_0_1_fraction,0.2246033536,0.2246033536,0.7753966464,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0545,0.3020381016,0.0545,kept_as_0_1_fraction,kept_as_0_1_fraction,0.3020381016,0.3020381016,0.6979618984,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0585,0.3473156681,0.0585,kept_as_0_1_fraction,kept_as_0_1_fraction,0.3473156681,0.3473156681,0.6526843319,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0625,0.41347177,0.0625,kept_as_0_1_fraction,kept_as_0_1_fraction,0.41347177,0.41347177,0.58652823,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0665,0.4478909726,0.0665,kept_as_0_1_fraction,kept_as_0_1_fraction,0.4478909726,0.4478909726,0.5521090274,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0705,0.4976344534,0.0705,kept_as_0_1_fraction,kept_as_0_1_fraction,0.4976344534,0.4976344534,0.5023655466,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0745,0.511096612,0.0745,kept_as_0_1_fraction,kept_as_0_1_fraction,0.511096612,0.511096612,0.488903388,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0785,0.573393087,0.0785,kept_as_0_1_fraction,kept_as_0_1_fraction,0.573393087,0.573393087,0.426606913,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0825,0.6094921146,0.0825,kept_as_0_1_fraction,kept_as_0_1_fraction,0.6094921146,0.6094921146,0.3905078854,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0865,0.6529447736,0.0865,kept_as_0_1_fraction,kept_as_0_1_fraction,0.6529447736,0.6529447736,0.3470552264,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0905,0.6675418427,0.0905,kept_as_0_1_fraction,kept_as_0_1_fraction,0.6675418427,0.6675418427,0.3324581573,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0945,0.6947799208,0.0945,kept_as_0_1_fraction,kept_as_0_1_fraction,0.6947799208,0.6947799208,0.3052200792,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.0985,0.7083020233,0.0985,kept_as_0_1_fraction,kept_as_0_1_fraction,0.7083020233,0.7083020233,0.2916979767,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.1025,0.7312754013,0.1025,kept_as_0_1_fraction,kept_as_0_1_fraction,0.7312754013,0.7312754013,0.2687245987,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.1065,0.775091405,0.1065,kept_as_0_1_fraction,kept_as_0_1_fraction,0.775091405,0.775091405,0.224908595,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.1105,0.7982273676,0.1105,kept_as_0_1_fraction,kept_as_0_1_fraction,0.7982273676,0.794377317,0.205622683,0.003850050613,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.1145,0.7905272664,0.1145,kept_as_0_1_fraction,kept_as_0_1_fraction,0.7905272664,0.794377317,0.205622683,-0.003850050613,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.1185,0.8151969865,0.1185,kept_as_0_1_fraction,kept_as_0_1_fraction,0.8151969865,0.8148090077,0.1851909923,0.0003879787987,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.1225,0.8144210289,0.1225,kept_as_0_1_fraction,kept_as_0_1_fraction,0.8144210289,0.8148090077,0.1851909923,-0.0003879787987,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.1265,0.8548110969,0.1265,kept_as_0_1_fraction,kept_as_0_1_fraction,0.8548110969,0.8548110969,0.1451889031,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.1305,0.8703173433,0.1305,kept_as_0_1_fraction,kept_as_0_1_fraction,0.8703173433,0.8703173433,0.1296826567,0,True,isotonic_regression_increasing
Sheet1,贷款年利率,客户流失率,A,0.1345,0.8714280854,0.1345,kept_as_0_1_fraction,kept_as_0_1_fraction,0.8714280854,0.8714280854,0.1285719146,0,True,isotonic_regression_increasing
