enterprise_id,enterprise_name,credit_rating,risk_model,risk_score,risk_score_source,risk_rank,risk_percentile,loan_decision,decision_reason,offered_loan_amount_10k,offered_loan_amount_yuan,interest_rate,interest_rate_percent,fitted_churn_rate,acceptance_probability,expected_disbursed_amount_10k,lgd,funding_cost_rate,expected_interest_income_10k,expected_credit_loss_10k,expected_funding_cost_10k,expected_net_return_10k,expected_net_return_per_offered_unit,solver_scenario_id,budget_definition,representative_scenario_flag,conservative_risk_score
E1,***电器销售有限公司,A,elastic_net_logistic,0.05655542179,selected_model_risk_score,104,0.162601626,放贷,优化模型选择,100,1000000,0.1225,12.25,0.8148090077,0.1851909923,18.51909923,0.5,0.03,2.140288611,0.5236777341,0.5555729769,1.0610379,0.010610379,baseline_representative_parameterized_scenario,nominal_equality,True,0.0730491674
E10,***建筑劳务有限公司,B,elastic_net_logistic,0.06093491817,selected_model_risk_score,102,0.1788617886,放贷,优化模型选择,100,1000000,0.1185,11.85,0.7692116619,0.2307883381,23.07883381,0.5,0.03,2.568194445,0.7031534248,0.6923650143,1.172676006,0.01172676006,baseline_representative_parameterized_scenario,nominal_equality,True,0.07833730674
E100,***装饰工程有限公司,D,elastic_net_logistic,0.2578903118,selected_model_risk_score,36,0.7154471545,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.5,0.03,0,0,0,0,,baseline_representative_parameterized_scenario,nominal_equality,True,0.3416804479
E101,***灯饰工程有限公司,D,elastic_net_logistic,0.7098560409,selected_model_risk_score,6,0.9593495935,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.5,0.03,0,0,0,0,,baseline_representative_parameterized_scenario,nominal_equality,True,0.7897592201
E102,***大药房有限责任公司,D,elastic_net_logistic,0.4733747116,selected_model_risk_score,17,0.8699186992,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.5,0.03,0,0,0,0,,baseline_representative_parameterized_scenario,nominal_equality,True,0.6183651775
E103,***科技有限公司,D,elastic_net_logistic,0.4055458126,selected_model_risk_score,22,0.8292682927,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.5,0.03,0,0,0,0,,baseline_representative_parameterized_scenario,nominal_equality,True,0.4768661053
E104,***管理咨询有限责任公司,C,elastic_net_logistic,0.5371556855,selected_model_risk_score,14,0.8943089431,不放贷,优化模型未选择,0,0,,,,,0,0.5,0.03,0,0,0,0,,baseline_representative_parameterized_scenario,nominal_equality,True,0.6048969633
E105,***建材经营部,C,elastic_net_logistic,0.2296735143,selected_model_risk_score,41,0.674796748,不放贷,优化模型未选择,0,0,,,,,0,0.5,0.03,0,0,0,0,,baseline_representative_parameterized_scenario,nominal_equality,True,0.3150886304
E106,***财务管理有限公司,B,elastic_net_logistic,0.25387818,selected_model_risk_score,37,0.7073170732,不放贷,优化模型未选择,0,0,,,,,0,0.5,0.03,0,0,0,0,,baseline_representative_parameterized_scenario,nominal_equality,True,0.2861266308
E107,***科技有限公司,D,elastic_net_logistic,0.6278756036,selected_model_risk_score,8,0.9430894309,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.5,0.03,0,0,0,0,,baseline_representative_parameterized_scenario,nominal_equality,True,0.6820972821
E108,***商贸有限公司,D,elastic_net_logistic,0.5221807895,selected_model_risk_score,15,0.8861788618,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.5,0.03,0,0,0,0,,baseline_representative_parameterized_scenario,nominal_equality,True,0.6296705299
E109,***服饰有限公司,D,elastic_net_logistic,0.5493640614,selected_model_risk_score,12,0.9105691057,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.5,0.03,0,0,0,0,,baseline_representative_parameterized_scenario,nominal_equality,True,0.6102205923
E11,***建设工程有限公司,C,elastic_net_logistic,0.07723891572,selected_model_risk_score,93,0.2520325203,放贷,优化模型选择,100,1000000,0.1425,14.25,0.8405321006,0.1594678994,15.94678994,0.5,0.03,2.096898498,0.6158563821,0.4784036982,1.002638417,0.01002638417,baseline_representative_parameterized_scenario,nominal_equality,True,0.1001763276
E110,***通讯器材经营部,C,elastic_net_logistic,0.5711527053,selected_model_risk_score,11,0.918699187,不放贷,优化模型未选择,0,0,,,,,0,0.5,0.03,0,0,0,0,,baseline_representative_parameterized_scenario,nominal_equality,True,0.6124762668
E111,***科技有限公司,D,elastic_net_logistic,0.1919246162,selected_model_risk_score,49,0.6097560976,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.5,0.03,0,0,0,0,,baseline_representative_parameterized_scenario,nominal_equality,True,0.3189536769
