enterprise_id,month,in_all_invoice_count,in_valid_invoice_count,in_void_invoice_count,in_positive_invoice_count,in_negative_invoice_count,in_zero_invoice_count,in_valid_positive_invoice_count,in_valid_negative_invoice_count,in_valid_zero_invoice_count,in_positive_amount_10k,in_negative_amount_10k,in_net_amount_10k,in_abs_amount_10k,out_all_invoice_count,out_valid_invoice_count,out_void_invoice_count,out_positive_invoice_count,out_negative_invoice_count,out_zero_invoice_count,out_valid_positive_invoice_count,out_valid_negative_invoice_count,out_valid_zero_invoice_count,out_positive_amount_10k,out_negative_amount_10k,out_net_amount_10k,out_abs_amount_10k,active_month
E1,2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E1,2016-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E1,2016-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E1,2017-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E1,2017-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E1,2017-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E1,2017-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E1,2017-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E1,2017-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
E1,2017-07,4,4,0,2,2,0,2,2,0,0.606705,0.606705,0,1.21341,0,0,0,0,0,0,0,0,0,0,0,0,0,True
E1,2017-08,61,58,3,55,6,0,52,6,0,33884.7417,6000,27884.7417,39884.7417,289,280,9,275,14,0,266,14,0,19286.0547,88.16055,19197.89415,19374.21525,True
E1,2017-09,98,96,2,92,6,0,90,6,0,35677.72434,6000,29677.72434,41677.72434,357,346,11,344,13,0,333,13,0,28479.005,1033.824414,27445.18059,29512.82941,True
E1,2017-10,65,60,5,60,5,0,55,5,0,24947.23208,5000,19947.23208,29947.23208,301,291,10,285,16,0,275,16,0,17759.8583,1469.273826,16290.58447,19229.13213,True
E1,2017-11,83,82,1,76,7,0,75,7,0,37203.35115,7000,30203.35115,44203.35115,302,299,3,301,1,0,298,1,0,23066.2328,24.508524,23041.72428,23090.74132,True
E1,2017-12,92,91,1,89,3,0,88,3,0,22385.49336,3000,19385.49336,25385.49336,198,194,4,196,2,0,192,2,0,9726.7369,61.6507,9665.0862,9788.3876,True
E1,2018-01,58,56,2,56,2,0,54,2,0,15857.91288,2000,13857.91288,17857.91288,204,201,3,191,13,0,188,13,0,11080.1475,971.929398,10108.2181,12052.0769,True
E1,2018-02,60,57,3,59,1,0,56,1,0,18297.39029,4,18293.39029,18301.39029,152,151,1,151,1,0,150,1,0,10451.4715,4.16,10447.3115,10455.6315,True
E1,2018-03,102,102,0,96,6,0,96,6,0,33259.81622,4149.8838,29109.93242,37409.70002,359,355,4,348,11,0,344,11,0,29105.6624,914.742715,28190.91969,30020.40512,True
