model,repeat_id,fold_id,n_train,n_test,n_default_test,pr_auc,brier,log_loss,roc_auc,calibration_error_5bin,balanced_accuracy,f1,threshold_0_5_precision,threshold_0_5_recall,top20_recall,top20_precision,threshold,top_risk_fraction
elastic_net_logistic,1,1,98,25,5,0.9428571429,0.06381967554,0.2386757542,0.98,0.09815875009,0.8,0.75,1,0.6,0.8,0.8,0.5,0.2
elastic_net_logistic,1,2,98,25,6,0.4854497354,0.1624492468,0.5052131411,0.7543859649,0.1650376694,0.6140350877,0.4,0.5,0.3333333333,0.3333333333,0.4,0.5,0.2
elastic_net_logistic,1,3,98,25,6,0.7698412698,0.124824411,0.4230573532,0.7807017544,0.1659730867,0.6666666667,0.5,1,0.3333333333,0.6666666667,0.8,0.5,0.2
elastic_net_logistic,1,4,99,24,5,0.9,0.07201173035,0.2592293133,0.9473684211,0.1532402366,0.8736842105,0.8,0.8,0.8,0.8,0.8,0.5,0.2
elastic_net_logistic,1,5,99,24,5,0.4401449275,0.1636760618,0.5324477057,0.5894736842,0.1273078404,0.5,0,0,0,0.4,0.4,0.5,0.2
elastic_net_logistic,2,1,98,25,5,0.4575974026,0.1403321917,0.457398599,0.67,0.1935409528,0.6,0.3333333333,1,0.2,0.2,0.2,0.5,0.2
elastic_net_logistic,2,2,98,25,6,0.8734126984,0.08682638374,0.3023205967,0.9649122807,0.1272562649,0.8070175439,0.7272727273,0.8,0.6666666667,0.6666666667,0.8,0.5,0.2
elastic_net_logistic,2,3,98,25,6,0.7659090909,0.1126008577,0.353964734,0.9210526316,0.1060426544,0.5570175439,0.25,0.5,0.1666666667,0.6666666667,0.8,0.5,0.2
elastic_net_logistic,2,4,99,24,5,0.8766666667,0.0660350623,0.2480426893,0.9684210526,0.07518163205,0.9736842105,0.9090909091,0.8333333333,1,0.8,0.8,0.5,0.2
elastic_net_logistic,2,5,99,24,5,0.7357142857,0.1160644804,0.3752099277,0.8631578947,0.09382532207,0.6736842105,0.5,0.6666666667,0.4,0.6,0.6,0.5,0.2
elastic_net_logistic,3,1,98,25,5,0.8454545455,0.08311123931,0.3196517925,0.83,0.1538624085,0.875,0.8,0.8,0.8,0.8,0.8,0.5,0.2
elastic_net_logistic,3,2,98,25,6,0.8921568627,0.1079431689,0.3614206935,0.9035087719,0.2263013152,0.75,0.6666666667,1,0.5,0.8333333333,1,0.5,0.2
elastic_net_logistic,3,3,98,25,6,0.7861111111,0.1055262951,0.3577842393,0.8684210526,0.1133280499,0.6403508772,0.4444444444,0.6666666667,0.3333333333,0.6666666667,0.8,0.5,0.2
elastic_net_logistic,3,4,99,24,5,0.9666666667,0.1018965532,0.3197982366,0.9894736842,0.1599617806,0.6,0.3333333333,1,0.2,0.8,0.8,0.5,0.2
elastic_net_logistic,3,5,99,24,5,0.5079365079,0.1509521441,0.4463789752,0.8315789474,0.08719262016,0.6736842105,0.5,0.6666666667,0.4,0.4,0.4,0.5,0.2
elastic_net_logistic,4,1,98,25,5,0.9666666667,0.07668740228,0.2873024064,0.99,0.1417484442,0.8,0.75,1,0.6,0.8,0.8,0.5,0.2
elastic_net_logistic,4,2,98,25,6,0.9107142857,0.09926961698,0.3283267505,0.9649122807,0.1463890486,0.6666666667,0.5,1,0.3333333333,0.6666666667,0.8,0.5,0.2
elastic_net_logistic,4,3,98,25,6,0.7470238095,0.1321728295,0.4219500226,0.8157894737,0.1498289637,0.6666666667,0.5,1,0.3333333333,0.5,0.6,0.5,0.2
elastic_net_logistic,4,4,99,24,5,0.6454901961,0.1365100031,0.4548950916,0.7684210526,0.1045475748,0.6473684211,0.4444444444,0.5,0.4,0.6,0.6,0.5,0.2
elastic_net_logistic,4,5,99,24,5,0.4760606061,0.1511470827,0.4698248728,0.7263157895,0.09193906782,0.6736842105,0.5,0.6666666667,0.4,0.6,0.6,0.5,0.2
elastic_net_logistic,5,1,98,25,5,0.9,0.08714852303,0.2951051837,0.95,0.1286978188,0.7,0.5714285714,1,0.4,0.8,0.8,0.5,0.2
elastic_net_logistic,5,2,98,25,6,0.6127899878,0.148522611,0.5106591195,0.6929824561,0.1646428386,0.6666666667,0.5,1,0.3333333333,0.5,0.6,0.5,0.2
elastic_net_logistic,5,3,98,25,6,0.8734126984,0.08505813294,0.2985947928,0.9649122807,0.09078264225,0.8903508772,0.8333333333,0.8333333333,0.8333333333,0.6666666667,0.8,0.5,0.2
elastic_net_logistic,5,4,99,24,5,0.5626373626,0.1354438581,0.4151863013,0.7789473684,0.1086837719,0.5736842105,0.2857142857,0.5,0.2,0.4,0.4,0.5,0.2
elastic_net_logistic,5,5,99,24,5,0.8766666667,0.1024834168,0.3267272546,0.9684210526,0.1461938426,0.7,0.5714285714,1,0.4,0.8,0.8,0.5,0.2
elastic_net_logistic,6,1,98,25,5,0.7783333333,0.1109547365,0.3605510488,0.93,0.1303933861,0.825,0.6666666667,0.5714285714,0.8,0.6,0.6,0.5,0.2
elastic_net_logistic,6,2,98,25,6,0.880952381,0.09499577479,0.3447471421,0.8684210526,0.2146913094,0.75,0.6666666667,1,0.5,0.8333333333,1,0.5,0.2
elastic_net_logistic,6,3,98,25,6,0.6285353535,0.1420036314,0.4368772896,0.8157894737,0.1185890069,0.5570175439,0.25,0.5,0.1666666667,0.5,0.6,0.5,0.2
elastic_net_logistic,6,4,99,24,5,0.8253968254,0.09767806735,0.3168445987,0.9263157895,0.1238693978,0.6,0.3333333333,1,0.2,0.6,0.6,0.5,0.2
elastic_net_logistic,6,5,99,24,5,0.8769230769,0.08651086524,0.2982693147,0.9157894737,0.1571836768,0.8,0.75,1,0.6,0.8,0.8,0.5,0.2
elastic_net_logistic,7,1,98,25,5,0.5580952381,0.1216743099,0.382687214,0.85,0.08329662924,0.475,0,0,0,0.6,0.6,0.5,0.2
elastic_net_logistic,7,2,98,25,6,0.7520363409,0.1254796975,0.4048236941,0.8333333333,0.1190869786,0.5833333333,0.2857142857,1,0.1666666667,0.5,0.6,0.5,0.2
elastic_net_logistic,7,3,98,25,6,0.9761904762,0.06411180667,0.2552596443,0.9912280702,0.1733730053,0.9736842105,0.9230769231,0.8571428571,1,0.8333333333,1,0.5,0.2
elastic_net_logistic,7,4,99,24,5,0.6833333333,0.1176047643,0.3758419323,0.8526315789,0.08998197443,0.6736842105,0.5,0.6666666667,0.4,0.6,0.6,0.5,0.2
elastic_net_logistic,7,5,99,24,5,0.7014285714,0.1162652099,0.3792376732,0.8315789474,0.1588855839,0.7736842105,0.6666666667,0.75,0.6,0.6,0.6,0.5,0.2
elastic_net_logistic,8,1,98,25,5,0.5461111111,0.1289985575,0.4511933667,0.6,0.09388964547,0.7,0.5714285714,1,0.4,0.4,0.4,0.5,0.2
elastic_net_logistic,8,2,98,25,6,1,0.06223514711,0.236095053,1,0.1471023186,0.9166666667,0.9090909091,1,0.8333333333,0.8333333333,1,0.5,0.2
elastic_net_logistic,8,3,98,25,6,0.876984127,0.08943934249,0.3144512495,0.9210526316,0.0867625636,0.8070175439,0.7272727273,0.8,0.6666666667,0.6666666667,0.8,0.5,0.2
elastic_net_logistic,8,4,99,24,5,0.3726373626,0.167264238,0.4889790362,0.7473684211,0.1467736356,0.6947368421,0.5,0.4285714286,0.6,0.4,0.4,0.5,0.2
elastic_net_logistic,8,5,99,24,5,0.885,0.1131858569,0.3482789497,0.9578947368,0.1591971237,0.5,0,0,0,0.8,0.8,0.5,0.2
elastic_net_logistic,9,1,98,25,5,0.8666666667,0.09649301519,0.3298867536,0.9,0.1567410707,0.7,0.5714285714,1,0.4,0.8,0.8,0.5,0.2
elastic_net_logistic,9,2,98,25,6,0.8026315789,0.1117077962,0.3763669635,0.8421052632,0.1205611486,0.75,0.6666666667,1,0.5,0.6666666667,0.8,0.5,0.2
elastic_net_logistic,9,3,98,25,6,0.9055555556,0.07708854084,0.2770604476,0.9561403509,0.09753520752,0.8903508772,0.8333333333,0.8333333333,0.8333333333,0.6666666667,0.8,0.5,0.2
elastic_net_logistic,9,4,99,24,5,0.47,0.1374351422,0.4391856518,0.7578947368,0.1107689214,0.6473684211,0.4444444444,0.5,0.4,0.6,0.6,0.5,0.2
elastic_net_logistic,9,5,99,24,5,0.4825,0.1497924447,0.4558947787,0.7894736842,0.1177571065,0.5736842105,0.2857142857,0.5,0.2,0.6,0.6,0.5,0.2
elastic_net_logistic,10,1,98,25,5,0.8034782609,0.107320618,0.3850495112,0.81,0.1979239871,0.875,0.8,0.8,0.8,0.8,0.8,0.5,0.2
elastic_net_logistic,10,2,98,25,6,0.9583333333,0.08144456572,0.2813809183,0.9824561404,0.1403304831,0.75,0.6666666667,1,0.5,0.8333333333,1,0.5,0.2
elastic_net_logistic,10,3,98,25,6,0.8310457516,0.1187412274,0.3774296976,0.8859649123,0.1284109628,0.5833333333,0.2857142857,1,0.1666666667,0.6666666667,0.8,0.5,0.2
elastic_net_logistic,10,4,99,24,5,0.8588235294,0.08696313758,0.3204911912,0.8736842105,0.1883099095,0.8,0.75,1,0.6,0.8,0.8,0.5,0.2
elastic_net_logistic,10,5,99,24,5,0.6587301587,0.1289377693,0.3765241499,0.8842105263,0.1351769693,0.6210526316,0.4,0.4,0.4,0.4,0.4,0.5,0.2
hist_gradient_boosting,1,1,98,25,5,0.8509090909,0.07955562774,0.2809113436,0.93,0.1062119858,0.775,0.6666666667,0.75,0.6,0.8,0.8,0.5,0.2
hist_gradient_boosting,1,2,98,25,6,0.5727380952,0.158884106,0.4902064146,0.7456140351,0.1903658529,0.5877192982,0.3636363636,0.4,0.3333333333,0.3333333333,0.4,0.5,0.2
hist_gradient_boosting,1,3,98,25,6,0.8626373626,0.1123607502,0.365188214,0.9210526316,0.1090024246,0.75,0.6666666667,1,0.5,0.6666666667,0.8,0.5,0.2
