feature,feature_label,coefficient_median,coefficient_q25,coefficient_q75,absolute_coefficient_median,nonzero_rate,positive_rate,negative_rate,zero_rate,sign_stability,dominant_sign,fold_count,absolute_coefficient_median_rank
sales_scale_10k,销售规模,-0.8872104019,-1.063942107,-0.7597937778,0.8872104019,1,0,1,0,1,negative,50,1
sales_monthly_cv,销售月度波动CV,0.5774711848,0.4630600205,0.7054112058,0.5774711848,1,1,0,0,1,positive,50,2
operating_net_inflow_proxy_10k,经营净流入代理,-0.1654763302,-0.2503442202,-0.09045804011,0.1654763302,0.94,0,0.94,0.06,0.94,negative,50,3
customer_hhi,客户HHI,0.1371883454,0.0009822046263,0.2206475905,0.1371883454,0.74,0.74,0,0.26,0.74,positive,50,4
void_invoice_rate,作废发票率,0.1071364984,0.06696048415,0.1560890817,0.1071364984,0.98,0.98,0,0.02,0.98,positive,50,5
purchase_sales_ratio,进销比,0.07046185513,0,0.1425986114,0.07046185513,0.62,0.62,0,0.38,0.62,positive,50,6
supplier_hhi,供应商HHI,-0.05080209891,-0.1607606197,0,0.05080209891,0.54,0,0.54,0.46,0.54,negative,50,7
purchase_return_rate,采购退货率,0.003126066691,0,0.01515747516,0.008960749834,0.68,0.54,0.14,0.32,0.54,positive,50,8
active_month_ratio,活跃月份比例,0,-0.05547650077,0,0,0.42,0,0.42,0.58,0.42,zero,50,9
customer_count,客户数量,0,0,0,0,0.14,0,0.14,0.86,0.14,zero,50,9
invoice_activity_per_month,月均发票活跃度,0,0,0,0,0,0,0,1,0,zero,50,9
purchase_scale_10k,采购规模,0,0,0,0,0,0,0,1,0,zero,50,9
sales_growth_trend,销售增长趋势,0,0,0,0,0,0,0,1,0,zero,50,9
sales_return_rate,销售退货率,0,0,0,0,0.32,0.2,0.12,0.68,0.2,zero,50,9
supplier_count,供应商数量,0,0,0,0,0,0,0,1,0,zero,50,9
