model,repeat_id,fold_id,feature,coefficient_standardized,nonzero,sign,converged,n_iter,max_iter_used,convergence_warning
elastic_net_logistic,1,1,active_month_ratio,-0.0039633365,True,negative,True,476,5000,False
elastic_net_logistic,1,1,customer_count,0,False,zero,True,476,5000,False
elastic_net_logistic,1,1,customer_hhi,0,False,zero,True,476,5000,False
elastic_net_logistic,1,1,invoice_activity_per_month,0,False,zero,True,476,5000,False
elastic_net_logistic,1,1,operating_net_inflow_proxy_10k,-0.1893120476,True,negative,True,476,5000,False
elastic_net_logistic,1,1,purchase_return_rate,0.01090681108,True,positive,True,476,5000,False
elastic_net_logistic,1,1,purchase_sales_ratio,0,False,zero,True,476,5000,False
elastic_net_logistic,1,1,purchase_scale_10k,0,False,zero,True,476,5000,False
elastic_net_logistic,1,1,sales_growth_trend,0,False,zero,True,476,5000,False
elastic_net_logistic,1,1,sales_monthly_cv,0.628762714,True,positive,True,476,5000,False
elastic_net_logistic,1,1,sales_return_rate,0,False,zero,True,476,5000,False
elastic_net_logistic,1,1,sales_scale_10k,-0.8618870562,True,negative,True,476,5000,False
elastic_net_logistic,1,1,supplier_count,0,False,zero,True,476,5000,False
elastic_net_logistic,1,1,supplier_hhi,-0.2240766831,True,negative,True,476,5000,False
elastic_net_logistic,1,1,void_invoice_rate,0.08832923277,True,positive,True,476,5000,False
elastic_net_logistic,1,2,active_month_ratio,-0.1413946088,True,negative,True,382,5000,False
elastic_net_logistic,1,2,customer_count,0,False,zero,True,382,5000,False
elastic_net_logistic,1,2,customer_hhi,0.101630066,True,positive,True,382,5000,False
elastic_net_logistic,1,2,invoice_activity_per_month,0,False,zero,True,382,5000,False
elastic_net_logistic,1,2,operating_net_inflow_proxy_10k,-0.2550465311,True,negative,True,382,5000,False
elastic_net_logistic,1,2,purchase_return_rate,0.01478910865,True,positive,True,382,5000,False
elastic_net_logistic,1,2,purchase_sales_ratio,0,False,zero,True,382,5000,False
elastic_net_logistic,1,2,purchase_scale_10k,0,False,zero,True,382,5000,False
elastic_net_logistic,1,2,sales_growth_trend,0,False,zero,True,382,5000,False
elastic_net_logistic,1,2,sales_monthly_cv,1.000390462,True,positive,True,382,5000,False
elastic_net_logistic,1,2,sales_return_rate,0,False,zero,True,382,5000,False
elastic_net_logistic,1,2,sales_scale_10k,-0.7713263102,True,negative,True,382,5000,False
elastic_net_logistic,1,2,supplier_count,0,False,zero,True,382,5000,False
elastic_net_logistic,1,2,supplier_hhi,0,False,zero,True,382,5000,False
elastic_net_logistic,1,2,void_invoice_rate,0.01210631418,True,positive,True,382,5000,False
elastic_net_logistic,1,3,active_month_ratio,0,False,zero,True,454,5000,False
elastic_net_logistic,1,3,customer_count,0,False,zero,True,454,5000,False
elastic_net_logistic,1,3,customer_hhi,0.265790778,True,positive,True,454,5000,False
elastic_net_logistic,1,3,invoice_activity_per_month,0,False,zero,True,454,5000,False
elastic_net_logistic,1,3,operating_net_inflow_proxy_10k,-0.06613917172,True,negative,True,454,5000,False
elastic_net_logistic,1,3,purchase_return_rate,0.01870172394,True,positive,True,454,5000,False
elastic_net_logistic,1,3,purchase_sales_ratio,0.1745253358,True,positive,True,454,5000,False
elastic_net_logistic,1,3,purchase_scale_10k,0,False,zero,True,454,5000,False
elastic_net_logistic,1,3,sales_growth_trend,0,False,zero,True,454,5000,False
elastic_net_logistic,1,3,sales_monthly_cv,0.2306511312,True,positive,True,454,5000,False
elastic_net_logistic,1,3,sales_return_rate,0,False,zero,True,454,5000,False
elastic_net_logistic,1,3,sales_scale_10k,-1.22601787,True,negative,True,454,5000,False
elastic_net_logistic,1,3,supplier_count,0,False,zero,True,454,5000,False
elastic_net_logistic,1,3,supplier_hhi,-0.2998607751,True,negative,True,454,5000,False
elastic_net_logistic,1,3,void_invoice_rate,0.2303634694,True,positive,True,454,5000,False
elastic_net_logistic,1,4,active_month_ratio,0,False,zero,True,246,5000,False
elastic_net_logistic,1,4,customer_count,0,False,zero,True,246,5000,False
elastic_net_logistic,1,4,customer_hhi,0.07680555744,True,positive,True,246,5000,False
elastic_net_logistic,1,4,invoice_activity_per_month,0,False,zero,True,246,5000,False
elastic_net_logistic,1,4,operating_net_inflow_proxy_10k,-0.1286535333,True,negative,True,246,5000,False
elastic_net_logistic,1,4,purchase_return_rate,0.008759356282,True,positive,True,246,5000,False
elastic_net_logistic,1,4,purchase_sales_ratio,0,False,zero,True,246,5000,False
elastic_net_logistic,1,4,purchase_scale_10k,0,False,zero,True,246,5000,False
elastic_net_logistic,1,4,sales_growth_trend,0,False,zero,True,246,5000,False
elastic_net_logistic,1,4,sales_monthly_cv,0.5543555428,True,positive,True,246,5000,False
elastic_net_logistic,1,4,sales_return_rate,0,False,zero,True,246,5000,False
elastic_net_logistic,1,4,sales_scale_10k,-1.048934633,True,negative,True,246,5000,False
elastic_net_logistic,1,4,supplier_count,0,False,zero,True,246,5000,False
elastic_net_logistic,1,4,supplier_hhi,-0.02681260323,True,negative,True,246,5000,False
elastic_net_logistic,1,4,void_invoice_rate,0.04710738893,True,positive,True,246,5000,False
elastic_net_logistic,1,5,active_month_ratio,-0.04667398415,True,negative,True,220,5000,False
elastic_net_logistic,1,5,customer_count,0,False,zero,True,220,5000,False
elastic_net_logistic,1,5,customer_hhi,0.2732565936,True,positive,True,220,5000,False
elastic_net_logistic,1,5,invoice_activity_per_month,0,False,zero,True,220,5000,False
elastic_net_logistic,1,5,operating_net_inflow_proxy_10k,-0.176132232,True,negative,True,220,5000,False
elastic_net_logistic,1,5,purchase_return_rate,-0.1779189131,True,negative,True,220,5000,False
elastic_net_logistic,1,5,purchase_sales_ratio,0.2103461859,True,positive,True,220,5000,False
elastic_net_logistic,1,5,purchase_scale_10k,0,False,zero,True,220,5000,False
elastic_net_logistic,1,5,sales_growth_trend,0,False,zero,True,220,5000,False
elastic_net_logistic,1,5,sales_monthly_cv,0.4942587803,True,positive,True,220,5000,False
elastic_net_logistic,1,5,sales_return_rate,-0.07015732167,True,negative,True,220,5000,False
elastic_net_logistic,1,5,sales_scale_10k,-0.4917172536,True,negative,True,220,5000,False
elastic_net_logistic,1,5,supplier_count,0,False,zero,True,220,5000,False
elastic_net_logistic,1,5,supplier_hhi,0,False,zero,True,220,5000,False
elastic_net_logistic,1,5,void_invoice_rate,0.1973124491,True,positive,True,220,5000,False
elastic_net_logistic,2,1,active_month_ratio,0,False,zero,True,459,5000,False
elastic_net_logistic,2,1,customer_count,0,False,zero,True,459,5000,False
elastic_net_logistic,2,1,customer_hhi,0,False,zero,True,459,5000,False
elastic_net_logistic,2,1,invoice_activity_per_month,0,False,zero,True,459,5000,False
elastic_net_logistic,2,1,operating_net_inflow_proxy_10k,-0.2909021998,True,negative,True,459,5000,False
elastic_net_logistic,2,1,purchase_return_rate,0.01688352971,True,positive,True,459,5000,False
elastic_net_logistic,2,1,purchase_sales_ratio,0,False,zero,True,459,5000,False
elastic_net_logistic,2,1,purchase_scale_10k,0,False,zero,True,459,5000,False
elastic_net_logistic,2,1,sales_growth_trend,0,False,zero,True,459,5000,False
elastic_net_logistic,2,1,sales_monthly_cv,0.7068692218,True,positive,True,459,5000,False
elastic_net_logistic,2,1,sales_return_rate,0,False,zero,True,459,5000,False
elastic_net_logistic,2,1,sales_scale_10k,-1.016970232,True,negative,True,459,5000,False
elastic_net_logistic,2,1,supplier_count,0,False,zero,True,459,5000,False
elastic_net_logistic,2,1,supplier_hhi,0,False,zero,True,459,5000,False
elastic_net_logistic,2,1,void_invoice_rate,0.1633629492,True,positive,True,459,5000,False
elastic_net_logistic,2,2,active_month_ratio,-0.02632167018,True,negative,True,322,5000,False
elastic_net_logistic,2,2,customer_count,0,False,zero,True,322,5000,False
elastic_net_logistic,2,2,customer_hhi,0.1664517556,True,positive,True,322,5000,False
elastic_net_logistic,2,2,invoice_activity_per_month,0,False,zero,True,322,5000,False
elastic_net_logistic,2,2,operating_net_inflow_proxy_10k,-0.291514851,True,negative,True,322,5000,False
elastic_net_logistic,2,2,purchase_return_rate,0.005009358035,True,positive,True,322,5000,False
elastic_net_logistic,2,2,purchase_sales_ratio,0,False,zero,True,322,5000,False
elastic_net_logistic,2,2,purchase_scale_10k,0,False,zero,True,322,5000,False
elastic_net_logistic,2,2,sales_growth_trend,0,False,zero,True,322,5000,False
elastic_net_logistic,2,2,sales_monthly_cv,0.5768064146,True,positive,True,322,5000,False
elastic_net_logistic,2,2,sales_return_rate,0,False,zero,True,322,5000,False
