firm,in_lines,in_unique_invoices,in_active_days,in_total_net,in_total_abs,in_mean_abs,in_median_abs,in_negative_lines,in_zero_lines,in_valid_lines,in_valid_total_net,in_valid_total_abs,in_valid_mean_abs,in_valid_median_abs,in_valid_negative_lines,in_valid_zero_lines,in_valid_active_months,in_valid_counterparties,in_void_lines,in_duplicate_lines,in_void_rate,in_duplicate_rate,in_negative_rate,in_zero_rate,in_valid_negative_rate,in_valid_zero_rate,in_valid_rate,in_date_span_days,in_monthly_abs_mean,in_monthly_abs_std,in_monthly_net_std,in_monthly_count,in_monthly_abs_cv,in_monthly_abs_trend,in_recent_to_initial_abs,in_top_counterparty_share,in_counterparty_hhi,out_lines,out_unique_invoices,out_active_days,out_total_net,out_total_abs,out_mean_abs,out_median_abs,out_negative_lines,out_zero_lines,out_valid_lines,out_valid_total_net,out_valid_total_abs,out_valid_mean_abs,out_valid_median_abs,out_valid_negative_lines,out_valid_zero_lines,out_valid_active_months,out_valid_counterparties,out_void_lines,out_duplicate_lines,out_void_rate,out_duplicate_rate,out_negative_rate,out_zero_rate,out_valid_negative_rate,out_valid_zero_rate,out_valid_rate,out_date_span_days,out_monthly_abs_mean,out_monthly_abs_std,out_monthly_net_std,out_monthly_count,out_monthly_abs_cv,out_monthly_abs_trend,out_recent_to_initial_abs,out_top_counterparty_share,out_counterparty_hhi,cross_out_to_in_abs,cross_out_to_in_count,cross_out_minus_in_net,cross_out_minus_in_void_rate,cross_out_minus_in_negative_rate
E1,3441,3441,753,6892693842.0,8040849454.1,2336776.941034583,1519.0,71,0,3249,6637942028.29,7786097640.39,2396459.723111727,1000.0,71,0,32,436,192,0,0.05579773321708806,0.0,0.02063353676256902,0.0,0.02185287780855648,0.0,0.944202266782912,941,243315551.2621875,123649807.51321632,103864139.81758001,32,0.5081870306759637,-0.020489824007360814,0.44016623051892817,0.9955206743736322,0.9910738843568303,8110,8110,321,4798811944.64,5099358026.16,628774.1092675709,643950.87,229,0,7886,4698633440.6,4999150122.12,633927.2282678164,654134.0,228,0,30,352,224,0,0.027620221948212082,0.0,0.028236744759556103,0.0,0.028911995942176007,0.0,0.9723797780517879,900,166638337.40399998,74959951.77552499,74126445.49236299,30,0.44983617181555996,-0.01727279199324871,0.5026826110273827,0.1823356465325447,0.07250266818859435,0.6420610622948206,2.4272083718067097,-1939308587.6899996,-0.028177511268875976,0.007059118133619528
E10,4097,4097,856,6478610.55,6831920.27,1667.5421698804003,393.0,34,0,3860,5417961.64,5771271.36,1495.1480207253887,380.0,34,0,35,881,237,0,0.05784720527215036,0.0,0.008298755186721992,0.0,0.008808290155440414,0.0,0.9421527947278496,1058,164893.46742857143,108752.6805019154,103342.984761317,35,0.6595329833125433,0.042782973729447386,9.196809153713298,0.07976257418608021,0.018854265468786713,568,568,195,380698550.89,382843308.97,674019.9101584507,827203.91,2,2,516,351461531.5,353606289.58,685283.5069379845,881816.4550000001,2,0,35,26,52,0,0.09154929577464789,0.0,0.0035211267605633804,0.0035211267605633804,0.003875968992248062,0.0,0.9084507042253521,1116,10103036.845142856,18159269.327205796,18176986.00493514,35,1.7974070178647383,-0.029451614920609482,0.12214404294232817,0.18974805527269945,0.10774589471101241,61.27008548424934,0.13367875647668392,346043569.86,0.033702090502497534,-0.004932321163192352
E100,58,58,54,23323.02,23323.02,402.1210344827586,217.5,0,0,58,23323.02,23323.02,402.1210344827586,217.5,0,0,27,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,986,863.8155555555555,1180.3350424262965,1180.3350424262965,27,1.3664202211167338,0.04793587368442599,1.8823529411764708,0.2389055962735529,0.12134763507256721,99,99,60,711489.21,968353.41,9781.347575757576,8160.0,15,0,98,691489.21,948353.41,9677.075612244898,7670.014999999999,15,0,29,13,1,0,0.010101010101010102,0.0,0.15151515151515152,0.0,0.15306122448979592,0.0,0.98989898989899,1110,32701.841724137932,60710.26120745175,44956.055028011564,29,1.8564783512679106,-0.032631796892197404,0.5599136281637784,0.25285169797617957,0.17043580339290926,40.661690038425554,1.6896551724137931,668166.19,0.010101010101010102,0.15306122448979592
E101,16,16,15,53158.0,53158.0,3322.375,244.5,0,0,16,53158.0,53158.0,3322.375,244.5,0,0,12,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,452,4429.833333333333,11835.933291413394,11835.933291413394,12,2.6718687591136,-0.12888928295828467,1.5059171597633134,0.7612212649083864,0.6109382119490051,63,63,5,725965.41,725965.41,11523.260476190477,11331.32,0,0,32,392378.0,392378.0,12261.8125,11074.0,0,0,4,2,31,0,0.49206349206349204,0.0,0.0,0.0,0.0,0.0,0.5079365079365079,370,98094.5,63015.75615404981,63015.75615404981,4,0.6423984642773022,-0.4842085947734074,0.5990636438441677,0.7451437134599799,0.6201908804978975,7.3813537002897025,2.0,339220.0,0.49206349206349204,0.0
E102,730,730,401,3708883.84,3753050.72,5141.165369863014,1028.0,7,0,710,3658317.08,3702483.96,5214.76614084507,1012.0,7,0,38,70,20,0,0.0273972602739726,0.0,0.009589041095890411,0.0,0.009859154929577466,0.0,0.9726027397260274,1141,97433.78842105262,40738.81626630106,39819.62303969049,38,0.4181179540125382,-0.0033851324691326103,0.9799428876128369,0.30715414902162064,0.1581436596137278,177,177,46,465011.01,527908.21,2982.5322598870052,974.2,3,20,151,438885.1,501782.3,3323.0615894039734,1107.7,3,0,22,100,26,0,0.14689265536723164,0.0,0.01694915254237288,0.11299435028248588,0.019867549668874173,0.0,0.8531073446327684,1139,22808.28636363636,20785.843888924923,18775.146952671537,22,0.9113286091525117,-0.05328414284751135,0.3283475923486932,0.5451950776262933,0.31606172060998833,0.1355258538378651,0.21267605633802816,-3219431.98,0.11949539509325904,0.010008394739296708
E103,172,172,127,769561.21,769561.21,4474.193081395349,300.0,0,0,169,738265.61,738265.61,4368.4355621301775,300.0,0,0,28,65,3,0,0.01744186046511628,0.0,0.0,0.0,0.0,0.0,0.9825581395348837,920,26366.628928571427,57890.39984985756,57890.39984985756,28,2.1955935287247255,0.09906269786172762,18.014128228560434,0.2760950764048186,0.11906687244407928,64,64,32,2085269.74,2114020.04,33031.563125,17420.035,2,0,54,1822451.77,1851202.07,34281.51981481482,16221.185,2,0,16,19,10,0,0.15625,0.0,0.03125,0.0,0.037037037037037035,0.0,0.84375,672,115700.129375,236695.09252520153,237501.30132069805,16,2.045763421387717,0.1072881357888842,2.230562564102564,0.4477882903404489,0.2672570027351948,2.5075014262143407,0.31952662721893493,1084186.1600000001,0.13880813953488372,0.037037037037037035
E104,1,1,1,280.0,280.0,280.0,280.0,0,0,1,280.0,280.0,280.0,280.0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,280.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0,21,21,13,290530.0,410930.0,19568.095238095237,10000.0,1,0,19,270530.0,390930.0,20575.263157894737,10000.0,1,0,10,10,2,0,0.09523809523809523,0.0,0.047619047619047616,0.0,0.05263157894736842,0.0,0.9047619047619048,431,39093.0,34349.11677661208,21308.77443162271,10,0.8786513385161557,0.16070613277274312,2.930572472594397,0.4619752896938071,0.27192333024164617,1396.1785714285713,19.0,270250.0,0.09523809523809523,0.05263157894736842
E105,6,6,6,8480.0,8480.0,1413.3333333333333,600.0,0,0,6,8480.0,8480.0,1413.3333333333333,600.0,0,0,5,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,561,1696.0,1810.1049693318894,1810.1049693318894,5,1.0672788734268215,-0.5966981132075473,0.15263157894736842,0.7924528301886793,0.6423549305802777,122,122,30,962958.89,1017001.47,8336.07762295082,9838.1,4,0,121,952563.89,1006606.47,8319.06173553719,9826.2,4,0,23,101,1,0,0.00819672131147541,0.0,0.03278688524590164,0.0,0.03305785123966942,0.0,0.9918032786885246,886,43765.498695652175,31439.80441250612,30179.706958159564,23,0.7183696141826316,-0.05037754950326049,0.5316261388042987,0.12551926076930542,0.026427401031680797,118.70359316037735,20.166666666666668,944083.89,0.00819672131147541,0.03305785123966942
E106,36,36,31,61461.1,61461.1,1707.2527777777777,285.0,0,0,35,52461.1,52461.1,1498.8885714285714,280.0,0,0,18,19,1,0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,910,2914.5055555555555,4996.05179581216,4996.05179581216,18,1.7142021864699535,-0.0618248804998388,0.24318840579710144,0.5114265617762495,0.32406440910348433,153,153,71,659197.86,704397.86,4603.907581699346,3600.0,4,0,138,603677.86,648877.86,4702.013478260869,3600.0,4,0,31,103,15,0,0.09803921568627451,0.0,0.026143790849673203,0.0,0.028985507246376812,0.0,0.9019607843137255,974,20931.54387096774,18984.02548889455,16781.75970381373,31,0.9069577287715304,0.03451274173540149,3.4649610678531704,0.2034281151155319,0.056625397487288676,12.36874293524154,3.942857142857143,551216.76,0.07026143790849673,0.028985507246376812
E107,9,9,9,110910.0,110910.0,12323.333333333334,280.0,0,0,9,110910.0,110910.0,12323.333333333334,280.0,0,0,7,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,865,15844.285714285714,26032.281169823782,26032.281169823782,7,1.643007557377752,-0.031780272292850076,1.10840108401084,0.8060409340907042,0.6822643917056007,54,54,14,939500.0,939500.0,17398.14814814815,10000.0,0,8,34,834000.0,834000.0,24529.41176470588,10000.0,0,0,10,3,20,0,0.37037037037037035,0.0,0.0,0.14814814814814814,0.0,0.0,0.6296296296296297,679,83400.0,181912.34152745106,181912.34152745106,10,2.181203135820756,0.30248528449967294,9.862068965517242,0.7194244604316546,0.5662750375239377,7.519610494995943,3.7777777777777777,723090.0,0.37037037037037035,0.0
