firm,y_true,rating,p_a,p_b,n_oof
E1,0,A,0.08323361134326865,0.18998560462184294,10
E106,0,B,0.34075787680975694,0.6009011423866685,10
E113,1,D,0.891379790294246,0.7001964629008033,10
E117,1,D,0.6905861453515582,0.7107813327798382,10
E120,1,D,0.985871851357567,0.719440013586153,10
E121,1,D,0.48901545167938804,0.47495622038613466,10
E16,0,A,0.22114712636110814,0.05386670776975764,10
E18,0,A,0.1401065886813936,0.061623460031435484,10
E19,0,A,0.1392359925793157,0.07994660765908855,10
E21,0,B,0.13141265955967962,0.06407630143621508,10
E22,0,A,0.06936875277888198,0.05025963201336563,10
E27,0,A,0.1786742417735552,0.0791190472179494,10
E30,0,B,0.16123729406571097,0.10668871004855876,10
E31,0,A,0.16477928123163116,0.05163405056062102,10
E32,0,B,0.26604616194557623,0.09944055381429473,10
E48,0,A,0.11031104349734695,0.04718950607603487,10
E54,0,A,0.16368467312689702,0.04879997353535787,10
E61,0,B,0.14579643189701902,0.06219754710800757,10
E62,0,B,0.29296407616393627,0.08550315297913177,10
E64,0,A,0.17429914909543945,0.050606619915146145,10
E76,0,B,0.3211180001482808,0.05930304020426321,10
E79,0,B,0.43710542104722805,0.2494630769563222,10
E8,0,A,0.06490442068217972,0.048218213015173074,10
E82,1,D,0.3640252704008581,0.1102925041147784,10
E98,0,B,0.3532542790672294,0.2218251110893196,10
E102,1,D,0.604617814399022,0.44361054460036725,10
E104,0,C,0.41512995138793884,0.7329105002595806,10
E109,1,D,0.37495854094722764,0.6082855970470978,10
E112,1,D,0.5771997698380844,0.5132035429544504,10
E114,1,D,0.6130206913891061,0.5807706514828478,10
E14,0,C,0.09277097800461773,0.05707644964092843,10
E20,0,B,0.08694193396560734,0.06451139994616817,10
E3,0,C,0.06541008231896693,0.05530225124174082,10
E36,1,D,0.1471599443242343,0.040444695924396694,10
E40,0,C,0.14370189605139363,0.046336677634181034,10
E42,0,A,0.20328977954578525,0.10019335430749425,10
E43,0,B,0.26418303186368497,0.24695782703644062,10
E44,0,C,0.12823216039176483,0.05970788435630352,10
E47,0,C,0.1850788152510968,0.055953403007620674,10
E53,0,C,0.16801290448988598,0.06054116653084148,10
E56,0,C,0.21133174155441964,0.06959541756994315,10
E67,0,B,0.2392113652081532,0.059624418642402255,10
E75,0,C,0.15684712487391694,0.06663251096873075,10
