firm,y_true,rating,p_a,p_b,n_oof
E1,0,A,0.08744427136653064,0.0947462676805241,10
E106,0,B,0.2786987141437609,0.06337789138828431,10
E113,1,D,0.8850078118396963,0.8148547996057951,10
E117,1,D,0.7083965886210372,0.8143989927778064,10
E120,1,D,0.9807584975570925,0.8136591497910285,10
E121,1,D,0.5451233941673943,0.8129482865686217,10
E16,0,A,0.20396806972113332,0.0412857538813182,10
E18,0,A,0.14084647369813402,0.044970063042705205,10
E19,0,A,0.12780679246757995,0.038902211691827296,10
E21,0,B,0.11745843047389529,0.06144545191963208,10
E22,0,A,0.08472312703017507,0.0390110324819056,10
E27,0,A,0.16920708718606103,0.05478437106201659,10
E30,0,B,0.12934095834980058,0.06370291650880297,10
E31,0,A,0.1528667975151238,0.05429307754829389,10
E32,0,B,0.23417546828057006,0.04396939300483456,10
E48,0,A,0.11502602385004748,0.04869755706578621,10
E54,0,A,0.15838263595190188,0.039234325008525875,10
E61,0,B,0.11449399752586578,0.05826171716613434,10
E62,0,B,0.24712112571816008,0.03930204136319483,10
E64,0,A,0.1638267973121731,0.04609427638022081,10
E76,0,B,0.266069034198861,0.04070776022066265,10
E79,0,B,0.3755370557567862,0.059507069363562023,10
E8,0,A,0.06299824309955797,0.04004509783465314,10
E82,1,D,0.3954533936136303,0.8123285934341808,10
E98,0,B,0.3043359696263981,0.06505257636608258,10
E102,1,D,0.6234366397729513,0.8140778373430357,10
E104,0,C,0.39408427658553424,0.11995213184339826,10
E109,1,D,0.44522379901184006,0.815528960283404,10
E112,1,D,0.6253810321231726,0.8156443019278244,10
E114,1,D,0.6347592063110004,0.8099981936454839,10
E14,0,C,0.08898847510800997,0.03903379868121444,10
E20,0,B,0.0801004129792646,0.060199670584392684,10
E3,0,C,0.06203747260903412,0.05058301585313796,10
E36,1,D,0.16815367021789018,0.812637009640255,10
E40,0,C,0.1406865478572186,0.0387365569697951,10
E42,0,A,0.19929808262933,0.08518542734988985,10
E43,0,B,0.2319945070802545,0.09949757567379225,10
E44,0,C,0.11647470631360221,0.04228859352845635,10
E47,0,C,0.1702095278304486,0.05204811090859378,10
E53,0,C,0.15551089952439134,0.04275445920234707,10
E56,0,C,0.18643619790509827,0.039617559843099955,10
E67,0,B,0.20017164572342389,0.039132926137645255,10
E75,0,C,0.13784438848521646,0.03939787538691901,10
E83,0,B,0.31409393367872107,0.04091447186843412,10
E87,1,C,0.31382358320989384,0.06797449715389421,10
E88,0,A,0.24604968559384507,0.04065036159368971,10
E91,0,A,0.2997478013046541,0.06470333136177515,10
E92,0,C,0.4110923073630567,0.10170852605337258,10
E93,0,B,0.36220672558998607,0.0879227687594581,10
E96,0,C,0.5689039653394705,0.1507833156516903,10
E10,0,B,0.13636479719639855,0.04641969097170802,10
E103,1,D,0.4895192414731165,0.8144925540403978,10
E11,0,C,0.14402567594202748,0.11668560533356717,10
E115,1,D,0.7598469521320017,0.8107223892128278,10
E118,1,D,0.537221322741879,0.8187114165965663,10
E12,0,B,0.18288146496679092,0.08832334479867063,10
E13,0,A,0.10877621758368199,0.04265490157104794,10
E28,0,B,0.13215181795166211,0.05186306933947048,10
E29,1,C,0.1613268690219965,0.10057659464219171,10
E39,0,C,0.26946573857094286,0.07275949627637038,10
E4,0,C,0.11075599165019938,0.04723103304934713,10
E45,1,B,0.115917344019754,0.03966681555821114,10
E5,0,B,0.08008512025488823,0.052307937239807756,10
E57,0,B,0.12867985135221313,0.04442831691773359,10
E59,0,A,0.11717557776352819,0.05184732814389117,10
E60,0,B,0.27316619117205626,0.0865559656368293,10
E63,0,B,0.1712875687596728,0.06151654863933568,10
E70,0,B,0.2824735158417357,0.04119385564785276,10
E71,0,B,0.21041735950987567,0.10507575694664054,10
E73,0,C,0.2657699935805756,0.07260778437669158,10
E84,0,A,0.2194098356655081,0.038991304953918976,10
E85,0,B,0.2999528821690306,0.04481704554226497,10
E95,0,B,0.20552316886280986,0.06223559568079171,10
E97,0,B,0.2345096450309863,0.147085999367953,10
E99,1,D,0.6816419455210319,0.8135791916751481,10
E101,1,D,0.8530727095345622,0.8148463028166256,10
E107,1,D,0.46961894044121444,0.811058672116728,10
E110,0,C,0.5416621861242663,0.14464273897624516,10
E119,1,D,0.7830028783662116,0.8139117070516946,10
E123,1,D,0.8517522262310939,0.8145728574348867,10
E15,0,A,0.07631171249325033,0.05173458274550953,10
E17,0,A,0.1337398354022204,0.0420546311049475,10
E23,0,B,0.09288028506401083,0.0531667161851209,10
E37,0,B,0.12437234184310615,0.03930050296733992,10
E41,0,C,0.12837290570441334,0.04286118417103986,10
E46,0,C,0.1467262270561732,0.04131346551688507,10
E51,0,B,0.10129081560928718,0.0388845229353907,10
E52,1,D,0.2527788498146849,0.8132433551100556,10
E55,0,C,0.2763559815567317,0.03903766815428777,10
E58,0,B,0.19139734682630719,0.0552200436467612,10
E6,0,A,0.1117023520581594,0.04218239477416289,10
E65,0,B,0.2743997244173362,0.04332146177734572,10
E69,0,C,0.06695898011216775,0.08589710508649766,10
E7,0,A,0.06678123057214076,0.0604021397642017,10
E72,0,C,0.5640343611004373,0.05800688624525409,10
E80,0,C,0.42777601855100017,0.1603620613557885,10
E81,0,A,0.24723992595412508,0.046214784776496334,10
E9,0,A,0.12035024708336853,0.05786090584481947,10
E94,0,C,0.2679339029888022,0.0683916785402241,10
E100,1,D,0.39287335349439767,0.8154563072826386,10
E105,0,C,0.3332744654325698,0.13119767520147013,10
E108,1,D,0.7751364055813555,0.8185837244824246,10
E111,1,D,0.38147190112045604,0.8181766640075022,10
E116,1,D,0.5551205481358533,0.8143001424242658,10
E122,1,D,0.5989072812148645,0.8138724881453889,10
E2,0,A,0.06941785578273725,0.041117306875527684,10
E24,0,A,0.1297358251028934,0.03926860959415638,10
E25,0,C,0.16088328241243346,0.03918057966253598,10
E26,0,A,0.23063362585774577,0.03893342520035668,10
E33,0,B,0.16439486219171495,0.03935753655373394,10
E34,0,B,0.17543313654270104,0.04314064373004295,10
E35,0,B,0.1332599544020397,0.05654677708233576,10
E38,0,B,0.15239441101778808,0.046208359591284956,10
E49,0,C,0.22949907537057096,0.039257824152318044,10
E50,0,C,0.2715905600779759,0.09163655501886478,10
E66,0,B,0.26946278155234826,0.06804639446091734,10
E68,0,C,0.4333262241069634,0.13807866916047906,10
E74,0,B,0.17000969193391308,0.06341462134432815,10
E77,0,C,0.2717148632123902,0.1618364598763468,10
E78,0,C,0.22731417880919422,0.08469996250846694,10
E86,0,C,0.3034076350929983,0.10428199882267519,10
E89,0,A,0.423158904628674,0.0972027059061946,10
E90,0,C,0.4170069978087431,0.04022571179619604,10
