split_id,n_train,n_test,n_default_test,test_default_rate,feature_set,tree_backend,best_params,A_elastic_net_logistic__roc_auc,A_elastic_net_logistic__pr_auc,A_elastic_net_logistic__brier,A_elastic_net_logistic__log_loss,A_elastic_net_logistic__ece_5bin,A_elastic_net_logistic__balanced_accuracy_05,A_elastic_net_logistic__f1_05,A_elastic_net_logistic__precision_top20,A_elastic_net_logistic__recall_top20,B_gradient_boosting__roc_auc,B_gradient_boosting__pr_auc,B_gradient_boosting__brier,B_gradient_boosting__log_loss,B_gradient_boosting__ece_5bin,B_gradient_boosting__balanced_accuracy_05,B_gradient_boosting__f1_05,B_gradient_boosting__precision_top20,B_gradient_boosting__recall_top20
1,98,25,5,0.2,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.97,0.925,0.05778532169993973,0.22866208122595538,0.12531690905300874,0.9,0.8888888888888888,0.8,0.8,0.92,0.76,0.08013229815579274,0.27446336317640185,0.05200385080416739,0.875,0.8,0.8,0.8
2,98,25,6,0.24,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.8859649122807017,0.8859649122807017,0.13865102685535147,0.4477650064047357,0.15555338093915205,0.8640350877192983,0.7692307692307693,1.0,0.8333333333333334,0.7587719298245614,0.54,0.13744389828837417,0.4434696496491014,0.06870636509038784,0.7807017543859649,0.6666666666666666,0.6,0.5
3,98,25,6,0.24,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.7807017543859649,0.76875,0.12124920185586018,0.4118456346460666,0.08410026293627279,0.6666666666666666,0.5,0.8,0.6666666666666666,0.8026315789473685,0.7783882783882784,0.1247118770153524,0.41559477351183494,0.07551185273638208,0.6666666666666666,0.5,0.8,0.6666666666666666
4,99,24,5,0.20833333333333334,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.8947368421052633,0.8314285714285714,0.10804768234382751,0.36514139517513405,0.12763511338298278,0.7736842105263158,0.6666666666666666,0.8,0.8,0.9052631578947368,0.6433333333333333,0.08599400800136003,0.2957535555476825,0.05452145696728434,0.7736842105263158,0.6666666666666666,0.8,0.8
5,99,24,5,0.20833333333333334,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.6842105263157894,0.5359477124183006,0.15736183492911104,0.48928481519996697,0.1357206773890192,0.6736842105263158,0.5,0.4,0.4,0.9157894736842105,0.6961904761904761,0.09218524069772566,0.31427277791096914,0.15842056737657456,0.7473684210526316,0.6,0.6,0.6
6,98,25,5,0.2,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.65,0.5675133689839572,0.16073275709036458,0.4974334179870248,0.1464130882662791,0.675,0.5,0.4,0.4,0.515,0.3044444444444445,0.16800598973722608,0.5662979421873524,0.10723619557484887,0.575,0.2857142857142857,0.4,0.4
7,98,25,6,0.24,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.9736842105263157,0.9444444444444444,0.11590418035964771,0.3980730260658046,0.17595124355902622,0.8333333333333333,0.8,1.0,0.8333333333333334,1.0,1.0,0.06419787365989542,0.24360276497286545,0.19724567697829792,0.8333333333333333,0.8,1.0,0.8333333333333334
8,98,25,6,0.24,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.8771929824561404,0.7349206349206349,0.11274002506669924,0.3597896976434575,0.05703650037458898,0.6973684210526316,0.5454545454545454,0.6,0.5,0.8859649122807017,0.7472222222222222,0.12156124344268437,0.3800149088822926,0.15452394839215056,0.5833333333333334,0.2857142857142857,0.8,0.6666666666666666
9,99,24,5,0.20833333333333334,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",1.0,1.0,0.08347422848553165,0.3121216517609538,0.2534160242217814,0.9473684210526316,0.8333333333333334,1.0,1.0,1.0,1.0,0.04668128271196089,0.20401480900735539,0.17335293017113532,1.0,1.0,1.0,1.0
10,99,24,5,0.20833333333333334,invoice_behavior_only,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.8210526315789474,0.7555555555555555,0.12046194319076246,0.39252185688436386,0.08166474423959699,0.6,0.3333333333333333,0.6,0.6,0.8157894736842106,0.5904761904761905,0.15358214621568358,0.45339850770925844,0.08751901749652456,0.6947368421052631,0.5,0.4,0.4
