split_id,n_train,n_test,n_default_test,test_default_rate,feature_set,tree_backend,best_params,A_elastic_net_logistic__roc_auc,A_elastic_net_logistic__pr_auc,A_elastic_net_logistic__brier,A_elastic_net_logistic__log_loss,A_elastic_net_logistic__ece_5bin,A_elastic_net_logistic__balanced_accuracy_05,A_elastic_net_logistic__f1_05,A_elastic_net_logistic__precision_top20,A_elastic_net_logistic__recall_top20,B_gradient_boosting__roc_auc,B_gradient_boosting__pr_auc,B_gradient_boosting__brier,B_gradient_boosting__log_loss,B_gradient_boosting__ece_5bin,B_gradient_boosting__balanced_accuracy_05,B_gradient_boosting__f1_05,B_gradient_boosting__precision_top20,B_gradient_boosting__recall_top20
1,98,25,5,0.2,behavior_plus_rating,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",1.0,1.0,0.046157931737982445,0.20574281064189998,0.12297089142813979,0.9,0.8888888888888888,1.0,1.0,1.0,1.0,0.009430144622697346,0.0859505317584257,0.08068658785543621,1.0,1.0,1.0,1.0
2,98,25,6,0.24,behavior_plus_rating,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.8947368421052633,0.8643790849673203,0.12488047272447109,0.41428219499721436,0.17022895094534932,0.8903508771929824,0.8333333333333334,0.8,0.6666666666666666,0.9605263157894738,0.9242424242424243,0.04460120942954438,0.19131326237799967,0.047271494464215136,0.9166666666666667,0.9090909090909091,1.0,0.8333333333333334
3,98,25,6,0.24,behavior_plus_rating,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.7982456140350878,0.7748538011695906,0.10545269801052308,0.3709873222844556,0.07942704998041558,0.75,0.6666666666666666,0.8,0.6666666666666666,0.8464912280701755,0.8733333333333333,0.07902464656095587,0.30918802223017644,0.06889777816973773,0.8333333333333333,0.8,1.0,0.8333333333333334
4,99,24,5,0.20833333333333334,behavior_plus_rating,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.9157894736842105,0.8433333333333334,0.09456232189433218,0.32972325833706495,0.11515158965955002,0.7736842105263158,0.6666666666666666,0.8,0.8,1.0,1.0,0.01188985599194999,0.09788030430167682,0.09120600279958092,1.0,1.0,1.0,1.0
5,99,24,5,0.20833333333333334,behavior_plus_rating,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.7894736842105263,0.6533333333333333,0.13879132812954284,0.4428900542593692,0.11451031275232999,0.6736842105263158,0.5,0.6,0.6,1.0,1.0,0.01760689710790624,0.12141953707180303,0.11136044566536979,1.0,1.0,1.0,1.0
6,98,25,5,0.2,behavior_plus_rating,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.75,0.5975033738191633,0.14238917043178076,0.45323802692234794,0.11551942888025495,0.6,0.3333333333333333,0.6,0.6,0.9450000000000001,0.8833333333333333,0.0426309893455486,0.18517075241553052,0.03656517939951054,0.9,0.8888888888888888,0.8,0.8
7,98,25,6,0.24,behavior_plus_rating,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",1.0,1.0,0.07583959392168776,0.300756306437006,0.2498592244766918,0.9166666666666667,0.9090909090909091,1.0,0.8333333333333334,1.0,1.0,0.013341776786095185,0.10083003950648248,0.09323993795190622,1.0,1.0,1.0,0.8333333333333334
8,98,25,6,0.24,behavior_plus_rating,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.868421052631579,0.8079365079365078,0.09668549308792786,0.32850621412378217,0.07472123452613298,0.8070175438596491,0.7272727272727273,0.8,0.6666666666666666,0.8640350877192983,0.8733333333333334,0.046055109320991605,0.21157073901109086,0.038178215982544006,0.9166666666666667,0.9090909090909091,1.0,0.8333333333333334
9,99,24,5,0.20833333333333334,behavior_plus_rating,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",1.0,1.0,0.06948121003756819,0.277500155388032,0.23007869771648487,0.9473684210526316,0.8333333333333334,1.0,1.0,1.0,1.0,0.014348846897829474,0.10899900866948982,0.10090179478603252,1.0,1.0,1.0,1.0
10,99,24,5,0.20833333333333334,behavior_plus_rating,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.8947368421052632,0.8666666666666667,0.09799321639929955,0.33610625671847383,0.15818430360429442,0.6,0.3333333333333333,0.8,0.8,0.9578947368421052,0.9111111111111111,0.04439338834282037,0.1902305264386203,0.05745883787383173,0.9,0.8888888888888888,0.8,0.8
11,98,25,5,0.2,behavior_plus_rating,sklearn.HistGradientBoostingClassifier,"{""A_elastic_net_logistic"": {""model"": ""LogisticRegression"", ""params"": {""C"": 0.2, ""l1_ratio"": 0.8}}, ""B_gradient_boosting"": {""model"": ""HistGradientBoostingClassifier"", ""params"": {""l2_regularization"": 10.0, ""max_leaf_nodes"": 3, ""min_samples_leaf"": 15}}}",0.88,0.8588235294117648,0.1274018434385104,0.42682633811210197,0.23962401919923715,0.9,0.8888888888888888,0.8,0.8,1.0,1.0,0.012035052018658295,0.09903945081557114,0.09228881325707577,1.0,1.0,1.0,1.0
