unlabeled_block,n_firms,mean_p_a,mean_p_b,median_abs_p_difference,p90_abs_p_difference,top20_a_count,top20_b_count,top20_overlap_count,top20_disagreement_count,spearman_a_b,mean_domain_distance_5nn,outside_support_share
U01,31,0.28955588552319106,0.19091772798032045,0.2747323333056053,0.35358345898245,6,7,3,7,-0.07702389392909004,7.2501063647163315,0.03225806451612903
U02,31,0.2677612487966038,0.14650071499122178,0.2459658619334248,0.3757117753986218,6,5,2,7,-0.012096774193548388,6.42088228108658,0.03225806451612903
U03,30,0.29870494680640863,0.16061882260929897,0.2539908121557865,0.33459696164088687,5,4,1,7,0.142841251301072,6.260728902638436,0.0
U04,30,0.308184618396921,0.1387590072473552,0.23159211149870756,0.35380028115659007,10,6,4,8,0.30589543937708563,6.068109599452552,0.03333333333333333
U05,30,0.30415778522889175,0.13813692252299153,0.28353713802279246,0.321821185513475,5,5,3,4,0.29097062292612824,6.043109857652876,0.0
U06,30,0.29572997914933186,0.2216859912669286,0.2844696294696078,0.44741553864132505,7,8,2,11,-0.07678611933682065,6.928626889900187,0.06666666666666667
U07,30,0.2878898101538128,0.14291415903793497,0.22673549518042438,0.33625183157124694,6,7,2,9,-0.0389321468298109,6.489881510303606,0.03333333333333333
U08,30,0.2641099276525675,0.15989998145110276,0.23202669266045928,0.36098738543539083,7,5,2,8,-0.17643786959774158,8.519057408315625,0.03333333333333333
U09,30,0.3045376557148029,0.18397500921735865,0.24698660421674062,0.34393826386418375,5,6,0,11,-0.037614070051949826,6.237288300830684,0.0
U10,30,0.28542576007142273,0.16175133486504825,0.2154777519881172,0.3417101316655749,4,8,2,8,-0.060734149054505006,5.688473413354032,0.0
