split_id,repeat_id,fold_id,n_train_labeled,n_test_hidden,n_external_unlabeled,n_default_test,test_default_rate,scheme_b_context_nodes,graph_backend,graph_params,A_supervised_transfer__roc_auc,A_supervised_transfer__pr_auc,A_supervised_transfer__brier,A_supervised_transfer__log_loss,A_supervised_transfer__ece_5bin,A_supervised_transfer__balanced_accuracy_05,A_supervised_transfer__f1_05,A_supervised_transfer__precision_top20,A_supervised_transfer__recall_top20,B_label_propagation__roc_auc,B_label_propagation__pr_auc,B_label_propagation__brier,B_label_propagation__log_loss,B_label_propagation__ece_5bin,B_label_propagation__balanced_accuracy_05,B_label_propagation__f1_05,B_label_propagation__precision_top20,B_label_propagation__recall_top20
1,1,1,98,25,302,5,0.2,327,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.97,0.925,0.05778532169993973,0.22866208122595538,0.12531690905300874,0.9,0.8888888888888888,0.8,0.8,0.98,0.9266666666666667,0.05038640714939576,0.16163404420333777,0.0609903207952946,0.8,0.75,0.8,0.8
2,1,2,98,25,302,6,0.24,327,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.8859649122807017,0.8859649122807017,0.13865102685535147,0.4477650064047357,0.15555338093915205,0.8640350877192983,0.7692307692307693,1.0,0.8333333333333334,0.736842105263158,0.498989898989899,0.1782736503855298,0.926834977804123,0.14870268851885413,0.6140350877192983,0.4,0.6,0.5
3,1,3,98,25,302,6,0.24,327,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.7807017543859649,0.76875,0.12124920185586018,0.4118456346460666,0.08410026293627279,0.6666666666666666,0.5,0.8,0.6666666666666666,0.7017543859649124,0.5899470899470899,0.18167030002758333,0.9034029426748574,0.1855399467738593,0.6403508771929824,0.4444444444444444,0.4,0.3333333333333333
4,1,4,99,24,302,5,0.20833333333333334,326,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.8947368421052633,0.8314285714285714,0.10804768234382751,0.36514139517513405,0.12763511338298278,0.7736842105263158,0.6666666666666666,0.8,0.8,0.9789473684210527,0.9428571428571428,0.056639231980962546,0.18544978016842062,0.07523430377535052,0.9,0.8888888888888888,0.8,0.8
5,1,5,99,24,302,5,0.20833333333333334,326,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.6842105263157894,0.5359477124183006,0.15736183492911104,0.48928481519996697,0.1357206773890192,0.6736842105263158,0.5,0.4,0.4,0.8421052631578947,0.6255555555555555,0.1416052702067344,0.41968162469216835,0.08362042372535386,0.7473684210526316,0.6,0.6,0.6
6,2,1,98,25,302,5,0.2,327,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.65,0.5675133689839572,0.16073275709036458,0.4974334179870248,0.1464130882662791,0.675,0.5,0.4,0.4,0.55,0.5254227053140097,0.23928582707698065,1.6102759557935686,0.28169574611950904,0.6000000000000001,0.36363636363636365,0.4,0.4
7,2,2,98,25,302,6,0.24,327,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.9736842105263157,0.9444444444444444,0.11590418035964771,0.3980730260658046,0.17595124355902622,0.8333333333333333,0.8,1.0,0.8333333333333334,0.9210526315789473,0.7513888888888888,0.13108866709845934,0.40235735214955537,0.13674280529400187,0.6403508771929824,0.4444444444444444,0.8,0.6666666666666666
8,2,3,98,25,302,6,0.24,327,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.8771929824561404,0.7349206349206349,0.11274002506669924,0.3597896976434575,0.05703650037458898,0.6973684210526316,0.5454545454545454,0.6,0.5,0.7894736842105263,0.7142857142857143,0.13350343585015328,0.6811650596062985,0.145141408134201,0.75,0.6666666666666666,0.6,0.5
9,2,4,99,24,302,5,0.20833333333333334,326,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",1.0,1.0,0.08347422848553165,0.3121216517609538,0.2534160242217814,0.9473684210526316,0.8333333333333334,1.0,1.0,0.8947368421052632,0.6342424242424242,0.1164953002033511,0.35671983770447363,0.10708616562819397,0.8210526315789474,0.6666666666666666,0.8,0.8
10,2,5,99,24,302,5,0.20833333333333334,326,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.8210526315789474,0.7555555555555555,0.12046194319076246,0.39252185688436386,0.08166474423959699,0.6,0.3333333333333333,0.6,0.6,0.8210526315789475,0.6941558441558442,0.13269589976417365,0.4677170002069129,0.1428199691760447,0.7,0.5714285714285714,0.6,0.6
11,3,1,98,25,302,5,0.2,327,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.87,0.8555555555555556,0.1324345008368864,0.43795929460541716,0.2443414912957578,0.875,0.8,0.8,0.8,0.76,0.6543434343434343,0.10998549336140355,0.732308305612754,0.10341326850234649,0.675,0.5,0.6,0.6
12,3,2,98,25,302,6,0.24,327,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.8333333333333334,0.769298245614035,0.11899180730564421,0.38726144816428004,0.11266367741987589,0.8070175438596491,0.7272727272727273,0.8,0.6666666666666666,0.6929824561403509,0.5887021475256768,0.16376643250119652,0.7682502348302055,0.17328435586338528,0.7543859649122806,0.6153846153846154,0.6,0.5
13,3,3,98,25,302,6,0.24,327,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.8771929824561404,0.7893790849673202,0.10104068556659032,0.34499730539074575,0.1288073216845051,0.8070175438596491,0.7272727272727273,0.8,0.6666666666666666,0.7149122807017545,0.6700505050505051,0.14163318370234612,0.9323588431566345,0.19465569712868774,0.75,0.6666666666666666,0.6,0.5
14,3,4,99,24,302,5,0.20833333333333334,326,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.8842105263157896,0.8266666666666667,0.11011724583811054,0.38074209542719,0.1526773916256497,0.8,0.75,0.8,0.8,0.9052631578947368,0.6226190476190476,0.11262668246431595,0.32226139630479966,0.13473405148970924,0.7736842105263158,0.6666666666666666,0.6,0.6
15,3,5,99,24,302,5,0.20833333333333334,326,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.8631578947368421,0.6385281385281385,0.13801292953502867,0.41651507425774864,0.12018828449504163,0.6210526315789473,0.4,0.4,0.4,0.8736842105263158,0.6476190476190476,0.11193600512632566,0.31935790256092716,0.057409246413881114,0.6473684210526316,0.4444444444444444,0.4,0.4
16,4,1,98,25,302,5,0.2,327,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.98,0.9266666666666667,0.06519755635929084,0.250139120022825,0.15406701319511887,0.875,0.8,0.8,0.8,0.95,0.8999999999999999,0.0531868252335116,0.20499810239552502,0.08443474144914102,0.9,0.8888888888888888,0.8,0.8
17,4,2,98,25,302,6,0.24,327,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.9298245614035088,0.9047619047619048,0.1301006073905302,0.43236291580052955,0.21308558845727582,0.9166666666666667,0.9090909090909091,1.0,0.8333333333333334,0.8070175438596492,0.5823713323713323,0.14128591461536116,0.3871732763383825,0.08064479053303789,0.6140350877192983,0.4,0.4,0.3333333333333333
18,4,3,98,25,302,6,0.24,327,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.7894736842105263,0.6716269841269841,0.14387122157122706,0.4503376940674013,0.08063670823212354,0.6666666666666666,0.5,0.6,0.5,0.8421052631578947,0.6943473193473193,0.14144497088830132,0.503581538275381,0.13830572810552128,0.6403508771929824,0.4444444444444444,0.6,0.5
19,4,4,99,24,302,5,0.20833333333333334,326,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.7578947368421053,0.712156862745098,0.14517901551543574,0.45818830450742115,0.20740279261162903,0.7736842105263158,0.6666666666666666,0.6,0.6,0.6105263157894737,0.48287878787878785,0.1973265703342502,1.2937109761764158,0.19527227669891267,0.6210526315789473,0.4,0.4,0.4
20,4,5,99,24,302,5,0.20833333333333334,326,sklearn.LabelSpreading(kernel=knn),"{""alpha"": 0.2, ""max_iter"": 50, ""n_neighbors"": 10}",0.8526315789473685,0.52,0.13891288081969233,0.41557251625376695,0.05996577551170717,0.5473684210526316,0.25,0.6,0.6,0.7263157894736842,0.3542424242424242,0.16930196220777402,0.44809724381897303,0.17949667754566806,0.4473684210526316,0.0,0.2,0.2
