firm,in_lines,in_unique_invoices,in_active_days,in_total_net,in_total_abs,in_mean_abs,in_median_abs,in_negative_lines,in_zero_lines,in_valid_lines,in_valid_total_net,in_valid_total_abs,in_valid_mean_abs,in_valid_median_abs,in_valid_negative_lines,in_valid_zero_lines,in_valid_active_months,in_valid_counterparties,in_void_lines,in_duplicate_lines,in_void_rate,in_duplicate_rate,in_negative_rate,in_zero_rate,in_valid_negative_rate,in_valid_zero_rate,in_valid_rate,in_date_span_days,in_monthly_abs_mean,in_monthly_abs_std,in_monthly_net_std,in_monthly_count,in_monthly_abs_cv,in_monthly_abs_trend,in_recent_to_initial_abs,in_top_counterparty_share,in_counterparty_hhi,out_lines,out_unique_invoices,out_active_days,out_total_net,out_total_abs,out_mean_abs,out_median_abs,out_negative_lines,out_zero_lines,out_valid_lines,out_valid_total_net,out_valid_total_abs,out_valid_mean_abs,out_valid_median_abs,out_valid_negative_lines,out_valid_zero_lines,out_valid_active_months,out_valid_counterparties,out_void_lines,out_duplicate_lines,out_void_rate,out_duplicate_rate,out_negative_rate,out_zero_rate,out_valid_negative_rate,out_valid_zero_rate,out_valid_rate,out_date_span_days,out_monthly_abs_mean,out_monthly_abs_std,out_monthly_net_std,out_monthly_count,out_monthly_abs_cv,out_monthly_abs_trend,out_recent_to_initial_abs,out_top_counterparty_share,out_counterparty_hhi,cross_out_to_in_abs,cross_out_to_in_count,cross_out_minus_in_net,cross_out_minus_in_void_rate,cross_out_minus_in_negative_rate
E124,17411,17409,741,992181262.97,1035735094.75,59487.39846935845,14850.0,346,0,15264,844202797.23,887265509.01,58127.98146029874,11144.0,342,0,25,1403,2147,2,0.12331284819941417,0.00011486990982712079,0.019872494400091895,0.0,0.02240566037735849,0.0,0.8766871518005859,749,35490620.3604,20928992.80897761,20117800.807636928,25,0.5897049022093152,0.04873603166839347,3.6984401473568984,0.14461439378294808,0.029395013068989388,1293,1293,259,965061608.45,1039428466.45,803888.9918406806,1000000.0,42,1,1099,808437748.17,880804606.17,801460.0602092812,1000000.0,41,0,25,52,194,0,0.1500386697602475,0.0,0.03248259860788863,0.0007733952049497294,0.0373066424021838,0.0,0.8499613302397525,749,35232184.246800005,23954830.086037453,21104572.260229297,25,0.6799132837815235,0.03639311781356658,2.192724753285582,0.17421077619839803,0.07352453907471611,0.9927181855099845,0.07199947589098532,-35765049.06000006,0.02672582156083332,0.014900982024825312
E125,20288,20284,956,1177813229.08,1231119751.72,60682.164418375396,20000.0,406,0,17776,1001201808.6,1052840607.24,59228.2069779478,11600.0,396,0,36,1789,2512,4,0.12381703470031545,0.0001971608832807571,0.020011829652996846,0.0,0.022277227722772276,0.0,0.8761829652996845,1073,29245572.423333332,21836140.08968939,20750543.106722724,36,0.7466477240933609,0.05364691673304809,18.144158494780566,0.10233596444617316,0.01585890387603721,1595,1595,335,1195105005.44,1269611863.44,795994.898708464,1000000.0,43,1,1380,1024841109.95,1097347967.95,795179.6869202899,1000000.0,42,0,35,63,215,0,0.13479623824451412,0.0,0.026959247648902823,0.0006269592476489029,0.030434782608695653,0.0,0.8652037617554859,1066,31352799.084285717,23023249.24095284,20610370.47403012,35,0.7343283506859929,0.03834305168547591,3.3375683032948835,0.16255232156052765,0.05958869318322666,1.0422735981153644,0.07763276327632763,23639301.350000024,0.010979203544198665,0.008157554885923377
E126,533,533,263,134006340.64,134221397.0,251822.50844277674,99600.0,3,0,515,128818723.63,129033779.99,250551.0291067961,98647.6,3,0,36,72,18,0,0.03377110694183865,0.0,0.005628517823639775,0.0,0.005825242718446602,0.0,0.9662288930581614,1055,3584271.666388889,2876749.070104339,2873205.24466127,36,0.8026035239127478,0.03836642510558775,2.9763768402540896,0.4231506959203358,0.2959809647970488,1516,1516,408,650309040.12,685871563.46,452421.8756332454,350418.815,32,3,1264,538007376.38,573569899.72,453773.65484177216,350418.815,32,0,36,143,252,0,0.1662269129287599,0.0,0.021108179419525065,0.001978891820580475,0.02531645569620253,0.0,0.8337730870712401,1072,15932497.214444445,10520078.279627593,10232482.681754055,36,0.660290608435824,0.03833681455636679,2.985664766446746,0.17824868165137261,0.062417407846749484,4.44511429305141,2.454368932038835,409188652.75,0.13245580598692125,0.01949121297775593
E127,1450,1450,615,1854772.94,1856852.94,1280.5882344827585,320.0,2,0,1424,1765558.94,1767638.94,1241.3194803370786,313.5,2,0,32,297,26,0,0.01793103448275862,0.0,0.001379310344827586,0.0,0.0014044943820224719,0.0,0.9820689655172414,1033,55238.716875,85658.90560081435,85664.73323595474,32,1.5507041156414325,0.0466491159672536,33.459727998514666,0.16971791761953378,0.06343612990304914,4026,4026,224,717746672.55,720491824.55,178959.7179706905,102900.0,4,3,3904,671508175.53,674253327.53,172708.33184682377,102900.0,4,0,36,25,122,0,0.030303030303030304,0.0,0.0009935419771485345,0.0007451564828614009,0.0010245901639344263,0.0,0.9696969696969697,1073,18729259.098055556,14970289.681071172,15026615.925677406,36,0.7992996200594696,-0.015323358888703542,0.4400942756378787,0.22384145962302984,0.1337747936642815,381.4429023214435,2.741573033707865,669742616.5899999,0.012371995820271684,-0.0003799042180880456
E128,3222,3222,807,10788039.88,11628960.0,3609.236499068901,320.0,16,0,3134,9360499.95,10112352.07,3226.659881940013,314.0,15,0,31,532,88,0,0.027312228429546864,0.0,0.004965859714463066,0.0,0.004786215698787492,0.0,0.9726877715704532,915,326204.905483871,339445.6563166128,343588.25071536703,31,1.040590287301478,0.02480587918751131,14.819578999658477,0.07209628333282506,0.025959505264150983,1255,1255,92,264642363.12,264642363.12,210870.40886055777,99990.0,0,13,1161,250689218.79,250689218.79,215925.2530490956,99990.0,0,0,33,7,94,0,0.0749003984063745,0.0,0.0,0.010358565737051793,0.0,0.0,0.9250996015936255,1053,7596642.993636363,10162099.152885094,10162099.152885094,33,1.3377091909410235,0.04009013128979776,0.605061057574744,0.9758447200512734,0.9524462050654999,24.790396641124858,0.3704530950861519,241328718.84,0.04758816997682763,-0.004786215698787492
E129,6326,6326,961,104813014.83,107656452.63,17018.092417009168,430.0,29,0,5928,85577806.82,88421244.62,14915.86447705803,398.895,29,0,36,1368,398,0,0.06291495415744547,0.0,0.004584255453683212,0.0,0.004892037786774629,0.0,0.9370850458425546,1072,2456145.683888889,2323621.4608554533,2353066.875231011,36,0.9460438263484412,-0.02648861235213442,0.4279606093439633,0.15371234660189065,0.04293611134786823,5817,5805,559,424383813.98,438702090.0,75417.2408457968,98400.0,87,20,5181,374399072.3,388511348.32,74987.71440262497,97200.0,86,0,36,796,636,12,0.10933470861268695,0.0020629190304280558,0.014956162970603403,0.0034381983840467596,0.016599112140513416,0.0,0.8906652913873131,1073,10791981.897777777,6162269.450365411,6069047.113525225,36,0.5710044279850311,-0.006100602852484975,1.2538645830619581,0.04298458738004464,0.010703010402562487,4.393868803698366,0.8739878542510121,288821265.48,0.04641975445524148,0.011707074353738786
E130,3251,3251,663,85539937.0,86465353.16,26596.54049830821,999.0,18,0,3123,77406976.12,78332392.28,25082.41827729747,948.0,18,0,31,517,128,0,0.03937250076899416,0.0,0.005536757920639803,0.0,0.005763688760806916,0.0,0.9606274992310059,919,2526851.3638709676,3973407.5014925357,3931799.1333279666,31,1.572473774399433,0.1195264814814105,6333.3783233830845,0.13212924690214758,0.04461509468494275,1382,1382,61,125731902.13,129733514.13,93873.74394356005,100000.0,21,0,1321,120144422.13,124146034.13,93978.82977289932,100000.0,21,0,22,14,61,0,0.04413892908827786,0.0,0.015195369030390739,0.0,0.015897047691143074,0.0,0.9558610709117221,1034,5643001.551363636,7995554.421436101,7981194.418770515,22,1.4168974345761023,0.1273730688257906,30.35209214154944,0.8710639092728624,0.7656296210641084,1.5848620285492958,0.42299071405699645,42737446.00999999,0.0047664283192837,0.010133358930336157
E131,7077,7076,992,138371076.37,143405661.01,20263.62314681362,2680.0,130,0,6527,125103670.24,130138254.88,19938.448732955414,2111.0,130,0,36,906,550,1,0.07771654655927653,0.00014130281192595732,0.018369365550374453,0.0,0.019917266738164546,0.0,0.9222834534407235,1073,3614951.524444444,3983601.883066676,3985716.243495087,36,1.1019793366880313,0.007678997351349916,1.021305819623118,0.22253256758901455,0.06288906393385504,3336,3336,639,264977386.65,270191823.99,80992.75299460432,25570.0,43,0,3097,241760597.37,246959854.71,79741.63858895705,25000.0,42,0,36,818,239,0,0.07164268585131894,0.0,0.01288968824940048,0.0,0.013561511139812722,0.0,0.9283573141486811,1073,6859995.964166667,2639673.709528423,2592621.5510877823,36,0.3847923123157526,0.00622737641918565,1.4706955580418544,0.037357691236228376,0.00967747755267571,1.8976730165754934,0.47449057760073543,116656927.13000001,-0.006073860707957582,-0.006355755598351824
E132,5159,5159,812,75039020.2,76195646.76,14769.46050785036,300.0,10,0,5050,70171887.8,71328514.36,14124.45828910891,300.0,10,0,31,682,109,0,0.021128125605737545,0.0,0.0019383601473153711,0.0,0.0019801980198019802,0.0,0.9788718743942625,903,2300919.818064516,1690280.312786792,1662165.6011170815,31,0.7346106976507418,0.022612682353924187,1013.5624939808295,0.2248750046726755,0.07142378351840878,1798,1798,256,243054304.58,248306107.78,138101.28352614015,100000.0,8,0,1659,221026234.74,226278037.94,136394.23625075346,100000.0,8,0,34,99,139,0,0.07730812013348165,0.0,0.004449388209121246,0.0,0.004822182037371911,0.0,0.9226918798665183,1003,6655236.41,4322799.709497024,4415589.045212669,34,0.6495336068004569,0.010987079639340626,3.9592990041855063,0.07115989862113616,0.026332123383524714,3.172336336601081,0.32851485148514853,150854346.94,0.05617999452774411,0.0028419840175699304
E133,1645,1645,654,43053579.11,43054354.11,26172.859641337385,840.0,2,0,1599,40659032.04,40659807.04,25428.27207004378,780.0,2,0,32,282,46,0,0.02796352583586626,0.0,0.0012158054711246201,0.0,0.0012507817385866166,0.0,0.9720364741641337,969,1270618.97,1689978.4235699866,1689996.5224450245,32,1.330043438254339,0.03071914080860847,355.38573972244046,0.18021236531672433,0.06980302972608228,170,170,41,144363765.64,149163765.64,877433.9155294116,1000000.0,3,0,140,117064664.86,121864664.86,870461.8918571429,1000000.0,3,0,20,9,30,0,0.17647058823529413,0.0,0.01764705882352941,0.0,0.02142857142857143,0.0,0.8235294117647058,1057,6093233.243,7121505.797090427,7256810.659303578,20,1.168756473465335,0.0008702115121519158,0.44236249839607167,0.6250550962209408,0.4563170876499999,2.997177648681729,0.08755472170106317,76405632.82,0.14850706239942787,0.020177789689984814
