enterprise_id,baseline_loan_decision,baseline_loan_amount_10k,baseline_interest_rate,baseline_risk_score,scenario_loan_decision,scenario_loan_amount_10k,scenario_interest_rate,scenario_risk_score,scenario_id,scenario_family,loan_amount_change_10k,interest_rate_change,newly_selected,removed_from_selection,previous_scenario_id
E1,不放贷,0,,0.05655542179,不放贷,0,,0.05655542179,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E10,不放贷,0,,0.06093491817,放贷,100,0.1185,0.06093491817,budget_0.20_bmax_nominal_equality,budget,100,,True,False,budget_0.10_bmax_nominal_equality
E100,不放贷,0,,0.2578903118,不放贷,0,,0.2578903118,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E101,不放贷,0,,0.7098560409,不放贷,0,,0.7098560409,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E102,不放贷,0,,0.4733747116,不放贷,0,,0.4733747116,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E103,不放贷,0,,0.4055458126,不放贷,0,,0.4055458126,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E104,不放贷,0,,0.5371556855,不放贷,0,,0.5371556855,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E105,不放贷,0,,0.2296735143,不放贷,0,,0.2296735143,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E106,不放贷,0,,0.25387818,不放贷,0,,0.25387818,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E107,不放贷,0,,0.6278756036,不放贷,0,,0.6278756036,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E108,不放贷,0,,0.5221807895,不放贷,0,,0.5221807895,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E109,不放贷,0,,0.5493640614,不放贷,0,,0.5493640614,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E11,不放贷,0,,0.07723891572,不放贷,0,,0.07723891572,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E110,不放贷,0,,0.5711527053,不放贷,0,,0.5711527053,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E111,不放贷,0,,0.1919246162,不放贷,0,,0.1919246162,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E112,不放贷,0,,0.4170540731,不放贷,0,,0.4170540731,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E113,不放贷,0,,0.7592451553,不放贷,0,,0.7592451553,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E114,不放贷,0,,0.4770804739,不放贷,0,,0.4770804739,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E115,不放贷,0,,0.7835354924,不放贷,0,,0.7835354924,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E116,不放贷,0,,0.4160885126,不放贷,0,,0.4160885126,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E117,不放贷,0,,0.6343060557,不放贷,0,,0.6343060557,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E118,不放贷,0,,0.3859533716,不放贷,0,,0.3859533716,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E119,不放贷,0,,0.6253065711,不放贷,0,,0.6253065711,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E12,不放贷,0,,0.08202986653,不放贷,0,,0.08202986653,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E120,不放贷,0,,0.721226934,不放贷,0,,0.721226934,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E121,不放贷,0,,0.4662178212,不放贷,0,,0.4662178212,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E122,不放贷,0,,0.4500783219,不放贷,0,,0.4500783219,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E123,不放贷,0,,0.7819761114,不放贷,0,,0.7819761114,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E13,不放贷,0,,0.04053604698,放贷,100,0.1025,0.04053604698,budget_0.20_bmax_nominal_equality,budget,100,,True,False,budget_0.10_bmax_nominal_equality
E14,放贷,100,0.1105,0.03261041867,放贷,100,0.1105,0.03261041867,budget_0.20_bmax_nominal_equality,budget,0,0,False,False,budget_0.10_bmax_nominal_equality
E15,不放贷,0,,0.07381492047,不放贷,0,,0.07381492047,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E16,不放贷,0,,0.04998777847,放贷,80,0.1025,0.04998777847,budget_0.20_bmax_nominal_equality,budget,80,,True,False,budget_0.10_bmax_nominal_equality
E17,不放贷,0,,0.04649981408,放贷,100,0.1025,0.04649981408,budget_0.20_bmax_nominal_equality,budget,100,,True,False,budget_0.10_bmax_nominal_equality
E18,不放贷,0,,0.04857513816,放贷,100,0.1025,0.04857513816,budget_0.20_bmax_nominal_equality,budget,100,,True,False,budget_0.10_bmax_nominal_equality
E19,不放贷,0,,0.06543754966,不放贷,0,,0.06543754966,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E2,放贷,100,0.0985,0.02833749753,放贷,100,0.0985,0.02833749753,budget_0.20_bmax_nominal_equality,budget,0,0,False,False,budget_0.10_bmax_nominal_equality
E20,放贷,100,0.1065,0.04546270238,放贷,100,0.1065,0.04546270238,budget_0.20_bmax_nominal_equality,budget,0,0,False,False,budget_0.10_bmax_nominal_equality
E21,不放贷,0,,0.08415779812,不放贷,0,,0.08415779812,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E22,不放贷,0,,0.08272431763,不放贷,0,,0.08272431763,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E23,放贷,100,0.1065,0.03337482103,放贷,100,0.1065,0.03337482103,budget_0.20_bmax_nominal_equality,budget,0,0,False,False,budget_0.10_bmax_nominal_equality
E24,不放贷,0,,0.04702949043,放贷,100,0.1025,0.04702949043,budget_0.20_bmax_nominal_equality,budget,100,,True,False,budget_0.10_bmax_nominal_equality
E25,不放贷,0,,0.08202047653,不放贷,0,,0.08202047653,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E26,不放贷,0,,0.1342940789,不放贷,0,,0.1342940789,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E27,不放贷,0,,0.1103832985,不放贷,0,,0.1103832985,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E28,不放贷,0,,0.09966092865,不放贷,0,,0.09966092865,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E29,不放贷,0,,0.07253671793,不放贷,0,,0.07253671793,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
E3,放贷,100,0.0905,0.02153611417,放贷,100,0.0905,0.02153611417,budget_0.20_bmax_nominal_equality,budget,0,0,False,False,budget_0.10_bmax_nominal_equality
E30,不放贷,0,,0.07713913412,不放贷,0,,0.07713913412,budget_0.20_bmax_nominal_equality,budget,0,,False,False,budget_0.10_bmax_nominal_equality
