enterprise_id,enterprise_name,credit_rating,selection_frequency,selected_scenario_count,total_scenario_count,loan_amount_mean_10k,loan_amount_sd_10k,loan_amount_min_10k,loan_amount_max_10k,interest_rate_mean,risk_score,credit_rating_display,baseline_selected,robust_core_flag,unstable_flag
E14,个体经营E14,C,1,30,30,100,0,100,100,0.1065,0.03261041867,C,True,True,False
E2,***技术有限责任公司,A,1,30,30,100,0,100,100,0.09716666667,0.02833749753,A,True,True,False
E20,***贸易有限公司,B,1,30,30,100,0,100,100,0.1093,0.04546270238,B,True,True,False
E23,***贸易有限公司,B,1,30,30,100,0,100,100,0.1045,0.03337482103,B,True,True,False
E3,***电子(中国)有限公司***分公司,C,1,30,30,100,0,100,100,0.09423333333,0.02153611417,C,True,True,False
E4,***发展有限责任公司,C,1,30,30,100,0,100,100,0.1065,0.03106769432,C,True,True,False
E47,***控制设备有限责任公司,C,1,30,30,99.66666667,1.795054936,90,100,0.1109,0.05124807767,C,True,True,False
E7,***家电有限公司***分公司,A,1,30,30,100,0,100,100,0.09556666667,0.02580342326,A,True,True,False
E8,***科学研究院有限公司,A,1,30,30,100,0,100,100,0.09556666667,0.02606005345,A,True,True,False
E9,***生活用品服务有限公司***分公司,A,1,30,30,100,0,100,100,0.0941,0.02174866462,A,True,True,False
E10,***建筑劳务有限公司,B,0.9666666667,29,30,96.66666667,17.95054936,0,100,0.1205689655,0.06093491817,B,True,True,False
E13,***汽车贸易有限公司,A,0.9666666667,29,30,96.66666667,17.95054936,0,100,0.1049827586,0.04053604698,A,True,True,False
E16,***建筑劳务有限公司,A,0.9666666667,29,30,96,18.18424226,0,100,0.1051206897,0.04998777847,A,True,True,False
E17,***消防工程有限公司,A,0.9666666667,29,30,96.66666667,17.95054936,0,100,0.1051206897,0.04649981408,A,True,True,False
E18,***消防工程有限责任公司,A,0.9666666667,29,30,96.66666667,17.95054936,0,100,0.1051206897,0.04857513816,A,True,True,False
E24,***建筑工程有限公司,A,0.9666666667,29,30,96.66666667,17.95054936,0,100,0.1051206897,0.04702949043,A,True,True,False
E31,***食品有限公司,A,0.9666666667,29,30,96.66666667,17.95054936,0,100,0.1007068966,0.0367643069,A,True,True,False
E46,***广告传媒有限公司,C,0.9666666667,29,30,96.66666667,17.95054936,0,100,0.1153275862,0.05276002815,C,True,True,False
E5,***供应链管理有限公司,B,0.9666666667,29,30,96.66666667,17.95054936,0,100,0.1139482759,0.05668387407,B,True,True,False
E6,***装饰设计工程有限公司,A,0.9666666667,29,30,96.66666667,17.95054936,0,100,0.1020862069,0.03828902106,A,True,True,False
E1,***电器销售有限公司,A,0.9333333333,28,30,93.33333333,24.94438258,0,100,0.1182142857,0.05655542179,A,True,True,True
E11,***建设工程有限公司,C,0.9333333333,28,30,93.33333333,24.94438258,0,100,0.1356428571,0.07723891572,C,True,True,True
E19,***科技有限公司,A,0.9333333333,28,30,92.33333333,25.25646232,0,100,0.1195,0.06543754966,A,True,True,True
E29,***建筑劳务有限公司,C,0.9333333333,28,30,93.33333333,24.94438258,0,100,0.1356428571,0.07253671793,C,True,True,True
E30,***建筑工程有限公司,B,0.9333333333,28,30,93.33333333,24.94438258,0,100,0.1369285714,0.07713913412,B,True,True,True
E40,***财税咨询服务有限公司,C,0.9333333333,28,30,93.33333333,24.94438258,0,100,0.1367857143,0.08113873174,C,True,True,True
E41,***物业发展有限公司,C,0.9333333333,28,30,93.33333333,24.94438258,0,100,0.1356428571,0.07916167381,C,True,True,True
E51,***物流有限公司,B,0.9333333333,28,30,93.33333333,24.94438258,0,100,0.1352142857,0.0697365828,B,True,True,True
E54,***新技术开发有限公司,A,0.9333333333,28,30,93.33333333,24.94438258,0,100,0.1195,0.06439978133,A,True,True,True
E61,***调味品有限公司,B,0.9333333333,28,30,93.33333333,24.94438258,0,100,0.1369285714,0.07788330382,B,True,True,True
E12,***建筑劳务有限公司,B,0.9,27,30,90,30,0,100,0.1367222222,0.08202986653,B,True,True,True
E21,***建设工程有限公司,B,0.9,27,30,90,30,0,100,0.1367222222,0.08415779812,B,True,True,True
E25,***通讯设备有限公司,C,0.9,27,30,90,30,0,100,0.1365740741,0.08202047653,C,True,True,True
E35,***商贸有限公司,B,0.9,27,30,88.66666667,30.41198594,0,100,0.1385,0.08567951436,B,True,True,True
E37,***木业有限公司,B,0.9,27,30,90,30,0,100,0.1367222222,0.084549486,B,True,True,True
E44,***商贸有限公司,C,0.9,27,30,90,30,0,100,0.1365740741,0.08616234673,C,True,True,True
E48,***化工有限公司,A,0.9,27,30,90,30,0,100,0.1208703704,0.07070577235,A,True,True,True
E56,***家居材料***有限公司,C,0.9,27,30,90,30,0,100,0.1389444444,0.08755638262,C,True,True,True
E59,***商贸有限公司,A,0.9,27,30,90,30,0,100,0.1208703704,0.06896464342,A,True,True,True
E63,***科技有限公司,B,0.9,27,30,90,30,0,100,0.1367222222,0.08368298573,B,True,True,True
E15,***劳务有限公司,A,0.8666666667,26,30,86.66666667,33.99346342,0,100,0.1231153846,0.07381492047,A,True,True,True
E22,***物流有限公司,A,0.8666666667,26,30,86.66666667,33.99346342,0,100,0.1254230769,0.08272431763,A,True,True,True
E28,***景观工程有限公司,B,0.8666666667,26,30,86.66666667,33.99346342,0,100,0.1394230769,0.09966092865,B,True,True,True
E32,***建筑劳务有限公司,B,0.8666666667,26,30,86.66666667,33.99346342,0,100,0.1392692308,0.09279588464,B,True,True,True
E33,***园林有限责任公司,B,0.8666666667,26,30,86.66666667,33.99346342,0,100,0.1392692308,0.09823760896,B,True,True,True
E49,***地球环保科技有限公司,C,0.8666666667,26,30,86.66666667,33.99346342,0,100,0.1388076923,0.09803729486,C,True,True,True
