enterprise_id,enterprise_name,credit_rating,risk_model,risk_score,risk_score_source,risk_rank,risk_percentile,loan_decision,decision_reason,offered_loan_amount_10k,offered_loan_amount_yuan,interest_rate,interest_rate_percent,fitted_churn_rate,acceptance_probability,expected_disbursed_amount_10k,lgd,funding_cost_rate,expected_interest_income_10k,expected_credit_loss_10k,expected_funding_cost_10k,expected_net_return_10k,expected_net_return_per_offered_unit,solver_scenario_id,budget_definition,representative_scenario_flag,conservative_risk_score,scenario_family,risk_variant,budget_fraction,scenario_lgd,scenario_funding_cost_rate,scenario_budget_10k
E1,***电器销售有限公司,A,elastic_net_logistic,0.05655542179,selected_model_risk_score,104,0.8455284553,放贷,优化模型选择,100,1000000,0.0985,9.85,0.7083020233,0.2916979767,29.16979767,0.3,0.02,2.710728615,0.4949130632,0.5833959534,1.632419598,0.01632419598,lgd_0.30_funding_cost_0.02_joint,nominal_equality,False,0.0730491674,lgd_funding_joint,mean,0.5,0.3,0.02,4950
E10,***建筑劳务有限公司,B,elastic_net_logistic,0.06093491817,selected_model_risk_score,102,0.8292682927,放贷,优化模型选择,100,1000000,0.0945,9.45,0.6356051463,0.3643948537,36.43948537,0.3,0.02,3.233700065,0.6661311178,0.7287897074,1.83877924,0.0183877924,lgd_0.30_funding_cost_0.02_joint,nominal_equality,False,0.07833730674,lgd_funding_joint,mean,0.5,0.3,0.02,4950
E100,***装饰工程有限公司,D,elastic_net_logistic,0.2578903118,selected_model_risk_score,36,0.2926829268,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.02,0,0,0,0,,lgd_0.30_funding_cost_0.02_joint,nominal_equality,False,0.3416804479,lgd_funding_joint,mean,0.5,0.3,0.02,4950
E101,***灯饰工程有限公司,D,elastic_net_logistic,0.7098560409,selected_model_risk_score,6,0.0487804878,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.02,0,0,0,0,,lgd_0.30_funding_cost_0.02_joint,nominal_equality,False,0.7897592201,lgd_funding_joint,mean,0.5,0.3,0.02,4950
E102,***大药房有限责任公司,D,elastic_net_logistic,0.4733747116,selected_model_risk_score,17,0.1382113821,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.02,0,0,0,0,,lgd_0.30_funding_cost_0.02_joint,nominal_equality,False,0.6183651775,lgd_funding_joint,mean,0.5,0.3,0.02,4950
E103,***科技有限公司,D,elastic_net_logistic,0.4055458126,selected_model_risk_score,22,0.1788617886,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.02,0,0,0,0,,lgd_0.30_funding_cost_0.02_joint,nominal_equality,False,0.4768661053,lgd_funding_joint,mean,0.5,0.3,0.02,4950
E104,***管理咨询有限责任公司,C,elastic_net_logistic,0.5371556855,selected_model_risk_score,14,0.1138211382,不放贷,优化模型未选择,0,0,,,,,0,0.3,0.02,0,0,0,0,,lgd_0.30_funding_cost_0.02_joint,nominal_equality,False,0.6048969633,lgd_funding_joint,mean,0.5,0.3,0.02,4950
E105,***建材经营部,C,elastic_net_logistic,0.2296735143,selected_model_risk_score,41,0.3333333333,不放贷,优化模型未选择,0,0,,,,,0,0.3,0.02,0,0,0,0,,lgd_0.30_funding_cost_0.02_joint,nominal_equality,False,0.3150886304,lgd_funding_joint,mean,0.5,0.3,0.02,4950
E106,***财务管理有限公司,B,elastic_net_logistic,0.25387818,selected_model_risk_score,37,0.3008130081,不放贷,优化模型未选择,0,0,,,,,0,0.3,0.02,0,0,0,0,,lgd_0.30_funding_cost_0.02_joint,nominal_equality,False,0.2861266308,lgd_funding_joint,mean,0.5,0.3,0.02,4950
E107,***科技有限公司,D,elastic_net_logistic,0.6278756036,selected_model_risk_score,8,0.06504065041,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.02,0,0,0,0,,lgd_0.30_funding_cost_0.02_joint,nominal_equality,False,0.6820972821,lgd_funding_joint,mean,0.5,0.3,0.02,4950
E108,***商贸有限公司,D,elastic_net_logistic,0.5221807895,selected_model_risk_score,15,0.1219512195,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.02,0,0,0,0,,lgd_0.30_funding_cost_0.02_joint,nominal_equality,False,0.6296705299,lgd_funding_joint,mean,0.5,0.3,0.02,4950
E109,***服饰有限公司,D,elastic_net_logistic,0.5493640614,selected_model_risk_score,12,0.09756097561,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.02,0,0,0,0,,lgd_0.30_funding_cost_0.02_joint,nominal_equality,False,0.6102205923,lgd_funding_joint,mean,0.5,0.3,0.02,4950
