scenario_id,budget_10k,budget_definition,budget_used_10k,budget_unused_10k,eligible_enterprise_count,offered_enterprise_count,A_enterprise_count,A_offered_count,A_loan_amount_10k,B_enterprise_count,B_offered_count,B_loan_amount_10k,C_enterprise_count,C_offered_count,C_loan_amount_10k,D_enterprise_count,D_offered_count,D_loan_amount_10k,expected_disbursed_amount_10k,weighted_average_interest_rate_by_offer,weighted_average_interest_rate_by_expected_disbursement,weighted_average_risk_by_offer,weighted_average_risk_by_expected_disbursement,expected_interest_income_10k,expected_credit_loss_10k,expected_funding_cost_10k,expected_net_return_10k,minimum_unit_expected_return,negative_unit_return_selected_count,solver_status,solver_message,is_optimal,mip_gap,solve_time_seconds,variable_count,integer_variable_count,constraint_count,scenario_family,risk_variant,budget_fraction,lgd,funding_cost_rate,jaccard_to_baseline,selected_count_change_vs_baseline,loan_amount_change_vs_baseline_10k,net_return_change_vs_baseline_10k,weighted_average_interest_change_vs_baseline,risk_scenario_label
lgd_0.30_baseline_budget,4950,nominal_equality,4950,0,99,50,27,18,1800,38,18,1800,34,14,1350,24,0,0,1489.64843,0.1038737374,0.1018959945,0.06513946456,0.06161343534,142.0733896,27.53470716,44.68945289,69.84922953,0.01041061455,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.151451,5742,2871,5842,lgd,mean,0.5,0.3,0.03,1,0,0,14.662067,-0.02012121212,
lgd_0.50_baseline_budget,4950,nominal_equality,4950,0,99,50,27,18,1800,38,18,1800,34,14,1350,24,0,0,1059.522856,0.1239949495,0.1187320781,0.06513946456,0.05855183813,117.9913536,31.01850538,31.78568567,55.18716253,0.006968408637,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.132165,5742,2871,5842,lgd,mean,0.5,0.5,0.03,1,0,0,-6.231815064e-10,0,
lgd_0.70_baseline_budget,4950,nominal_equality,4950,0,99,50,27,18,1800,38,18,1800,34,14,1350,24,0,0,938.9715892,0.1298939394,0.1259452623,0.06513946456,0.05976321748,110.8389728,39.2811743,28.16914768,43.38865086,0.00355308411,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.141908,5742,2871,5842,lgd,mean,0.5,0.7,0.03,1,0,0,-11.79851167,0.005898989899,
funding_cost_0.02_baseline_budget,4950,nominal_equality,4950,0,99,50,27,18,1800,38,18,1800,34,14,1350,24,0,0,1349.546584,0.1115505051,0.1053015601,0.06513946456,0.05802556095,133.2950713,39.15409879,26.99093168,67.15004082,0.008563087631,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.148068,5742,2871,5842,funding_cost,mean,0.5,0.5,0.02,1,0,0,11.96287829,-0.01244444444,
funding_cost_0.03_baseline_budget,4950,nominal_equality,4950,0,99,50,27,18,1800,38,18,1800,34,14,1350,24,0,0,1059.522856,0.1239949495,0.1187320781,0.06513946456,0.05855183813,117.9913536,31.01850538,31.78568567,55.18716253,0.006968408637,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.150239,5742,2871,5842,funding_cost,mean,0.5,0.5,0.03,1,0,0,-6.231815064e-10,0,
funding_cost_0.04_baseline_budget,4950,nominal_equality,4950,0,99,50,27,18,1800,38,18,1800,34,14,1350,24,0,0,927.966008,0.1302171717,0.1270080498,0.06513946456,0.0604086597,110.4276537,28.0285914,37.11864032,45.280422,0.005373729643,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.147945,5742,2871,5842,funding_cost,mean,0.5,0.5,0.04,1,0,0,-9.906740533,0.006222222222,
risk_mean_baseline_budget,4950,nominal_equality,4950,0,99,50,27,18,1800,38,18,1800,34,14,1350,24,0,0,1059.522856,0.1239949495,0.1187320781,0.06513946456,0.05855183813,117.9913536,31.01850538,31.78568567,55.18716253,0.006968408637,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.140629,5742,2871,5842,risk,mean,0.5,0.5,0.03,1,0,0,-6.231815064e-10,0,mean
risk_p90_baseline_budget,4950,nominal_equality,4950,0,99,50,27,18,1800,38,17,1700,34,15,1450,24,0,0,979.2433054,0.1280353535,0.1233517229,0.07984492764,0.07254448541,111.5438279,35.51935084,29.37729916,46.64717789,0.004676639182,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.169879,5742,2871,5842,risk,p90,0.5,0.5,0.03,0.9230769231,0,0,-8.539984637,0.00404040404,conservative_risk_scenario
budget_definition_nominal_equality,4950,nominal_equality,4950,0,99,50,27,18,1800,38,18,1800,34,14,1350,24,0,0,1059.522856,0.1239949495,0.1187320781,0.06513946456,0.05855183813,117.9913536,31.01850538,31.78568567,55.18716253,0.006968408637,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.135088,5742,2871,5842,budget_definition,mean,0.5,0.5,0.03,1,0,0,-6.231815064e-10,0,
budget_definition_nominal_cap,4950,nominal_cap,4950,0,99,50,27,18,1800,38,18,1800,34,14,1350,24,0,0,1059.522856,0.1239949495,0.1187320781,0.06513946456,0.05855183813,117.9913536,31.01850538,31.78568567,55.18716253,0.006968408637,0,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,1e-06,0.118454,5742,2871,5842,budget_definition,mean,0.5,0.5,0.03,1,0,0,-6.231815064e-10,0,
