enterprise_id,enterprise_name,credit_rating,risk_model,risk_score,risk_score_source,risk_rank,risk_percentile,loan_decision,decision_reason,offered_loan_amount_10k,offered_loan_amount_yuan,interest_rate,interest_rate_percent,fitted_churn_rate,acceptance_probability,expected_disbursed_amount_10k,lgd,funding_cost_rate,expected_interest_income_10k,expected_credit_loss_10k,expected_funding_cost_10k,expected_net_return_10k,expected_net_return_per_offered_unit,solver_scenario_id,budget_definition,representative_scenario_flag,conservative_risk_score,scenario_family,risk_variant,budget_fraction,scenario_lgd,scenario_funding_cost_rate,scenario_budget_10k
E1,***电器销售有限公司,A,elastic_net_logistic,0.05655542179,selected_model_risk_score,104,0.8455284553,放贷,优化模型选择,100,1000000,0.0985,9.85,0.7083020233,0.2916979767,29.16979767,0.3,0.03,2.710728615,0.4949130632,0.8750939301,1.340721621,0.01340721621,lgd_0.30_baseline_budget,nominal_equality,False,0.0730491674,lgd,mean,0.5,0.3,0.03,4950
E10,***建筑劳务有限公司,B,elastic_net_logistic,0.06093491817,selected_model_risk_score,102,0.8292682927,放贷,优化模型选择,100,1000000,0.1065,10.65,0.7053159925,0.2946840075,29.46840075,0.3,0.03,2.947147466,0.5386963765,0.8840520225,1.524399067,0.01524399067,lgd_0.30_baseline_budget,nominal_equality,False,0.07833730674,lgd,mean,0.5,0.3,0.03,4950
E100,***装饰工程有限公司,D,elastic_net_logistic,0.2578903118,selected_model_risk_score,36,0.2926829268,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.3416804479,lgd,mean,0.5,0.3,0.03,4950
E101,***灯饰工程有限公司,D,elastic_net_logistic,0.7098560409,selected_model_risk_score,6,0.0487804878,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.7897592201,lgd,mean,0.5,0.3,0.03,4950
E102,***大药房有限责任公司,D,elastic_net_logistic,0.4733747116,selected_model_risk_score,17,0.1382113821,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.6183651775,lgd,mean,0.5,0.3,0.03,4950
E103,***科技有限公司,D,elastic_net_logistic,0.4055458126,selected_model_risk_score,22,0.1788617886,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.4768661053,lgd,mean,0.5,0.3,0.03,4950
E104,***管理咨询有限责任公司,C,elastic_net_logistic,0.5371556855,selected_model_risk_score,14,0.1138211382,不放贷,优化模型未选择,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.6048969633,lgd,mean,0.5,0.3,0.03,4950
E105,***建材经营部,C,elastic_net_logistic,0.2296735143,selected_model_risk_score,41,0.3333333333,不放贷,优化模型未选择,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.3150886304,lgd,mean,0.5,0.3,0.03,4950
E106,***财务管理有限公司,B,elastic_net_logistic,0.25387818,selected_model_risk_score,37,0.3008130081,不放贷,优化模型未选择,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.2861266308,lgd,mean,0.5,0.3,0.03,4950
E107,***科技有限公司,D,elastic_net_logistic,0.6278756036,selected_model_risk_score,8,0.06504065041,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.6820972821,lgd,mean,0.5,0.3,0.03,4950
E108,***商贸有限公司,D,elastic_net_logistic,0.5221807895,selected_model_risk_score,15,0.1219512195,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.6296705299,lgd,mean,0.5,0.3,0.03,4950
E109,***服饰有限公司,D,elastic_net_logistic,0.5493640614,selected_model_risk_score,12,0.09756097561,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.6102205923,lgd,mean,0.5,0.3,0.03,4950
E11,***建设工程有限公司,C,elastic_net_logistic,0.07723891572,selected_model_risk_score,93,0.756097561,放贷,优化模型选择,100,1000000,0.1105,11.05,0.7151023945,0.2848976055,28.48976055,0.3,0.03,2.904961278,0.6601554642,0.8546928165,1.390112997,0.01390112997,lgd_0.30_baseline_budget,nominal_equality,False,0.1001763276,lgd,mean,0.5,0.3,0.03,4950
E110,***通讯器材经营部,C,elastic_net_logistic,0.5711527053,selected_model_risk_score,11,0.08943089431,不放贷,优化模型未选择,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.6124762668,lgd,mean,0.5,0.3,0.03,4950
E111,***科技有限公司,D,elastic_net_logistic,0.1919246162,selected_model_risk_score,49,0.3983739837,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.3189536769,lgd,mean,0.5,0.3,0.03,4950
E112,***机械设备有限公司,D,elastic_net_logistic,0.4170540731,selected_model_risk_score,20,0.162601626,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.5129040595,lgd,mean,0.5,0.3,0.03,4950
E113,***美居科技有限公司,D,elastic_net_logistic,0.7592451553,selected_model_risk_score,4,0.0325203252,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.8315439659,lgd,mean,0.5,0.3,0.03,4950
E114,***食品有限责任公司,D,elastic_net_logistic,0.4770804739,selected_model_risk_score,16,0.1300813008,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.5421990478,lgd,mean,0.5,0.3,0.03,4950
E115,***装饰工程有限公司,D,elastic_net_logistic,0.7835354924,selected_model_risk_score,2,0.0162601626,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.8331104651,lgd,mean,0.5,0.3,0.03,4950
E116,***门窗有限公司,D,elastic_net_logistic,0.4160885126,selected_model_risk_score,21,0.1707317073,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.532859258,lgd,mean,0.5,0.3,0.03,4950
E117,***人力资源管理咨询有限公司,D,elastic_net_logistic,0.6343060557,selected_model_risk_score,7,0.05691056911,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.7561127553,lgd,mean,0.5,0.3,0.03,4950
E118,***体育用品有限公司,D,elastic_net_logistic,0.3859533716,selected_model_risk_score,23,0.1869918699,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.4429217794,lgd,mean,0.5,0.3,0.03,4950
E119,***药房,D,elastic_net_logistic,0.6253065711,selected_model_risk_score,9,0.07317073171,不放贷,D级企业原则上不予放贷,0,0,,,,,0,0.3,0.03,0,0,0,0,,lgd_0.30_baseline_budget,nominal_equality,False,0.6891769584,lgd,mean,0.5,0.3,0.03,4950
