scenario_id,solver,solver_status_code,solver_message,is_optimal,objective_value_minimization,objective_value_maximization,solve_time_seconds,mip_gap,variable_count,integer_variable_count,constraint_count,budget,budget_definition,lgd,funding_cost_rate,risk_column,selected_offer_count,budget_used_10k,expected_disbursed_amount_10k,negative_unit_return_selected_count,validation_failures
budget_0.10_bmax_nominal_equality,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-16.01210558,16.01210558,0.129727,1e-06,5742,2871,5842,990,nominal_equality,0.5,0.03,selected_model_risk_score,10,990,299.2265933,0,[]
budget_0.20_bmax_nominal_equality,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-28.3750548,28.3750548,0.129066,1e-06,5742,2871,5842,1980,nominal_equality,0.5,0.03,selected_model_risk_score,20,1980,570.4399672,0,[]
budget_0.30_bmax_nominal_equality,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-38.31860014,38.31860014,0.154166,1e-06,5742,2871,5842,2970,nominal_equality,0.5,0.03,selected_model_risk_score,30,2970,736.4303985,0,[]
budget_0.40_bmax_nominal_equality,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-47.39216516,47.39216516,0.160045,1e-06,5742,2871,5842,3960,nominal_equality,0.5,0.03,selected_model_risk_score,40,3960,898.666421,0,[]
budget_0.50_bmax_nominal_equality,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-55.18716253,55.18716253,0.141295,1e-06,5742,2871,5842,4950,nominal_equality,0.5,0.03,selected_model_risk_score,50,4950,1059.522856,0,[]
budget_0.60_bmax_nominal_equality,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-60.73240693,60.73240693,0.156359,1e-06,5742,2871,5842,5940,nominal_equality,0.5,0.03,selected_model_risk_score,60,5940,1202.902526,0,[]
budget_0.70_bmax_nominal_equality,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-63.2706464,63.2706464,0.257227,1e-06,5742,2871,5842,6930,nominal_equality,0.5,0.03,selected_model_risk_score,70,6930,1323.833963,0,[]
budget_0.80_bmax_nominal_equality,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-62.12314411,62.12314411,0.238868,1e-06,5742,2871,5842,7920,nominal_equality,0.5,0.03,selected_model_risk_score,80,7920,1431.318047,7,[]
budget_0.90_bmax_nominal_equality,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-56.26805508,56.26805508,0.156547,1e-06,5742,2871,5842,8910,nominal_equality,0.5,0.03,selected_model_risk_score,90,8910,1536.228287,17,[]
budget_1.00_bmax_nominal_equality,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-37.87555639,37.87555639,0.210213,1e-06,5742,2871,5842,9900,nominal_equality,0.5,0.03,selected_model_risk_score,99,9900,1641.782161,26,[]
lgd_0.30_baseline_budget,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-69.84922953,69.84922953,0.151451,1e-06,5742,2871,5842,4950,nominal_equality,0.3,0.03,selected_model_risk_score,50,4950,1489.64843,0,[]
lgd_0.50_baseline_budget,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-55.18716253,55.18716253,0.132165,1e-06,5742,2871,5842,4950,nominal_equality,0.5,0.03,selected_model_risk_score,50,4950,1059.522856,0,[]
lgd_0.70_baseline_budget,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-43.38865086,43.38865086,0.141908,1e-06,5742,2871,5842,4950,nominal_equality,0.7,0.03,selected_model_risk_score,50,4950,938.9715892,0,[]
funding_cost_0.02_baseline_budget,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-67.15004082,67.15004082,0.148068,1e-06,5742,2871,5842,4950,nominal_equality,0.5,0.02,selected_model_risk_score,50,4950,1349.546584,0,[]
funding_cost_0.03_baseline_budget,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-55.18716253,55.18716253,0.150239,1e-06,5742,2871,5842,4950,nominal_equality,0.5,0.03,selected_model_risk_score,50,4950,1059.522856,0,[]
funding_cost_0.04_baseline_budget,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-45.280422,45.280422,0.147945,1e-06,5742,2871,5842,4950,nominal_equality,0.5,0.04,selected_model_risk_score,50,4950,927.966008,0,[]
risk_mean_baseline_budget,scipy.optimize.milp,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,-55.18716253,55.18716253,0.140629,1e-06,5742,2871,5842,4950,nominal_equality,0.5,0.03,selected_model_risk_score,50,4950,1059.522856,0,[]
