feature_set,model,metric,direction,fold_mean,fold_median,fold_sd,fold_q025,fold_q975,aggregate_oof
behavior_plus_rating,A_elastic_net_logistic,roc_auc,higher,0.8881333333333333,0.8947368421052632,0.09595848610248764,0.6994736842105262,1.0,0.8966049382716049
behavior_plus_rating,A_elastic_net_logistic,pr_auc,higher,0.8249612188968158,0.8555221386800334,0.1385924139257361,0.5490341237709658,1.0,0.8256569562274241
behavior_plus_rating,A_elastic_net_logistic,brier,lower,0.10345193706039638,0.09807874258259629,0.03116599948416515,0.0472663852163997,0.16245741448406276,0.09873628152976183
behavior_plus_rating,A_elastic_net_logistic,log_loss,lower,0.3544889608581288,0.3351975805719325,0.07897955591640692,0.2116085177690664,0.4982313235405545,0.3467365598291552
behavior_plus_rating,A_elastic_net_logistic,ece_5bin,lower,0.15103703555699521,0.14917304063711403,0.05150851156865583,0.058570833051133114,0.24755630328926448,0.11105427932161802
behavior_plus_rating,A_elastic_net_logistic,balanced_accuracy_05,higher,0.7815087719298245,0.7749999999999999,0.10941885452513281,0.6,0.9683552631578947,0.7806712962962963
behavior_plus_rating,A_elastic_net_logistic,f1_05,higher,0.6754456654456653,0.6666666666666666,0.177795276250631,0.3333333333333333,0.9090909090909091,0.6956521739130435
behavior_plus_rating,A_elastic_net_logistic,precision_top20,higher,0.7839999999999999,0.8,0.18445728447507398,0.4,1.0,0.76
behavior_plus_rating,A_elastic_net_logistic,recall_top20,higher,0.726,0.8,0.16236489237715152,0.4,1.0,0.7037037037037037
behavior_plus_rating,B_gradient_boosting,roc_auc,higher,0.9551771929824561,0.993421052631579,0.06238462630819444,0.8323486842105262,1.0,0.955246913580247
behavior_plus_rating,B_gradient_boosting,pr_auc,higher,0.9420852460233266,0.9761904761904762,0.06802797505046351,0.7948531746031746,1.0,0.9419562419562417
behavior_plus_rating,B_gradient_boosting,brier,lower,0.03214076304453664,0.03965496282715389,0.02081442463861157,0.009583077468172144,0.07958860289095393,0.03175250234378262
behavior_plus_rating,B_gradient_boosting,log_loss,lower,0.15973165442590492,0.16619228126697091,0.06527687164647464,0.0863007771259772,0.31407501518143144,0.1583923306512438
behavior_plus_rating,B_gradient_boosting,ece_5bin,lower,0.06971371639894292,0.06940617854347932,0.02661084230451952,0.03331715767789346,0.10978872380465239,0.06299352203016437
behavior_plus_rating,B_gradient_boosting,balanced_accuracy_05,higher,0.945,0.9166666666666667,0.05795553068875279,0.8333333333333333,1.0,0.9444444444444444
behavior_plus_rating,B_gradient_boosting,f1_05,higher,0.9377474747474747,0.9090909090909091,0.067552722785944,0.8,1.0,0.9411764705882353
behavior_plus_rating,B_gradient_boosting,precision_top20,higher,0.9359999999999999,1.0,0.1025391911138649,0.8,1.0,0.96
behavior_plus_rating,B_gradient_boosting,recall_top20,higher,0.87,0.8333333333333334,0.09834226870506371,0.6966666666666667,1.0,0.8888888888888888
