firm,name,p_a,p_b,abs_p_difference,rank_a,rank_b,top20_a,top20_b,domain_distance_5nn,train_support_p95,outside_labeled_support,volume_log,complexity_log,volume_bin,complexity_bin,stratum,unlabeled_block
E124,个体经营E124,0.1446321463268396,1e-06,0.1446311463268396,273,284,False,False,8.036983969762153,17.33052821724902,False,21.29315445884834,7.283448228756631,3,3,15,U09
E125,个体经营E125,0.16612841026799888,0.0004091741331067171,0.16571923613489217,267,242,False,False,5.283758370090643,17.33052821724902,False,21.488821385095513,7.52456122628536,3,3,15,U10
E126,个体经营E126,0.26689218866421466,5.036795522020621e-05,0.2668418207089944,194,273,False,False,4.614678826347481,17.33052821724902,False,20.370303536481398,5.375278407684165,3,2,14,U01
E127,个体经营E127,0.2794057723882866,0.32638107388709126,0.046975301498804634,177,76,False,False,5.457399026594258,17.33052821724902,False,20.33173465049368,5.777652323222656,3,2,14,U02
E128,个体经营E128,0.3184780541774215,0.043745720871816156,0.2747323333056053,122,131,False,False,5.806759563569522,17.33052821724902,False,19.37927041506916,6.29156913955832,3,3,15,U01
E129,个体经营E129,0.31704830834073805,0.03819154110933948,0.2788567672313986,124,139,False,False,4.953046706815224,17.33052821724902,False,19.982885726372306,7.68017564043659,3,3,15,U02
E130,个体经营E130,0.2928107892404338,0.015652792096581936,0.27715799714385186,156,178,False,False,5.736176071922687,17.33052821724902,False,19.126143907527364,6.2766434893416445,3,3,15,U03
E131,个体经营E131,0.23577322376224039,0.007055305915992235,0.22871791784624815,235,194,False,False,3.5036507584816676,17.33052821724902,False,19.74801595184743,7.45298232946546,3,3,15,U04
E132,个体经营E132,0.2623321462606856,0.0007634853387394456,0.26156866092194614,207,230,False,False,4.579958231655685,17.33052821724902,False,19.511282881178076,6.661854740545311,3,3,15,U05
E133,个体经营E133,0.25727985110801993,0.00044156906422476206,0.25683828204379516,213,240,False,False,4.494739193991654,17.33052821724902,False,18.906339150856194,5.676753802268282,3,2,14,U03
E134,***工程咨询有限公司,0.3631226507126791,0.8035748279665533,0.44045217725387426,53,6,True,True,4.358813870361592,17.33052821724902,False,18.761757387290604,7.720461694599722,3,3,15,U06
E135,***建设工程有限公司,0.27899863749698023,0.003004445919813078,0.27599419157716715,178,209,False,False,4.21519737833308,17.33052821724902,False,19.045869945393047,6.082218910376446,3,2,14,U04
E136,***机械有限责任公司,0.3071570937821321,0.006619818776269139,0.3005372750058629,138,195,False,False,5.117287183458603,17.33052821724902,False,19.404212559562218,3.044522437723423,3,0,12,U07
E137,***建设工程有限公司,0.31964142799797973,3.1591587785691603e-06,0.31963826883920116,120,281,False,False,3.489836892969712,17.33052821724902,False,19.43556057272013,6.55250788703459,3,3,15,U07
E138,个体经营E138,0.201063808471652,0.028876514258774782,0.17218729421287723,256,156,False,False,7.0399723706404576,17.33052821724902,False,18.823371382109137,5.153291594497779,3,1,13,U10
