firm,y_true,rating,p_a,p_b,p_a_sd,p_b_sd,n_oof
E1,0,A,0.08323361134326865,1.1400489975315325e-06,0.06038093606165082,4.428738162229417e-07,10
E106,0,B,0.34075787680975694,0.2322150104720952,0.09065688466735677,0.20041660305191702,10
E113,1,D,0.891379790294246,0.9181362979771164,0.053903283285592754,0.03207530040421039,10
E117,1,D,0.6905861453515582,0.707925229284935,0.06540131195004459,0.09750769966579584,10
E120,1,D,0.985871851357567,0.45434607979094155,0.0111900692615743,0.08625692962780739,10
E121,1,D,0.48901545167938804,0.5703901787413074,0.07761254599946625,0.1178364630374649,10
E16,0,A,0.22114712636110814,0.0018455801525381218,0.07015078032506357,0.0008531799563899151,10
E18,0,A,0.1401065886813936,2.4516241439230562e-06,0.06657394972329378,1.5498633387271928e-06,10
E19,0,A,0.1392359925793157,1.6144035350936113e-06,0.0740837568414566,1.067342710007224e-06,10
E21,0,B,0.13141265955967962,1.4658946317997775e-05,0.06548104893013579,2.653615803461604e-05,10
E22,0,A,0.06936875277888198,0.0076916840886653,0.01622741322907131,0.0016492054541270076,10
E27,0,A,0.1786742417735552,5.778276731557759e-06,0.07863882830909477,9.001825826146413e-06,10
E30,0,B,0.16123729406571097,0.0002076314229022585,0.07098552178533779,0.00016490513710496225,10
E31,0,A,0.16477928123163116,0.006449319737519608,0.11182567658306354,0.005862982173801404,10
E32,0,B,0.26604616194557623,0.5467759416714311,0.08116484809372211,0.15340521507692778,10
E48,0,A,0.11031104349734695,0.000697839771243513,0.0800908568759112,0.0005764232203090009,10
E54,0,A,0.16368467312689702,0.03206089307296553,0.09794664186965431,0.03046324645551163,10
E61,0,B,0.14579643189701902,0.005348884008475614,0.048959659225877444,0.0011189981012397175,10
E62,0,B,0.29296407616393627,0.007237232087216225,0.07857685365604565,0.006120461241846824,10
E64,0,A,0.17429914909543945,0.026987602981922165,0.056887026068603457,0.02283119185802933,10
E76,0,B,0.3211180001482808,0.01123290095320313,0.13655426303212134,0.004618440464364967,10
E79,0,B,0.43710542104722805,0.2525802104518702,0.08054765269541865,0.18694402039678992,10
E8,0,A,0.06490442068217972,0.10003464381423358,0.029130937649026904,0.1107982290255727,10
E82,1,D,0.3640252704008581,0.3372503041604465,0.11878274299352085,0.13673390937473995,10
E98,0,B,0.3532542790672294,0.009503156398408364,0.075282155076062,0.004636883587087721,10
E102,1,D,0.604617814399022,0.7532063008620371,0.07262655140613432,0.10818612170731666,10
E104,0,C,0.41512995138793884,0.38364018535094746,0.07850799979066742,0.10540404822359253,10
E109,1,D,0.37495854094722764,0.7519649161742643,0.08490498682772808,0.16717666335088568,10
E112,1,D,0.5771997698380844,0.19699643828689062,0.026584963648694265,0.0700843872461534,10
E114,1,D,0.6130206913891061,0.010662315685141362,0.06298787961850744,0.012699756869262465,10
E14,0,C,0.09277097800461773,0.001196298622649678,0.056559862064732354,0.0016657125654463006,10
E20,0,B,0.08694193396560734,0.001457838682249892,0.03312556169890098,0.0015728647936978874,10
E3,0,C,0.06541008231896693,0.017699038766267588,0.05590646887387852,0.014216098372101155,10
E36,1,D,0.1471599443242343,2.0928899828944916e-06,0.06594202899641464,1.215158146510113e-06,10
E40,0,C,0.14370189605139363,0.004147970554666031,0.029191793733200477,0.004405247414826863,10
E42,0,A,0.20328977954578525,0.3700477941120164,0.08713648137194886,0.16054583790536023,10
E43,0,B,0.26418303186368497,0.1395861377572395,0.05962980808537145,0.04258965648394354,10
E44,0,C,0.12823216039176483,0.04279450165863025,0.03584964941692545,0.0484325169535667,10
E47,0,C,0.1850788152510968,0.3841168426338123,0.09749388601043105,0.2517759484564707,10
E53,0,C,0.16801290448988598,0.00395674751687441,0.03717594802578091,0.0042924948587414954,10
E56,0,C,0.21133174155441964,0.0024844828414394083,0.07602483602080737,0.006001796823726053,10
E67,0,B,0.2392113652081532,0.014698837558567521,0.09930395972257527,0.007333653882806549,10
E75,0,C,0.15684712487391694,0.03956312656934437,0.055095696773745595,0.036578596495951736,10
E83,0,B,0.39659320099355155,5.215323369961795e-06,0.061662692126722235,8.837082119538815e-06,10
E87,1,C,0.38061149781209236,0.4006493616918491,0.1450866896368995,0.15040256906812946,10
E88,0,A,0.25703548171039065,0.0023436790814762272,0.09128850510050888,0.0010204706867281072,10
E91,0,A,0.3138236185041719,0.005937970751426919,0.10848604178547458,0.003960825732674255,10
E92,0,C,0.44954386257825113,0.8152512143265088,0.09445674390769242,0.14585178580739713,10
E93,0,B,0.4263987038822575,0.04503043333923746,0.06149010300477798,0.010690881916477468,10
E96,0,C,0.6558605244902393,0.6760691915295183,0.14713238922830227,0.12144105737809954,10
E10,0,B,0.15373390523759775,0.0024501923359817337,0.09550842147038352,0.0035259710468491475,10
E103,1,D,0.400418271674256,0.07994770357322215,0.08131069611823843,0.11024503428038528,10
E11,0,C,0.15860009417813253,0.0012730154177298249,0.05138160875150924,0.000846285729081506,10
E115,1,D,0.7340253278142677,0.6126108494108217,0.09869010642222831,0.1652797924137221,10
E118,1,D,0.45085483473227744,0.03319059658025314,0.08594606303044908,0.028479877568379157,10
E12,0,B,0.2262749762040554,0.0008687998854697134,0.08744746621748914,0.0016376760398248327,10
E13,0,A,0.11134265612806718,0.0670764111741767,0.03916231369012348,0.029532630671824548,10
E28,0,B,0.14745436298137962,0.014836639728816464,0.10193054060786846,0.01006526016874607,10
E29,1,C,0.17674636260759918,0.07203843276503893,0.10631666567122725,0.06621385748964849,10
E39,0,C,0.3133475075985542,0.32214309271177255,0.09327586164834219,0.14668679863516865,10
E4,0,C,0.12199380961381326,0.0003870451241048239,0.07910612257636071,0.00031085997350796204,10
E45,1,B,0.13077922306603557,0.0006337143905766569,0.03860036303696388,0.0010662208325843046,10
E5,0,B,0.08861378044724091,4.427431782289696e-05,0.04275200038509485,6.680570649051886e-05,10
E57,0,B,0.17038859125549383,0.4096475315251017,0.059743640482096246,0.2267038379183755,10
E59,0,A,0.13463072476854127,0.01452973663726588,0.04877152342445152,0.024945093400979085,10
E60,0,B,0.3497765316882281,0.13257703626376216,0.12648936384951207,0.13665553932111887,10
E63,0,B,0.20372102547618157,0.003725754236239499,0.08918999534716751,0.004887966808619031,10
E70,0,B,0.3458059604606127,0.001348821183968243,0.1256761857720498,0.002761170950591164,10
E71,0,B,0.23656435621406935,0.003328309804672836,0.08974692878724327,0.005484750994720433,10
E73,0,C,0.3100044218782627,0.5229115566124402,0.13503162334460356,0.2621751851089398,10
E84,0,A,0.24338612764404166,0.01756046938701759,0.0816043145859052,0.012457514941031637,10
E85,0,B,0.3846092810852485,0.013240575750143091,0.1243904858091998,0.007770505921782078,10
E95,0,B,0.21940399187834658,0.016130919901041978,0.10289890852334498,0.008535975410084981,10
E97,0,B,0.2755126020261479,0.16662695465475058,0.06458527035600102,0.08264599589611345,10
E99,1,D,0.6537608562776326,0.9059445466621247,0.09440497527496233,0.020585249713922813,10
E101,1,D,0.8446254135990534,0.9471545163081272,0.0605611765141067,0.007625499918797033,10
E107,1,D,0.4483976930935805,0.43789468110496604,0.05568110669531069,0.2843494770477401,10
E110,0,C,0.6231466848470884,0.02958736131782565,0.06372491439643915,0.01839392988077155,10
E119,1,D,0.7719143959182482,0.8117835680478714,0.04904528490316796,0.0905896105606371,10
E123,1,D,0.8265976753216663,0.2230389895095548,0.09775426848298323,0.16433459591284907,10
E15,0,A,0.0763379554096921,0.0016897776631959484,0.03627781556907655,0.0018197110432825467,10
E17,0,A,0.1347859346987575,2.3804252338951216e-06,0.07511205369005995,7.508381180405291e-07,10
E23,0,B,0.1010797416080017,0.05027099767507108,0.04933930694306204,0.024051280523007368,10
E37,0,B,0.15534406347644816,0.0032563495988556755,0.06919486705505987,0.004028157874559962,10
E41,0,C,0.14028336096743038,0.0006317743036428076,0.08643884603194484,0.0012413308054184723,10
E46,0,C,0.16837438855208905,0.0003298351716665393,0.0801845920506368,0.00036537269591671774,10
E51,0,B,0.12477727724198744,0.0015926388380411646,0.04281511165917489,0.0015043349273759059,10
E52,1,D,0.2279112669192382,0.5020359483075948,0.035023337663306696,0.27778884808936927,10
E55,0,C,0.2824592113823551,0.6292524569346436,0.0878827160034689,0.27432819139361736,10
E58,0,B,0.24582895492151083,0.027524636570127176,0.09735333936043573,0.02241890636686729,10
E6,0,A,0.11467816077021627,5.3538946061983995e-06,0.07271680911883638,2.705572752463105e-06,10
E65,0,B,0.34070721738003074,0.008317688620549438,0.1170376057889376,0.002388178331053249,10
E69,0,C,0.06144713332264183,0.09785215871221448,0.03634732276137225,0.05530386362943429,10
E7,0,A,0.06124349066960301,0.01091480187824207,0.035686667107926257,0.005885091906589083,10
E72,0,C,0.6269267374107126,0.12850278366742507,0.10637122247595956,0.04923864575642132,10
E80,0,C,0.49132857689831083,0.21549384711661843,0.07180994259844051,0.05019947337066133,10
E81,0,A,0.2695741145537556,0.0004905618065378304,0.08574968061966694,0.00024042918843184783,10
E9,0,A,0.12601445315405901,0.03910025495461133,0.09165940865550196,0.07390509499516511,10
E94,0,C,0.293449156996041,0.34053347527543953,0.06351501838448223,0.17554739713931006,10
E100,1,D,0.3246961801394928,0.3679655539625842,0.10398949790895075,0.14331674093816923,10
E105,0,C,0.3658709810423846,0.047999354692592304,0.11314439457722543,0.031223984219087134,10
E108,1,D,0.7414242897114918,0.7636190767597186,0.07177520796994336,0.14413237998363693,10
E111,1,D,0.30941869044057596,0.5190706568103846,0.06289524490970103,0.12672134622575776,10
E116,1,D,0.5122645495669605,0.5524323577450063,0.06856058813750344,0.09996440100608484,10
E122,1,D,0.5608031083564651,0.30685329216523627,0.08942134216447585,0.12409779025641976,10
E2,0,A,0.07061328201162094,0.009385212300829348,0.033550806525059096,0.0037598723896065194,10
E24,0,A,0.1433891479188313,0.0012853385944758687,0.056760462106006423,0.0022300941687556294,10
E25,0,C,0.17987272344785596,0.004352345972394817,0.07111931493261699,0.006484443012529678,10
E26,0,A,0.2592561549778684,2.701305843307598e-05,0.09032765549118207,2.1058990105866835e-05,10
E33,0,B,0.19350939337733586,0.05042881766962426,0.05465584317828565,0.09975231091853463,10
E34,0,B,0.19285831873980452,0.4998685012241119,0.039925545087307994,0.18749152119569434,10
E35,0,B,0.15080528528723297,0.36649580463423287,0.059872684307545,0.24846844543800595,10
E38,0,B,0.18614877389826054,0.0010477000372943097,0.08120183813109073,0.0007699087073453489,10
E49,0,C,0.25587001013762334,0.0003647818564105824,0.11093051874376866,0.0002958776511974713,10
E50,0,C,0.3061413851007738,0.4941406567093076,0.06987981785214338,0.14136409017271048,10
E66,0,B,0.3193538876750196,0.09650029777854788,0.04435025389746871,0.07839903496179097,10
E68,0,C,0.482524512092356,0.37940556275644205,0.047133963777418936,0.20594449035197496,10
E74,0,B,0.19269712789131993,0.05526984445921399,0.04220720237554936,0.023922469425932607,10
E77,0,C,0.2974493325747914,0.3439678362875872,0.09174217414963466,0.15273770235799358,10
E78,0,C,0.2609183199150129,0.019816344217791094,0.08339604405893666,0.00935066404870077,10
E86,0,C,0.3516132238828378,0.278064712901485,0.11735689641033364,0.10878708235458631,10
E89,0,A,0.45181443500779894,0.5211809820814534,0.07547598522323685,0.20218805967884157,10
E90,0,C,0.4488889624748169,0.6623139002475371,0.06983748624140894,0.28800174772405,10
