model,metric,direction,fold_mean,fold_median,fold_sd,fold_q025,fold_q975,aggregate_oof
A_supervised_transfer,roc_auc,higher,0.8523473684210526,0.8473684210526317,0.10493554394358609,0.6493201754385965,1.0,0.8564814814814815
A_supervised_transfer,pr_auc,higher,0.7612530782590179,0.7690241228070176,0.15374360137045154,0.5174166666666666,1.0,0.7305016601049934
A_supervised_transfer,brier,lower,0.12288225155307535,0.12085557252331132,0.029118638257509877,0.0676210999633803,0.1794662662388265,0.11715077763861202
A_supervised_transfer,log_loss,lower,0.40075993681926475,0.39777296195804834,0.0741423873135961,0.2590943640478219,0.5379060408125689,0.3901486970752992
A_supervised_transfer,ece_5bin,lower,0.14427894016823534,0.14282118728105725,0.054627698814944455,0.05861523104882564,0.2538660447111128,0.09160121404933536
A_supervised_transfer,balanced_accuracy_05,higher,0.7485526315789476,0.7486842105263158,0.10525044864497715,0.5796052631578947,0.9166666666666667,0.7436342592592593
A_supervised_transfer,f1_05,higher,0.6173124653124653,0.6333333333333333,0.1745894973428326,0.29642857142857143,0.9045454545454544,0.6363636363636364
A_supervised_transfer,precision_top20,higher,0.7080000000000001,0.8,0.19881280293845488,0.4,1.0,0.68
A_supervised_transfer,recall_top20,higher,0.6553333333333334,0.6666666666666666,0.1753014895683946,0.34833333333333333,1.0,0.6296296296296297
B_label_propagation,roc_auc,higher,0.8085614035087718,0.8324561403508772,0.1140553178232906,0.5904824561403509,0.9746842105263158,0.8175154320987654
B_label_propagation,pr_auc,higher,0.6453647424490876,0.6565367965367965,0.15820210017194888,0.33812175324675325,0.9206666666666666,0.6344885253628181
B_label_propagation,brier,lower,0.13458629958100596,0.13189228343131648,0.043665581522722555,0.053963616751688065,0.2267358597720597,0.12505775372383449
B_label_propagation,log_loss,lower,0.6020259889941131,0.5009834014638946,0.3439733429418917,0.1898481526695191,1.333307218725132,0.5090479975740055
B_label_propagation,ece_5bin,lower,0.13111698384795234,0.12902209553390032,0.047941654572399274,0.05821498814969915,0.22005083899456424,0.06147522112593077
B_label_propagation,balanced_accuracy_05,higher,0.6929473684210528,0.6861842105263158,0.10949472982728725,0.5047368421052632,0.9,0.7042824074074074
B_label_propagation,f1_05,higher,0.5158695748695749,0.5227272727272727,0.19891490906877654,0.05000000000000002,0.8688888888888887,0.5531914893617021
B_label_propagation,precision_top20,higher,0.5760000000000001,0.6,0.17906788132562743,0.2,0.8,0.6
B_label_propagation,recall_top20,higher,0.5353333333333333,0.5,0.17042164596953635,0.2,0.8,0.5555555555555556
